buy_threshold,sell_threshold,ml_final_value,ml_total_return,bh_total_return,ml_max_drawdown,outperformance,completed_trades,winning_trades,win_rate,skipped_buys,skipped_sells,avg_trade_return,median_trade_return,best_trade,worst_trade
1.5,1.0,10198.470067635373,1.9847006763537234,6.217389717955268,0.0,-4.232689041601545,2,2,100.0,671,1,0.9910165795284704,0.9910165795284704,1.8368074113664665,0.14522574769047425
1.5,1.5,10141.912012117795,1.4191201211779525,6.217389717955268,0.879053729649513,-4.798269596777316,2,2,100.0,647,19,0.7086363906811617,0.7086363906811617,1.2720470336718492,0.14522574769047425
1.5,2.0,10416.004750769973,4.160047507699738,6.217389717955268,1.2264850944960901,-2.0573422102555305,2,2,100.0,551,169,2.0593012598143137,2.0593012598143137,2.369499376447536,1.7491031431810917
1.5,2.5,10822.134240413392,8.221342404133924,6.217389717955268,1.9688299723615403,2.003952686178656,1,1,100.0,7,850,8.221342404133921,8.221342404133921,8.221342404133921,8.221342404133921
1.5,3.0,10822.134240413392,8.221342404133924,6.217389717955268,1.9688299723615403,2.003952686178656,1,1,100.0,7,850,8.221342404133921,8.221342404133921,8.221342404133921,8.221342404133921
1.5,3.5,10822.134240413392,8.221342404133924,6.217389717955268,1.9688299723615403,2.003952686178656,1,1,100.0,7,850,8.221342404133921,8.221342404133921,8.221342404133921,8.221342404133921
1.5,4.0,10822.134240413392,8.221342404133924,6.217389717955268,1.9688299723615403,2.003952686178656,1,1,100.0,7,850,8.221342404133921,8.221342404133921,8.221342404133921,8.221342404133921
2.0,0.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.0,0.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.0,1.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.0,1.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.0,2.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.0,2.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.0,3.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.0,3.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.0,4.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.5,0.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.5,0.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.5,1.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.5,1.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.5,2.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.5,2.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.5,3.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.5,3.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
2.5,4.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.0,0.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.0,0.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.0,1.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.0,1.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.0,2.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.0,2.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.0,3.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.0,3.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.0,4.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.5,0.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.5,0.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.5,1.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.5,1.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.5,2.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.5,2.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.5,3.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.5,3.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
3.5,4.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
4.0,0.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
4.0,0.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
4.0,1.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
4.0,1.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
4.0,2.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
4.0,2.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
4.0,3.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
4.0,3.5,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
4.0,4.0,10000.0,0.0,6.217389717955268,0.0,-6.217389717955268,0,0,0.0,675,0,,,,
