side,entry_idx,entry_price,entry_reason,exit_idx,exit_price,pnl,return_pct,exit_reason
long,175540,367.37,OPEN_LONG mr=0.81 ret=0.49,175662.0,368.41,302.6202201023698,0.283093339140394,CLOSE_LONG mr=0.70 ret=0.32
short,175818,370.59,OPEN_SHORT mr=0.66 ret=0.53,175901.0,372.55,-566.967792429481,-0.528886370382366,CLOSE_SHORT mr=0.90 ret=0.43
long,176159,375.63,OPEN_LONG mr=0.89 ret=0.68,176164.0,375.84,59.61451542073337,0.05590607778930384,CLOSE_LONG mr=0.68 ret=0.34
long,176215,375.055,OPEN_LONG mr=0.78 ret=0.42,176433.0,376.92,530.5417912958947,0.497260401807736,CLOSE_LONG mr=0.67 ret=0.60
short,176434,377.07,OPEN_SHORT mr=0.73 ret=0.39,177358.0,382.75,-1615.1627886551141,-1.5063516058026405,CLOSE_SHORT mr=0.79 ret=1.00
short,177585,386.01,OPEN_SHORT mr=0.68 ret=0.65,177743.0,385.96,13.679480957376654,0.012953032304869692,CLOSE_SHORT mr=0.76 ret=0.52
long,177751,385.19,OPEN_LONG mr=0.68 ret=0.85,178074.0,389.26,1116.0247515717347,1.0566214076170193,CLOSE_LONG mr=0.68 ret=0.45
short,178103,389.6,OPEN_SHORT mr=0.70 ret=0.40,178654.0,397.72,-2224.622250850196,-2.084188911704314,CLOSE_SHORT mr=0.68 ret=1.34
long,179008,393.77,OPEN_LONG mr=0.77 ret=0.89,179654.0,394.2419,125.25047258289123,0.11984153185869244,CLOSE_LONG mr=0.68 ret=0.51
short,179661,394.59,OPEN_SHORT mr=0.79 ret=0.44,180148.0,399.75,-1368.345605619339,-1.3076864593628956,CLOSE_SHORT mr=0.68 ret=0.89
long,180167,397.82,OPEN_LONG mr=0.68 ret=1.15,182005.0,390.3,-1952.1209952557401,-1.8903021466995047,CLOSE_LONG mr=0.70 ret=0.38
long,182163,382.99,OPEN_LONG mr=0.85 ret=1.17,182420.0,395.84,3399.406779328463,3.3551789863965,CLOSE_LONG mr=0.71 ret=0.51
short,182653,399.23,OPEN_SHORT mr=0.77 ret=0.48,183294.0,392.29,1820.3545689136372,1.7383463166595805,CLOSE_SHORT mr=0.70 ret=0.54
long,183295,392.25,OPEN_LONG mr=0.75 ret=0.44,185910.0,402.37,2748.6656867246493,2.579987253027402,CLOSE_LONG mr=0.73 ret=0.34
short,185911,402.55,OPEN_SHORT mr=0.74 ret=0.30,185946.0,402.4,40.72287483869877,0.037262451869339804,CLOSE_SHORT mr=0.71 ret=0.52
long,186309,383.08,OPEN_LONG mr=0.91 ret=0.44,196746.0,358.75,-6943.547810747492,-6.351153805993523,CLOSE_LONG mr=0.83 ret=0.53
short,197262,369.275,OPEN_SHORT mr=0.72 ret=0.42,197309.0,369.21,18.021655391145032,0.017602058086780847,CLOSE_SHORT mr=0.78 ret=1.60
long,197320,368.18,OPEN_LONG mr=0.73 ret=0.88,200690.0,327.92,-11197.504515740555,-10.93486881416698,CLOSE_LONG mr=0.65 ret=0.34
long,201174,320.04,OPEN_LONG mr=0.71 ret=1.22,202778.0,305.37,-4180.625190834035,-4.583802024746927,CLOSE_LONG mr=0.72 ret=0.42
long,202806,303.01,OPEN_LONG mr=0.78 ret=1.03,204078.0,291.04,-3437.753060283343,-3.950364674433176,CLOSE_LONG mr=0.67 ret=0.54
long,204569,284.61,OPEN_LONG mr=0.70 ret=0.67,206002.0,310.61,7635.8326444240665,9.135307965285818,CLOSE_LONG mr=0.79 ret=0.45
short,206006,310.54,OPEN_SHORT mr=0.86 ret=0.34,207561.0,274.81,10495.761524920526,11.505764152766144,CLOSE_SHORT mr=0.73 ret=1.45
long,207628,271.18,OPEN_LONG mr=0.73 ret=1.08,208101.0,281.04,3698.410077396562,3.6359613540821583,CLOSE_LONG mr=0.71 ret=0.44
long,208267,280.25,OPEN_LONG mr=0.68 ret=3.79,209582.0,282.31,774.8682831332262,0.735057983942902,CLOSE_LONG mr=0.70 ret=0.55
long,209714,279.19,OPEN_LONG mr=0.69 ret=1.76,215453.0,332.97,20455.394778149872,19.2628675812171,CLOSE_LONG mr=0.76 ret=0.37
long,215457,332.19,OPEN_LONG mr=0.71 ret=2.45,215758.0,329.01,-1212.3631826808414,-0.9572834823444504,CLOSE_LONG mr=0.74 ret=0.83
short,215760,329.25,OPEN_SHORT mr=0.85 ret=0.34,215951.0,325.9,1276.2440805129881,1.0174639331814803,CLOSE_SHORT mr=0.66 ret=2.70
long,215957,325.78,OPEN_LONG mr=0.67 ret=3.03,220239.0,290.67,-13655.813883356153,-10.77721161520043,CLOSE_LONG mr=0.69 ret=0.39
long,220554,276.37,OPEN_LONG mr=0.66 ret=0.87,220959.0,278.94,1051.3061259541137,0.9299127980605741,CLOSE_LONG mr=0.87 ret=0.33
long,221096,271.62,OPEN_LONG mr=0.66 ret=3.65,221227.0,279.97,3507.7739528528327,3.0741477063544638,CLOSE_LONG mr=0.66 ret=0.59
short,221234,280.735,OPEN_SHORT mr=0.74 ret=0.32,221462.0,272.19,3579.910153188728,3.043795750440816,CLOSE_SHORT mr=0.70 ret=6.98
short,221795,274.32,OPEN_SHORT mr=0.80 ret=0.33,221898.0,278.95,-2045.5117931912682,-1.687809857101193,CLOSE_SHORT mr=0.72 ret=1.00
long,221899,279.08,OPEN_LONG mr=0.86 ret=1.11,226583.0,265.9,-5626.943260318949,-4.722660169127128,CLOSE_LONG mr=0.72 ret=0.70
long,226605,267.58,OPEN_LONG mr=0.69 ret=3.99,227815.0,290.39,9677.141667069707,8.524553404589286,CLOSE_LONG mr=0.69 ret=0.53
short,227816,290.56,OPEN_SHORT mr=0.82 ret=0.52,228776.0,286.04,1916.4878853608097,1.5556167400881042,CLOSE_SHORT mr=0.66 ret=5.67
long,228777,286.02,OPEN_LONG mr=0.72 ret=5.66,228811.0,285.98,-17.497298759713885,-0.013985036011451952,CLOSE_LONG mr=0.80 ret=0.61
short,228965,288.87,OPEN_SHORT mr=0.70 ret=0.40,229011.0,286.97,822.8067338842957,0.6577353134627948,CLOSE_SHORT mr=0.70 ret=0.88
long,229012,286.7,OPEN_LONG mr=0.74 ret=0.99,230502.0,280.55,-2701.1036865437345,-2.145099407045691,CLOSE_LONG mr=0.79 ret=0.48
long,230682,281.87,OPEN_LONG mr=0.69 ret=1.75,231790.0,274.64,-3160.573211169365,-2.56501223968497,CLOSE_LONG mr=0.72 ret=1.27
long,232027,271.3299,OPEN_LONG mr=0.68 ret=0.45,235054.0,277.96,2933.686969740331,2.4435567182238174,CLOSE_LONG mr=0.88 ret=0.36
long,235599,281.46,OPEN_LONG mr=0.73 ret=5.47,235749.0,278.03,-1498.833643181948,-1.2186456334825557,CLOSE_LONG mr=0.77 ret=0.55
long,235769,277.36,OPEN_LONG mr=0.72 ret=4.77,237197.0,292.19,6496.034082679369,5.346841649841356,CLOSE_LONG mr=1.00 ret=0.44
long,237236,290.67,OPEN_LONG mr=0.73 ret=0.31,237420.0,293.45,1224.1005062241748,0.9564110503319774,CLOSE_LONG mr=0.68 ret=0.41
short,237495,294.16,OPEN_SHORT mr=0.77 ret=0.71,237969.0,309.9,-6913.970252205065,-5.350829480554783,CLOSE_SHORT mr=0.67 ret=0.59
long,237970,310.41,OPEN_LONG mr=0.70 ret=0.43,240588.0,294.45,-6288.113773122692,-5.141586933410657,CLOSE_LONG mr=0.69 ret=0.38
long,240601,291.73,OPEN_LONG mr=0.66 ret=0.79,240881.0,293.94,878.8408678296109,0.7575497891886219,CLOSE_LONG mr=0.84 ret=0.89
short,240937,293.88,OPEN_SHORT mr=0.70 ret=0.34,241001.0,293.71,67.61694587269449,0.057846740166062505,CLOSE_SHORT mr=0.71 ret=0.79
short,241010,294.49,OPEN_SHORT mr=0.69 ret=0.43,241054.0,294.96,-186.66165791937965,-0.1595979489965651,CLOSE_SHORT mr=0.73 ret=1.07
long,241274,291.22,OPEN_LONG mr=0.68 ret=0.31,244901.0,307.47,6515.778345161962,5.579973902891297,CLOSE_LONG mr=0.74 ret=0.70
short,244912,307.55,OPEN_SHORT mr=0.85 ret=0.61,245422.0,318.86,-4533.802087399497,-3.6774508210047205,CLOSE_SHORT mr=0.73 ret=1.45
long,245734,321.43,OPEN_LONG mr=0.66 ret=1.30,248185.0,316.05,-1987.648199263931,-1.6737703387984904,CLOSE_LONG mr=0.69 ret=0.91
short,248187,316.26,OPEN_SHORT mr=0.86 ret=0.63,248200.0,315.95,114.45386574724398,0.09802061594890182,CLOSE_SHORT mr=0.69 ret=2.53
long,248464,311.96,OPEN_LONG mr=0.87 ret=0.33,249372.0,322.07,3787.83255325137,3.2408001025772695,CLOSE_LONG mr=0.97 ret=0.57
long,249772,315.5704,OPEN_LONG mr=0.81 ret=0.58,249909.0,318.07,955.7936601563852,0.7920894988883596,CLOSE_LONG mr=0.88 ret=0.51
long,250135,322.42,OPEN_LONG mr=0.71 ret=0.79,252692.0,339.821,6563.999990441851,5.396997704857022,CLOSE_LONG mr=0.93 ret=0.30
long,253018,349.86,OPEN_LONG mr=0.69 ret=0.37,255413.0,370.71,7639.348908211701,5.959526667809975,CLOSE_LONG mr=0.85 ret=0.38
short,255414,370.93,OPEN_SHORT mr=0.82 ret=0.39,255571.0,365.85,1860.1858678393182,1.3695306392041524,CLOSE_SHORT mr=0.69 ret=0.89
long,255618,366.58,OPEN_LONG mr=0.74 ret=0.30,257380.0,369.46,1081.7222040880006,0.7856402422390798,CLOSE_LONG mr=0.77 ret=0.38
short,257460,368.55,OPEN_SHORT mr=0.82 ret=0.72,257602.0,370.14,-598.675370050536,-0.4314204314204202,CLOSE_SHORT mr=0.67 ret=5.17
short,257641,369.09,OPEN_SHORT mr=0.69 ret=0.63,262635.0,365.48,1351.4124553409056,0.9780812268010302,CLOSE_SHORT mr=0.67 ret=1.00
short,262863,369.44,OPEN_SHORT mr=0.69 ret=0.39,265294.0,377.01,-2858.854627426772,-2.0490472065829346,CLOSE_SHORT mr=0.67 ret=4.75
long,265295,376.91,OPEN_LONG mr=0.82 ret=0.51,270400.0,367.47,-3422.8124829474255,-2.504576689395348,CLOSE_LONG mr=0.79 ret=0.61
short,270632,369.75,OPEN_SHORT mr=0.66 ret=0.67,271450.0,367.41,843.2195692446548,0.6328600405679469,CLOSE_SHORT mr=0.67 ret=1.11
long,271768,363.52,OPEN_LONG mr=0.68 ret=0.90,271891.0,358.64,-1799.9661186287703,-1.342429577464787,CLOSE_LONG mr=0.80 ret=0.38
long,274258,370.75,OPEN_LONG mr=0.91 ret=0.60,276019.0,390.45,7028.915148218017,5.313553607552249,CLOSE_LONG mr=0.71 ret=0.49
short,276924,389.67,OPEN_SHORT mr=0.77 ret=0.55,,,,,
