side,seen_idx,exec_px,qty,fee,reason,signal_ts,signal_dir,bsp_type,pred_ret,ret_th,daily_no_sell,daily_no_buy,daily_sig_dir,daily_sig_type,pnl,entry_px,entry_idx
buy,14109,164.05,630.4068064762295,0.0,OPEN_LONG pred_ret=0.49%,2019/01/22 04:00,buy,1p,0.4874594211578369,-0.5,0,0,,,,,
sell,14397,161.24,630.4068064762295,0.0,CLOSE_LONG pred_ret=1.04%,2019/01/23 12:50,sell,3a,1.0398406982421875,0.8999999999999997,0,0,,,-1771.4431261982063,164.05,14109.0
buy,14909,162.51,625.4802379929066,0.0,OPEN_LONG pred_ret=2.49%,2019/01/28 09:30,buy,1p,2.4920475482940674,2.2999999999999994,0,0,,,,,
sell,15047,162.81,625.4802379929066,0.0,CLOSE_LONG pred_ret=1.11%,2019/01/29 05:05,sell,2,1.1058292388916016,1.0999999999999996,0,0,,,187.6440713978791,162.51,14909.0
buy,15114,161.901,628.9920231970472,0.0,OPEN_LONG pred_ret=2.64%,2019/01/29 10:45,buy,2s,2.637913465499878,2.499999999999999,0,0,,,,,
sell,15192,162.89,628.9920231970472,0.0,CLOSE_LONG pred_ret=1.22%,2019/01/29 17:15,sell,2s,1.2236182689666748,1.0999999999999996,0,0,,,622.0731109418645,161.901,15114.0
buy,15610,167.59,611.3521729134615,0.0,OPEN_LONG pred_ret=1.08%,2019/02/01 04:35,buy,2s,1.0845481157302856,0.9999999999999996,0,0,,,,,
sell,15617,167.65,611.3521729134615,0.0,CLOSE_LONG pred_ret=2.99%,2019/02/01 05:10,sell,3a,2.9898369312286377,2.1499999999999995,0,0,,,36.68113037480908,167.59,15610.0
buy,15633,167.49,611.9361859749347,0.0,OPEN_LONG pred_ret=1.28%,2019/02/01 06:35,buy,1p,1.2828031778335571,0.9999999999999996,0,0,,,,,
sell,15841,168.08,611.9361859749347,0.0,CLOSE_LONG pred_ret=2.63%,2019/02/04 09:45,sell,1,2.632469654083252,-0.5,0,0,,,361.04234972521357,167.49,15633.0
buy,15911,169.05,608.4249283565041,0.0,OPEN_LONG pred_ret=1.31%,2019/02/04 15:35,buy,1p,1.3131247758865356,1.0499999999999996,0,0,,,,,
sell,16015,170.3,608.4249283565041,0.0,CLOSE_LONG pred_ret=1.00%,2019/02/05 09:30,sell,1p,1.000532865524292,0.9999999999999996,0,0,,,760.5311604456301,169.05,15911.0
buy,16056,170.09,609.1761144048013,0.0,OPEN_LONG pred_ret=2.56%,2019/02/05 12:55,buy,1p,2.5628607273101807,2.0499999999999994,0,0,,,,,
sell,16067,170.3913,609.1761144048013,0.0,CLOSE_LONG pred_ret=1.45%,2019/02/05 13:50,sell,2s,1.4537818431854248,0.9999999999999996,0,0,,,183.54476327016522,170.09,16056.0
buy,16210,169.94,610.7938687912371,0.0,OPEN_LONG pred_ret=2.24%,2019/02/06 10:10,buy,1,2.240635395050049,2.1999999999999993,0,0,,,,,
sell,16586,167.39,610.7938687912371,0.0,CLOSE_LONG pred_ret=1.15%,2019/02/08 10:40,sell,2,1.1462106704711914,-0.5,0,0,,,-1557.5243654176616,169.94,16210.0
buy,16751,168.86,605.4766415786163,0.0,OPEN_LONG pred_ret=2.68%,2019/02/11 09:40,buy,1p,2.6781444549560547,2.4499999999999993,0,0,,,,,
sell,16866,169.62,605.4766415786163,0.0,CLOSE_LONG pred_ret=1.36%,2019/02/12 04:00,sell,1p,1.359825849533081,1.0999999999999996,0,0,,,460.1622475997429,168.86,16751.0
buy,17418,170.51,602.3162743801824,0.0,OPEN_LONG pred_ret=0.29%,2019/02/15 04:00,buy,1p,0.29388830065727234,0.24999999999999978,0,0,,,,,
sell,17463,171.68,602.3162743801824,0.0,CLOSE_LONG pred_ret=2.72%,2019/02/15 08:35,sell,1p,2.720573663711548,2.349999999999999,0,0,,,704.710041024823,170.51,17418.0
buy,17495,171.27,603.7581478693859,0.0,OPEN_LONG pred_ret=0.29%,2019/02/15 11:15,buy,1p,0.2862311005592346,0.24999999999999978,0,0,,,,,
sell,17506,171.63,603.7581478693859,0.0,CLOSE_LONG pred_ret=2.79%,2019/02/15 12:10,sell,2s,2.7852942943573,2.349999999999999,0,0,,,217.35293323297,171.27,17495.0
buy,17598,171.98,602.5294273684307,0.0,OPEN_LONG pred_ret=0.35%,2019/02/19 04:20,buy,3a,0.3545789122581482,0.24999999999999978,0,0,,,,,
sell,17608,171.97,602.5294273684307,0.0,CLOSE_LONG pred_ret=2.75%,2019/02/19 05:45,sell,2,2.751420736312866,2.349999999999999,0,0,,,-6.025294273678827,171.98,17598.0
buy,17612,171.63,603.7230415693587,0.0,OPEN_LONG pred_ret=0.35%,2019/02/19 06:15,buy,1p,0.35161352157592773,0.24999999999999978,0,0,,,,,
sell,17677,172.59,603.7230415693587,0.0,CLOSE_LONG pred_ret=2.55%,2019/02/19 11:45,sell,1p,2.5536446571350098,2.349999999999999,0,0,,,579.5741199065891,171.63,17612.0
buy,17719,172.59,603.7230415693587,0.0,OPEN_LONG pred_ret=0.42%,2019/02/19 15:15,buy,3a,0.41731640696525574,0.24999999999999978,0,0,,,,,
sell,17759,172.28,603.7230415693587,0.0,CLOSE_LONG pred_ret=2.75%,2019/02/19 19:05,sell,2,2.7525665760040283,2.349999999999999,0,0,,,-187.15414288650257,172.59,17719.0
buy,17852,172.25,603.8281892689064,0.0,OPEN_LONG pred_ret=0.94%,2019/02/20 12:20,buy,2s,0.9358453154563904,0.8499999999999996,0,0,,,,,
sell,17863,172.07,603.8281892689064,0.0,CLOSE_LONG pred_ret=1.08%,2019/02/20 13:15,sell,2,1.0779529809951782,0.5499999999999998,0,0,,,-108.68907406840727,172.25,17852.0
buy,18319,173.83,597.7145287205932,0.0,OPEN_LONG pred_ret=1.14%,2019/02/25 06:50,buy,2,1.1423163414001465,0.8999999999999997,0,0,,,,,
sell,18340,174.01,597.7145287205932,0.0,CLOSE_LONG pred_ret=1.18%,2019/02/25 08:35,sell,1p,1.1769495010375977,1.0499999999999996,0,0,,,107.58861516969387,173.83,18319.0
buy,18385,173.83,598.3334587969304,0.0,OPEN_LONG pred_ret=1.54%,2019/02/25 12:20,buy,2s,1.5353217124938965,0.8999999999999997,0,0,,,,,
sell,18396,173.75,598.3334587969304,0.0,CLOSE_LONG pred_ret=1.30%,2019/02/25 13:15,sell,2,1.296754240989685,1.0499999999999996,0,0,,,-47.86667670376191,173.83,18385.0
buy,18422,173.67,598.6090773649258,0.0,OPEN_LONG pred_ret=1.46%,2019/02/25 15:25,buy,2s,1.4601213932037354,0.8999999999999997,0,0,,,,,
sell,18598,173.8,598.6090773649258,0.0,CLOSE_LONG pred_ret=1.39%,2019/02/26 14:30,sell,2,1.3914830684661865,1.3499999999999996,0,0,,,77.81918005745464,173.67,18422.0
buy,18727,172.8,602.0732502663432,0.0,OPEN_LONG pred_ret=1.18%,2019/02/27 09:55,buy,1p,1.177181601524353,0.9499999999999997,0,0,,,,,
sell,18941,173.76,602.0732502663432,0.0,CLOSE_LONG pred_ret=1.38%,2019/02/28 12:25,sell,2s,1.376485824584961,1.3499999999999996,0,0,,,577.9903202556771,172.8,18727.0
buy,19073,174.4299,599.760981152198,0.0,OPEN_LONG pred_ret=1.08%,2019/03/01 08:00,buy,1p,1.084201455116272,1.0499999999999996,0,0,,,,,
sell,19208,175.4,599.760981152198,0.0,CLOSE_LONG pred_ret=1.08%,2019/03/04 04:00,sell,1p,1.084758996963501,-0.5,0,0,,,581.8281278157486,174.4299,19073.0
buy,19293,174.52,602.7852171332543,0.0,OPEN_LONG pred_ret=1.00%,2019/03/04 11:10,buy,2s,1.0034531354904175,0.8999999999999997,0,0,,,,,
sell,19319,173.4,602.7852171332543,0.0,CLOSE_LONG pred_ret=1.19%,2019/03/04 13:20,sell,2,1.1860058307647705,-0.5,0,0,,,-675.1194431892475,174.52,19293.0
buy,19566,174.3,599.6727289208621,0.0,OPEN_LONG pred_ret=0.91%,2019/03/05 19:00,buy,1p,0.9091410040855408,0.8999999999999997,0,0,,,,,
sell,19582,174.56,599.6727289208621,0.0,CLOSE_LONG pred_ret=1.18%,2019/03/06 04:20,sell,2s,1.1845654249191284,1.1499999999999997,0,0,,,155.9149095194187,174.3,19566.0
buy,19809,172.37,607.2917071440836,0.0,OPEN_LONG pred_ret=1.49%,2019/03/07 09:40,buy,1,1.4882304668426514,1.3999999999999995,0,0,,,,,
sell,20056,170.91,607.2917071440836,0.0,CLOSE_LONG pred_ret=0.53%,2019/03/08 14:50,sell,1p,0.5273173451423645,-0.5,0,0,,,-886.6458924303669,172.37,19809.0
buy,20900,177.47,584.8437801769049,0.0,OPEN_LONG pred_ret=0.43%,2019/03/15 08:50,buy,3a,0.4325711727142334,0.19999999999999984,0,0,,,,,
sell,20910,177.8119,584.8437801769049,0.0,CLOSE_LONG pred_ret=2.69%,2019/03/15 09:40,sell,1,2.690284013748169,-0.5,0,0,,,199.95808844248944,177.47,20900.0
buy,20949,178.55,582.4261201704721,0.0,OPEN_LONG pred_ret=0.85%,2019/03/15 12:55,buy,3a,0.8505522608757019,0.19999999999999984,0,0,,,,,
sell,20958,178.795,582.4261201704721,0.0,CLOSE_LONG pred_ret=2.93%,2019/03/15 13:40,sell,1p,2.933323860168457,-0.5,0,0,,,142.69439944175176,178.55,20949.0
buy,21438,178.59,583.0946758266396,0.0,OPEN_LONG pred_ret=1.53%,2019/03/20 09:35,buy,1,1.5327563285827637,0.2999999999999998,0,0,,,,,
sell,21444,179.0699,583.0946758266396,0.0,CLOSE_LONG pred_ret=0.25%,2019/03/20 10:05,sell,2s,0.24896222352981567,-0.5,0,0,,,279.8271349291964,178.59,21438.0
buy,21463,178.81,583.9422028455275,0.0,OPEN_LONG pred_ret=1.77%,2019/03/20 11:40,buy,2,1.7674481868743896,0.2999999999999998,0,0,,,,,
sell,21472,178.86,583.9422028455275,0.0,CLOSE_LONG pred_ret=0.30%,2019/03/20 12:25,sell,2s,0.29830649495124817,-0.5,0,0,,,29.197110142283012,178.81,21463.0
buy,21473,178.48,585.1854684051494,0.0,OPEN_LONG pred_ret=1.53%,2019/03/20 12:30,buy,1,1.532964825630188,0.2999999999999998,0,0,,,,,
sell,21490,178.9,585.1854684051494,0.0,CLOSE_LONG pred_ret=0.72%,2019/03/20 13:55,sell,2s,0.7162574529647827,-0.5,0,0,,,245.77789673017207,178.48,21473.0
buy,21504,180.29,580.6738049680029,0.0,OPEN_LONG pred_ret=1.81%,2019/03/20 15:05,buy,2,1.8102774620056152,0.2999999999999998,0,0,,,,,
sell,21631,180.38,580.6738049680029,0.0,CLOSE_LONG pred_ret=1.03%,2019/03/21 09:55,sell,1,1.0331817865371704,0.9999999999999996,0,0,,,52.26064244712224,180.29,21504.0
buy,21662,181.32,577.6634730869642,0.0,OPEN_LONG pred_ret=1.72%,2019/03/21 12:30,buy,3a,1.7158106565475464,-0.5,0,0,,,,,
sell,22080,178.54,577.6634730869642,0.0,CLOSE_LONG pred_ret=0.87%,2019/03/25 16:35,sell,1,0.8741101622581482,-0.5,0,0,,,-1605.9044551817613,181.32,21662.0
buy,22202,179.61,574.2221284168286,0.0,OPEN_LONG pred_ret=1.68%,2019/03/26 11:45,buy,1p,1.6806590557098389,1.6499999999999995,0,0,,,,,
sell,22220,179.57,574.2221284168286,0.0,CLOSE_LONG pred_ret=0.88%,2019/03/26 13:15,sell,2s,0.8849311470985413,0.4999999999999998,0,0,,,-22.968885136684893,179.61,22202.0
buy,22224,178.91,576.3404370902124,0.0,OPEN_LONG pred_ret=1.83%,2019/03/26 13:35,buy,1,1.8256953954696655,1.6499999999999995,0,0,,,,,
sell,22241,178.8,576.3404370902124,0.0,CLOSE_LONG pred_ret=0.82%,2019/03/26 15:00,sell,3a,0.817323625087738,0.4999999999999998,0,0,,,-63.397448079914845,178.91,22224.0
buy,22246,178.33,577.8594187838837,0.0,OPEN_LONG pred_ret=1.83%,2019/03/26 15:25,buy,2,1.8315106630325317,1.6499999999999995,0,0,,,,,
sell,22341,179.06,577.8594187838837,0.0,CLOSE_LONG pred_ret=0.94%,2019/03/27 07:50,sell,2,0.9440197348594666,0.8999999999999997,0,0,,,421.8373757122292,178.33,22246.0
buy,22366,178.82,578.6349822583727,0.0,OPEN_LONG pred_ret=1.64%,2019/03/27 09:55,buy,2s,1.6368778944015503,-0.5,0,0,,,,,
sell,22552,178.9101,578.6349822583727,0.0,CLOSE_LONG pred_ret=1.13%,2019/03/28 10:00,sell,2s,1.127152919769287,0.8499999999999996,0,0,,,52.135011901483274,178.82,22366.0
buy,22564,177.93,581.8223039360629,0.0,OPEN_LONG pred_ret=1.86%,2019/03/28 11:00,buy,2s,1.8621703386306763,-0.5,0,0,,,,,
sell,22754,179.58,581.8223039360629,0.0,CLOSE_LONG pred_ret=1.12%,2019/03/29 11:35,sell,2s,1.119006633758545,0.9499999999999997,0,0,,,960.006801494507,177.93,22564.0
buy,22759,179.2897,582.764371521834,0.0,OPEN_LONG pred_ret=1.68%,2019/03/29 12:00,buy,2,1.6796071529388428,-0.5,0,0,,,,,
sell,22843,181.62,582.764371521834,0.0,CLOSE_LONG pred_ret=1.03%,2019/04/01 04:00,sell,1,1.0255142450332642,0.9499999999999997,0,0,,,1358.0158149573265,179.2897,22759.0
buy,22855,181.56,582.9569572361506,0.0,OPEN_LONG pred_ret=1.45%,2019/04/01 05:10,buy,3a,1.4519855976104736,-0.5,0,0,,,,,
sell,22886,181.51,582.9569572361506,0.0,CLOSE_LONG pred_ret=1.05%,2019/04/01 08:05,sell,2,1.051760196685791,0.9499999999999997,0,0,,,-29.14784786181416,181.56,22855.0
buy,22910,180.991,584.6286130687918,0.0,OPEN_LONG pred_ret=1.69%,2019/04/01 10:05,buy,1p,1.6941392421722412,-0.5,0,0,,,,,
sell,22942,181.6964,584.6286130687918,0.0,CLOSE_LONG pred_ret=1.02%,2019/04/01 12:45,sell,2s,1.0196880102157593,0.9499999999999997,0,0,,,412.39702365872415,180.991,22910.0
buy,23293,184.6293,575.3415862573947,0.0,OPEN_LONG pred_ret=0.47%,2019/04/03 12:30,buy,3a,0.47169867157936096,-0.5,0,0,,,,,
sell,23316,183.91,575.3415862573947,0.0,CLOSE_LONG pred_ret=2.86%,2019/04/03 14:25,sell,2,2.862746238708496,2.3999999999999995,0,0,,,-413.84320299494635,184.6293,23293.0
buy,23325,183.39,576.9729599683596,0.0,OPEN_LONG pred_ret=0.39%,2019/04/03 15:10,buy,1p,0.38702449202537537,-0.5,0,0,,,,,
sell,23333,183.71,576.9729599683596,0.0,CLOSE_LONG pred_ret=2.53%,2019/04/03 15:50,sell,2s,2.531240701675415,2.3999999999999995,0,0,,,184.63134718988755,183.39,23325.0
buy,23363,183.95,576.2201819830789,0.0,OPEN_LONG pred_ret=0.48%,2019/04/03 18:40,buy,2,0.475197434425354,-0.5,0,0,,,,,
sell,23395,183.8,576.2201819830789,0.0,CLOSE_LONG pred_ret=2.70%,2019/04/04 05:35,sell,2s,2.702101230621338,2.499999999999999,0,0,,,-86.43302729744873,183.95,23363.0
buy,23420,183.85,576.063472659722,0.0,OPEN_LONG pred_ret=0.55%,2019/04/04 07:40,buy,2s,0.5468221306800842,0.44999999999999973,0,0,,,,,
sell,23430,183.92,576.063472659722,0.0,CLOSE_LONG pred_ret=2.68%,2019/04/04 08:30,sell,2s,2.6785223484039307,2.499999999999999,0,0,,,40.324443086176615,183.85,23420.0
buy,23451,183.855,576.2671338368609,0.0,OPEN_LONG pred_ret=0.65%,2019/04/04 10:15,buy,2s,0.6535437107086182,0.44999999999999973,0,0,,,,,
sell,23486,183.32,576.2671338368609,0.0,CLOSE_LONG pred_ret=2.83%,2019/04/04 13:10,sell,3a,2.8326361179351807,2.499999999999999,0,0,,,-308.30291660271865,183.855,23451.0
buy,24307,185.29,570.140271870977,0.0,OPEN_LONG pred_ret=0.74%,2019/04/11 09:45,buy,2s,0.740649402141571,0.5999999999999996,0,0,,,,,
sell,24318,185.4,570.140271870977,0.0,CLOSE_LONG pred_ret=0.66%,2019/04/11 10:40,sell,2,0.6574347615242004,0.5999999999999996,0,0,,,62.71542990581525,185.29,24307.0
buy,24354,184.92,571.6201947051652,0.0,OPEN_LONG pred_ret=0.67%,2019/04/11 13:40,buy,2s,0.6667208075523376,0.5999999999999996,0,0,,,,,
sell,24381,185.06,571.6201947051652,0.0,CLOSE_LONG pred_ret=0.76%,2019/04/11 15:55,sell,2s,0.7582746148109436,0.5999999999999996,0,0,,,80.02682725873157,184.92,24354.0
buy,24508,185.3,570.8798339564916,0.0,OPEN_LONG pred_ret=0.94%,2019/04/12 11:05,buy,2s,0.938799262046814,-0.5,0,0,,,,,
sell,24522,185.61,570.8798339564916,0.0,CLOSE_LONG pred_ret=0.65%,2019/04/12 12:15,sell,2,0.6544734835624695,0.5499999999999998,0,0,,,176.97274852651367,185.3,24508.0
buy,24538,185.54,571.0952138658208,0.0,OPEN_LONG pred_ret=0.70%,2019/04/12 13:35,buy,2s,0.696984052658081,-0.5,0,0,,,,,
sell,24551,185.76,571.0952138658208,0.0,CLOSE_LONG pred_ret=0.84%,2019/04/12 14:40,sell,2s,0.8378580808639526,0.5499999999999998,0,0,,,125.64094705047994,185.54,24538.0
buy,24635,185.84,570.8493700372087,0.0,OPEN_LONG pred_ret=0.64%,2019/04/15 08:45,buy,1p,0.6372226476669312,0.3999999999999998,0,0,,,,,
sell,24686,185.3843,570.8493700372087,0.0,CLOSE_LONG pred_ret=0.84%,2019/04/15 13:00,sell,1p,0.8419106006622314,0.5499999999999998,0,0,,,-260.1360579259602,185.84,24635.0
buy,25116,186.35,567.8911235298573,0.0,OPEN_LONG pred_ret=0.88%,2019/04/18 04:00,buy,1,0.8753418922424316,-0.5,0,0,,,,,
sell,25156,187.01,567.8911235298573,0.0,CLOSE_LONG pred_ret=1.21%,2019/04/18 08:20,sell,2s,1.2099204063415527,0.7999999999999998,0,0,,,374.80814152970385,186.35,25116.0
buy,25175,186.755,568.6665364317881,0.0,OPEN_LONG pred_ret=0.49%,2019/04/18 09:55,buy,2,0.4871172308921814,-0.5,0,0,,,,,
sell,25189,186.99,568.6665364317881,0.0,CLOSE_LONG pred_ret=1.65%,2019/04/18 11:05,sell,2s,1.6504299640655518,0.7999999999999998,0,0,,,133.63663606147796,186.755,25175.0
buy,25242,187.37,567.5132392986073,0.0,OPEN_LONG pred_ret=0.71%,2019/04/18 15:30,buy,2s,0.7051012516021729,-0.5,0,0,,,,,
sell,25254,187.45,567.5132392986073,0.0,CLOSE_LONG pred_ret=1.32%,2019/04/18 16:30,sell,2s,1.3241448402404785,0.7999999999999998,0,0,,,45.40105914387956,187.37,25242.0
buy,25269,187.4,567.6646569184842,0.0,OPEN_LONG pred_ret=0.70%,2019/04/18 19:10,buy,2s,0.6995779871940613,-0.5,0,0,,,,,
sell,25288,186.97,567.6646569184842,0.0,CLOSE_LONG pred_ret=1.02%,2019/04/22 06:00,sell,2,1.018527626991272,0.6499999999999997,0,0,,,-244.09580247495208,187.4,25269.0
buy,25309,187.3,566.6645002885691,0.0,OPEN_LONG pred_ret=0.60%,2019/04/22 08:00,buy,1p,0.5968493819236755,-0.5,0,0,,,,,
sell,25328,186.79,566.6645002885691,0.0,CLOSE_LONG pred_ret=1.44%,2019/04/22 09:35,sell,2s,1.4372985363006592,0.6499999999999997,0,0,,,-288.9988951471812,187.3,25309.0
buy,25370,187.49,564.5488399856089,0.0,OPEN_LONG pred_ret=0.38%,2019/04/22 13:05,buy,2,0.3838322162628174,-0.5,0,0,,,,,
sell,25379,187.75,564.5488399856089,0.0,CLOSE_LONG pred_ret=0.92%,2019/04/22 13:50,sell,1p,0.9197322130203247,0.6499999999999997,0,0,,,146.78269839625318,187.49,25370.0
buy,25555,190.16,557.3940087678695,0.0,OPEN_LONG pred_ret=1.12%,2019/04/23 13:35,buy,3a,1.1249784231185913,0.8499999999999996,0,0,,,,,
sell,26014,189.88,557.3940087678695,0.0,CLOSE_LONG pred_ret=0.94%,2019/04/26 06:15,sell,1p,0.9444325566291809,0.4999999999999998,0,0,,,-156.07032245500412,190.16,25555.0
