side,seen_idx,exec_px,qty,fee,reason,signal_ts,signal_dir,bsp_type,pred_ret,pred_mr,ret_th,mr_th,pnl,entry_px,entry_idx
sell,18405,173.81,590.7025173437755,0.0,CLOSE_LONG pred_ret=1.26% pred_mr=1.00,2019/02/25 14:00,sell,2,1.2556228637695312,1.0,1.0499999999999996,0.9499999999999998,1016.0083298312933,172.09,18233.0
buy,18427,173.66,591.2127406398804,0.0,OPEN_LONG pred_ret=1.47% pred_mr=0.60,2019/02/25 15:50,buy,2s,1.4745639562606812,0.6045410633087158,0.6999999999999997,0.55,,,
sell,18598,173.8,591.2127406398804,0.0,CLOSE_LONG pred_ret=1.39% pred_mr=0.95,2019/02/26 14:30,sell,2,1.3914830684661865,0.9462994337081909,1.3499999999999996,0.4,82.76978368959199,173.66,18427.0
buy,18855,172.79,594.6685243544837,0.0,OPEN_LONG pred_ret=1.20% pred_mr=0.90,2019/02/28 05:05,buy,2s,1.2000640630722046,0.904761791229248,0.9499999999999997,0.8999999999999999,,,
sell,19560,174.48,594.6685243544837,0.0,CLOSE_LONG pred_ret=1.39% pred_mr=0.91,2019/03/05 18:30,sell,2,1.385517954826355,0.9067190289497375,1.3499999999999996,0.8999999999999999,1004.989806159076,172.79,18855.0
buy,19700,173.46,598.1653645184498,0.0,OPEN_LONG pred_ret=0.90% pred_mr=0.73,2019/03/06 15:10,buy,2,0.9037741422653198,0.7299590706825256,-0.5,0.6499999999999999,,,
sell,20056,170.91,598.1653645184498,0.0,CLOSE_LONG pred_ret=0.53% pred_mr=0.55,2019/03/08 14:50,sell,1p,0.5273173451423645,0.5465769171714783,-0.5,0.4,-1525.3216795220537,173.46,19700.0
buy,20949,178.55,572.57038616549,0.0,OPEN_LONG pred_ret=0.85% pred_mr=0.47,2019/03/15 12:55,buy,3a,0.8505522608757019,0.4741121530532837,-0.5,0.45,,,
sell,22886,181.51,572.57038616549,0.0,CLOSE_LONG pred_ret=1.05% pred_mr=0.64,2019/04/01 08:05,sell,2,1.051760196685791,0.6432978510856628,-0.5,0.6,1694.8083430498389,178.55,20949.0
buy,22933,181.46,572.7281538239727,0.0,OPEN_LONG pred_ret=1.66% pred_mr=0.44,2019/04/01 12:00,buy,2,1.6617496013641357,0.4400087296962738,-0.5,0.4,,,
sell,23057,182.14,572.7281538239727,0.0,CLOSE_LONG pred_ret=3.03% pred_mr=0.58,2019/04/02 07:55,sell,1p,3.033177137374878,0.5798813700675964,2.499999999999999,0.4,389.45514460028903,181.46,22933.0
buy,23293,184.6293,565.0062364830412,0.0,OPEN_LONG pred_ret=0.47% pred_mr=0.62,2019/04/03 12:30,buy,3a,0.47169867157936096,0.6214986443519592,-0.5,0.45,,,
sell,23353,184.14,565.0062364830412,0.0,CLOSE_LONG pred_ret=2.69% pred_mr=0.57,2019/04/03 17:45,sell,2s,2.6883292198181152,0.5715984106063843,2.3999999999999995,0.5,-276.45755151116015,184.6293,23293.0
buy,23363,183.95,565.5898254198815,0.0,OPEN_LONG pred_ret=0.48% pred_mr=0.66,2019/04/03 18:40,buy,2,0.475197434425354,0.6608706712722778,-0.5,0.45,,,
sell,23399,183.93,565.5898254198815,0.0,CLOSE_LONG pred_ret=2.68% pred_mr=0.47,2019/04/04 05:55,sell,2s,2.6801507472991943,0.46727386116981506,2.499999999999999,0.45,-11.311796508387342,183.95,23363.0
buy,24363,184.72,563.1709429919815,0.0,OPEN_LONG pred_ret=0.72% pred_mr=0.49,2019/04/11 14:25,buy,1p,0.7216674089431763,0.4886341392993927,0.4999999999999998,0.4,,,
sell,24388,185.11,563.1709429919815,0.0,CLOSE_LONG pred_ret=0.80% pred_mr=0.51,2019/04/11 16:30,sell,2s,0.797820508480072,0.5115968585014343,0.5999999999999996,0.4,219.63666776688112,184.72,24363.0
buy,24508,185.3,562.5934876267982,0.0,OPEN_LONG pred_ret=0.94% pred_mr=0.47,2019/04/12 11:05,buy,2s,0.938799262046814,0.4713880121707916,0.44999999999999973,0.45,,,
sell,24551,185.76,562.5934876267982,0.0,CLOSE_LONG pred_ret=0.84% pred_mr=0.80,2019/04/12 14:40,sell,2s,0.8378580808639526,0.8004773259162903,-0.5,0.7999999999999999,258.79300430831563,185.3,24508.0
buy,24655,185.0,564.9046824948866,0.0,OPEN_LONG pred_ret=0.59% pred_mr=0.44,2019/04/15 10:25,buy,1,0.5860241055488586,0.4362432062625885,-0.5,0.4,,,
sell,24734,185.84,564.9046824948866,0.0,CLOSE_LONG pred_ret=0.96% pred_mr=0.80,2019/04/15 17:00,sell,2,0.9623534083366394,0.8031577467918396,0.5999999999999996,0.4,474.5199332957067,185.0,24655.0
buy,25761,190.02,552.4780875426256,0.0,OPEN_LONG pred_ret=1.08% pred_mr=0.59,2019/04/24 15:35,buy,2,1.0783888101577759,0.5855594873428345,0.9499999999999997,0.4,,,
sell,26126,190.49,552.4780875426256,0.0,CLOSE_LONG pred_ret=0.55% pred_mr=0.90,2019/04/26 15:40,sell,2s,0.5483004450798035,0.9014802575111389,-0.5,0.8999999999999999,259.6647011450334,190.02,25761.0
buy,27656,184.36,570.8480738554716,0.0,OPEN_LONG pred_ret=1.37% pred_mr=0.71,2019/05/09 05:35,buy,2,1.3711973428726196,0.714236319065094,1.3499999999999996,0.6,,,
sell,27738,183.88,570.8480738554716,0.0,CLOSE_LONG pred_ret=1.23% pred_mr=0.54,2019/05/09 12:25,sell,2,1.2288933992385864,0.5444233417510986,-0.5,0.4,-274.00707545063676,184.36,27656.0
buy,27872,183.89,570.8170309453702,0.0,OPEN_LONG pred_ret=1.57% pred_mr=0.58,2019/05/10 07:55,buy,1,1.5707134008407593,0.5841723680496216,1.4999999999999996,0.4,,,
sell,27955,184.5,570.8170309453702,0.0,CLOSE_LONG pred_ret=1.13% pred_mr=0.46,2019/05/10 14:50,sell,1p,1.1252501010894775,0.45715972781181335,-0.5,0.45,348.1983888766836,183.89,27872.0
buy,28009,182.0,578.6579242275868,0.0,OPEN_LONG pred_ret=1.57% pred_mr=0.76,2019/05/13 04:00,buy,1,1.574637532234192,0.7627894878387451,1.4999999999999996,0.4,,,
sell,28452,180.57,578.6579242275868,0.0,CLOSE_LONG pred_ret=3.05% pred_mr=0.41,2019/05/15 10:00,sell,2s,3.053244113922119,0.4068865478038788,-0.5,0.4,-827.4808316454531,182.0,28009.0
buy,29486,180.76,578.0496867546766,0.0,OPEN_LONG pred_ret=2.72% pred_mr=0.91,2019/05/22 19:10,buy,2s,2.7237071990966797,0.9098546504974365,2.1999999999999993,0.7999999999999999,,,
sell,29740,179.15,578.0496867546766,0.0,CLOSE_LONG pred_ret=0.47% pred_mr=0.48,2019/05/24 09:10,sell,2,0.46810081601142883,0.4777003824710846,-0.5,0.4,-930.6599956750208,180.76,29486.0
buy,30056,176.2,587.7275901367782,0.0,OPEN_LONG pred_ret=2.12% pred_mr=0.62,2019/05/29 05:05,buy,1,2.1166329383850098,0.6190720200538635,-0.5,0.6,,,
sell,30333,176.87,587.7275901367782,0.0,CLOSE_LONG pred_ret=1.51% pred_mr=0.43,2019/05/30 12:50,sell,2,1.508459448814392,0.43195798993110657,-0.5,0.4,393.7774853916507,176.2,30056.0
buy,31970,182.41,569.8776320787894,0.0,OPEN_LONG pred_ret=1.22% pred_mr=0.62,2019/06/12 10:20,buy,2s,1.2199102640151978,0.616003155708313,-0.5,0.6,,,
sell,32505,183.55,569.8776320787894,0.0,CLOSE_LONG pred_ret=1.95% pred_mr=0.66,2019/06/17 09:40,sell,1,1.9465389251708984,0.65904301404953,1.5499999999999994,0.6,649.6605005698283,182.41,31970.0
buy,32513,183.895,568.8085014169053,0.0,OPEN_LONG pred_ret=1.38% pred_mr=0.48,2019/06/17 10:20,buy,3a,1.3755247592926025,0.47662046551704407,-0.5,0.4,,,
sell,32548,183.96,568.8085014169053,0.0,CLOSE_LONG pred_ret=1.60% pred_mr=0.60,2019/06/17 13:15,sell,2,1.6014785766601562,0.6028546094894409,1.5499999999999994,0.6,36.97255259209755,183.895,32513.0
buy,32579,183.64,569.7996728417224,0.0,OPEN_LONG pred_ret=1.20% pred_mr=0.49,2019/06/17 15:50,buy,1,1.1970895528793335,0.4855073392391205,-0.5,0.4,,,
sell,32591,183.96,569.7996728417224,0.0,CLOSE_LONG pred_ret=1.73% pred_mr=0.69,2019/06/17 16:50,sell,2s,1.7263011932373047,0.6948678493499756,1.5499999999999994,0.6,182.33589530936348,183.64,32579.0
buy,32622,183.57,571.0102294272663,0.0,OPEN_LONG pred_ret=1.12% pred_mr=0.62,2019/06/17 19:55,buy,2,1.1170908212661743,0.6249212026596069,-0.5,0.4,,,
sell,32628,184.85,571.0102294272663,0.0,CLOSE_LONG pred_ret=1.55% pred_mr=0.51,2019/06/18 04:25,sell,1p,1.5482449531555176,0.5095536708831787,1.2499999999999996,0.4,730.8930936669014,183.57,32622.0
buy,33578,187.9,561.7415695030876,0.0,OPEN_LONG pred_ret=2.59% pred_mr=0.41,2019/06/25 07:45,buy,2,2.5875580310821533,0.4073200821876526,0.4999999999999998,0.4,,,
sell,34166,187.017,561.7415695030876,0.0,CLOSE_LONG pred_ret=0.88% pred_mr=0.48,2019/06/28 12:25,sell,2,0.879353404045105,0.4785727262496948,0.7999999999999998,0.4,-496.0178058712318,187.9,33578.0
buy,35035,189.26,555.0841334870491,0.0,OPEN_LONG pred_ret=0.99% pred_mr=0.50,2019/07/08 14:20,buy,2s,0.9891695380210876,0.5022663474082947,-0.5,0.45,,,
sell,35198,190.51,555.0841334870491,0.0,CLOSE_LONG pred_ret=1.21% pred_mr=0.78,2019/07/09 12:40,sell,1,1.207348108291626,0.7802183628082275,-0.5,0.75,693.8551668588115,189.26,35035.0
buy,36031,194.03,545.0140610762136,0.0,OPEN_LONG pred_ret=1.27% pred_mr=0.46,2019/07/16 08:30,buy,2,1.2683063745498657,0.46040040254592896,1.0499999999999996,0.4,,,
sell,36169,193.53,545.0140610762136,0.0,CLOSE_LONG pred_ret=0.75% pred_mr=0.48,2019/07/17 05:10,sell,1,0.753079354763031,0.4784031808376312,-0.5,0.4,-272.5070305381068,194.03,36031.0
buy,36426,190.72,553.0441025591423,0.0,OPEN_LONG pred_ret=1.80% pred_mr=0.46,2019/07/18 11:45,buy,1,1.802716851234436,0.4645760655403137,1.5499999999999994,0.4,,,
sell,36502,193.71,553.0441025591423,0.0,CLOSE_LONG pred_ret=0.66% pred_mr=0.56,2019/07/18 18:05,sell,1p,0.6588129997253418,0.5587710738182068,-0.5,0.5,1653.6018666518405,190.72,36426.0
buy,36632,192.31,557.0702153124198,0.0,OPEN_LONG pred_ret=1.72% pred_mr=0.63,2019/07/19 13:35,buy,2,1.716294288635254,0.6287932395935059,1.4999999999999996,0.4,,,
sell,36768,192.0,557.0702153124198,0.0,CLOSE_LONG pred_ret=0.78% pred_mr=0.40,2019/07/22 09:40,sell,1p,0.7763634920120239,0.4022935926914215,-0.5,0.4,-172.6917667468514,192.31,36632.0
buy,37077,192.84,554.6436493465287,0.0,OPEN_LONG pred_ret=0.94% pred_mr=0.54,2019/07/24 04:40,buy,2,0.9361181855201721,0.5438008308410645,-0.5,0.5,,,
sell,37136,193.81,554.6436493465287,0.0,CLOSE_LONG pred_ret=1.90% pred_mr=0.52,2019/07/24 09:50,sell,1,1.8992035388946533,0.5201245546340942,1.6499999999999995,0.5,538.0043398661322,192.84,37077.0
buy,37319,194.34,553.1310367389665,0.0,OPEN_LONG pred_ret=0.81% pred_mr=0.47,2019/07/25 09:30,buy,1,0.8118116855621338,0.46904614567756653,0.5499999999999998,0.45,,,
sell,37421,194.47,553.1310367389665,0.0,CLOSE_LONG pred_ret=1.93% pred_mr=0.63,2019/07/25 18:00,sell,1p,1.9277122020721436,0.6285213828086853,-0.5,0.6,71.90703477606313,194.34,37319.0
buy,37644,194.91,551.8823698867519,0.0,OPEN_LONG pred_ret=0.68% pred_mr=0.63,2019/07/29 06:40,buy,1,0.6750249266624451,0.6338201761245728,-0.5,0.4,,,
sell,37651,195.12,551.8823698867519,0.0,CLOSE_LONG pred_ret=1.83% pred_mr=0.56,2019/07/29 07:15,sell,2s,1.8267455101013184,0.5608329176902771,-0.5,0.45,115.8952976762223,194.91,37644.0
buy,37680,194.3,554.2114668672313,0.0,OPEN_LONG pred_ret=0.61% pred_mr=0.51,2019/07/29 09:40,buy,1,0.6132120490074158,0.5108137130737305,-0.5,0.4,,,
sell,37719,194.43,554.2114668672313,0.0,CLOSE_LONG pred_ret=1.66% pred_mr=0.56,2019/07/29 12:55,sell,1p,1.661209225654602,0.5570675730705261,-0.5,0.45,72.04749069273754,194.3,37680.0
buy,37805,193.97,555.5257797752012,0.0,OPEN_LONG pred_ret=1.42% pred_mr=0.61,2019/07/30 04:50,buy,2s,1.4207592010498047,0.6076411604881287,1.0499999999999996,0.4,,,
sell,37914,194.445,555.5257797752012,0.0,CLOSE_LONG pred_ret=1.34% pred_mr=0.50,2019/07/30 14:00,sell,2s,1.3427097797393799,0.49681851267814636,0.9499999999999997,0.4,263.8747453932174,193.97,37805.0
buy,37925,194.04,556.6852723582199,0.0,OPEN_LONG pred_ret=1.45% pred_mr=0.66,2019/07/30 14:55,buy,2,1.4478254318237305,0.6590113639831543,1.0499999999999996,0.4,,,
sell,37986,194.5,556.6852723582199,0.0,CLOSE_LONG pred_ret=1.49% pred_mr=0.80,2019/07/31 04:15,sell,1,1.4875810146331787,0.8015404939651489,1.0499999999999996,0.4,256.0752252847856,194.04,37925.0
buy,38060,193.91,558.3790700514351,0.0,OPEN_LONG pred_ret=1.29% pred_mr=0.72,2019/07/31 10:30,buy,1p,1.2886277437210083,0.716802716255188,1.0999999999999996,0.45,,,
sell,38068,194.13,558.3790700514351,0.0,CLOSE_LONG pred_ret=1.12% pred_mr=0.48,2019/07/31 11:10,sell,2s,1.123696208000183,0.47931861877441406,1.0499999999999996,0.4,122.84339541131509,193.91,38060.0
buy,38079,194.155,558.3071714304813,0.0,OPEN_LONG pred_ret=1.34% pred_mr=0.60,2019/07/31 12:05,buy,2,1.344622254371643,0.6027418971061707,1.0999999999999996,0.45,,,
sell,38249,193.88,558.3071714304813,0.0,CLOSE_LONG pred_ret=1.54% pred_mr=0.56,2019/08/01 10:25,sell,1,1.5395264625549316,0.5576455593109131,1.0999999999999996,0.4,-153.53447214338553,194.155,38079.0
buy,38296,190.02,569.64842857037,0.0,OPEN_LONG pred_ret=2.43% pred_mr=0.95,2019/08/01 14:20,buy,1p,2.4258880615234375,0.9534053802490234,1.2499999999999996,0.9499999999999998,,,
sell,38848,182.86,569.64842857037,0.0,CLOSE_LONG pred_ret=3.63% pred_mr=0.44,2019/08/06 13:35,sell,1,3.6285321712493896,0.4449423551559448,-0.5,0.4,-4078.6827485638473,190.02,38296.0
buy,38854,182.495,570.7877566419785,0.0,OPEN_LONG pred_ret=2.31% pred_mr=0.83,2019/08/06 14:05,buy,2s,2.313929557800293,0.8326204419136047,-0.5,0.6,,,
sell,38858,183.56,570.7877566419785,0.0,CLOSE_LONG pred_ret=3.78% pred_mr=0.51,2019/08/06 14:25,sell,1,3.779648542404175,0.5117204785346985,-0.5,0.4,607.8889608237058,182.495,38854.0
buy,38912,182.82,573.0981326397635,0.0,OPEN_LONG pred_ret=2.58% pred_mr=0.90,2019/08/06 19:00,buy,1p,2.5805068016052246,0.8976889848709106,-0.5,0.6,,,
sell,38925,183.69,573.0981326397635,0.0,CLOSE_LONG pred_ret=4.29% pred_mr=0.74,2019/08/07 04:05,sell,2s,4.292794704437256,0.7423579096794128,-0.5,0.4,498.5953753965969,182.82,38912.0
buy,38970,183.91,572.4125712826826,0.0,OPEN_LONG pred_ret=2.57% pred_mr=0.79,2019/08/07 07:55,buy,2,2.569373369216919,0.7928369045257568,2.499999999999999,0.6,,,
sell,39039,183.65,572.4125712826826,0.0,CLOSE_LONG pred_ret=3.85% pred_mr=0.47,2019/08/07 13:40,sell,1p,3.8491342067718506,0.4685368835926056,-0.5,0.4,-148.8272685334923,183.91,38970.0
buy,39320,186.92,562.3987198591091,0.0,OPEN_LONG pred_ret=1.93% pred_mr=1.00,2019/08/09 05:45,buy,1,1.9306868314743042,1.0,-0.5,0.6,,,
sell,39666,183.64,562.3987198591091,0.0,CLOSE_LONG pred_ret=3.96% pred_mr=0.46,2019/08/12 19:55,sell,3a,3.9560673236846924,0.4633429944515228,-0.5,0.45,-1844.6678011378783,186.92,39320.0
buy,39679,183.64,562.3987198591091,0.0,OPEN_LONG pred_ret=2.20% pred_mr=1.00,2019/08/13 05:10,buy,2,2.197883129119873,1.0,-0.5,0.9499999999999998,,,
sell,39732,185.7,562.3987198591091,0.0,CLOSE_LONG pred_ret=5.79% pred_mr=0.50,2019/08/13 09:35,sell,1p,5.79260778427124,0.4971448481082916,-0.5,0.4,1158.541362909766,183.64,39679.0
buy,39948,183.49,569.1723923801653,0.0,OPEN_LONG pred_ret=2.64% pred_mr=0.88,2019/08/14 11:45,buy,1,2.638824701309204,0.8822850584983826,2.4499999999999993,0.8499999999999999,,,
sell,40237,184.33,569.1723923801653,0.0,CLOSE_LONG pred_ret=1.55% pred_mr=0.91,2019/08/16 04:00,sell,1,1.5465376377105713,0.9148237109184265,-0.5,0.7999999999999999,478.1048095993408,183.49,39948.0
buy,40826,188.26,557.290699497694,0.0,OPEN_LONG pred_ret=0.74% pred_mr=0.54,2019/08/21 07:30,buy,2,0.7350568771362305,0.5429310202598572,-0.5,0.45,,,
sell,41087,188.22,557.290699497694,0.0,CLOSE_LONG pred_ret=3.26% pred_mr=0.91,2019/08/22 13:25,sell,2s,3.2578136920928955,0.9104195237159729,-0.5,0.8999999999999999,-22.29162797990333,188.26,40826.0
buy,41096,188.085,557.6907007972777,0.0,OPEN_LONG pred_ret=0.69% pred_mr=0.52,2019/08/22 14:10,buy,2,0.6898708939552307,0.5160942077636719,-0.5,0.5,,,
sell,41639,184.68,557.6907007972777,0.0,CLOSE_LONG pred_ret=2.99% pred_mr=0.43,2019/08/27 13:35,sell,2,2.9915711879730225,0.42750146985054016,-0.5,0.4,-1898.9368362147313,188.085,41096.0
buy,41744,184.01,559.721312011528,0.0,OPEN_LONG pred_ret=2.51% pred_mr=0.66,2019/08/28 07:25,buy,1,2.5078632831573486,0.6575780510902405,-0.5,0.4,,,
sell,41775,184.0,559.721312011528,0.0,CLOSE_LONG pred_ret=2.48% pred_mr=0.45,2019/08/28 10:00,sell,2s,2.4780545234680176,0.448694109916687,-0.5,0.4,-5.597213120110189,184.01,41744.0
buy,41857,184.69,557.6301987661549,0.0,OPEN_LONG pred_ret=2.24% pred_mr=0.50,2019/08/28 16:50,buy,2s,2.240061044692993,0.4952515661716461,-0.5,0.4,,,
sell,41977,187.99,557.6301987661549,0.0,CLOSE_LONG pred_ret=2.93% pred_mr=0.90,2019/08/29 11:20,sell,2,2.9292125701904297,0.9009286165237427,2.499999999999999,0.75,1840.1796559283175,184.69,41857.0
buy,42276,185.22,565.9696634599366,0.0,OPEN_LONG pred_ret=2.13% pred_mr=0.58,2019/09/03 05:55,buy,1,2.126042366027832,0.5789483785629272,-0.5,0.55,,,
sell,42440,188.35,565.9696634599366,0.0,CLOSE_LONG pred_ret=3.79% pred_mr=0.79,2019/09/04 04:00,sell,1p,3.786824941635132,0.7935917973518372,-0.5,0.4,1771.4850466295989,185.22,42276.0
buy,43038,191.61,556.3404107962999,0.0,OPEN_LONG pred_ret=1.05% pred_mr=0.71,2019/09/09 10:00,buy,1,1.0531529188156128,0.7140076756477356,-0.5,0.4,,,
sell,43176,190.56,556.3404107962999,0.0,CLOSE_LONG pred_ret=2.43% pred_mr=0.51,2019/09/10 06:15,sell,1p,2.426140546798706,0.5073140263557434,-0.5,0.4,-584.1574313361212,191.61,43038.0
buy,43896,191.06,554.8844796469324,0.0,OPEN_LONG pred_ret=2.18% pred_mr=0.81,2019/09/16 04:50,buy,1,2.176356077194214,0.8141762614250183,-0.5,0.75,,,
sell,43990,191.37,554.8844796469324,0.0,CLOSE_LONG pred_ret=2.50% pred_mr=0.64,2019/09/16 12:50,sell,2s,2.5010221004486084,0.6429429054260254,-0.5,0.55,172.0141886905503,191.06,43896.0
buy,44027,191.65,554.073795304114,0.0,OPEN_LONG pred_ret=2.13% pred_mr=0.91,2019/09/16 15:55,buy,2,2.1332058906555176,0.9127302169799805,-0.5,0.75,,,
sell,44028,191.88,554.073795304114,0.0,CLOSE_LONG pred_ret=2.51% pred_mr=0.74,2019/09/16 16:00,sell,2s,2.512495756149292,0.7385035753250122,-0.5,0.55,127.43697291994056,191.65,44027.0
buy,44068,191.47,555.2602488272491,0.0,OPEN_LONG pred_ret=1.82% pred_mr=0.75,2019/09/17 04:35,buy,2,1.8173346519470215,0.7506181001663208,-0.5,0.75,,,
sell,44099,191.77,555.2602488272491,0.0,CLOSE_LONG pred_ret=1.62% pred_mr=0.69,2019/09/17 07:40,sell,1,1.620431900024414,0.6884757280349731,-0.5,0.6,166.57807464818106,191.47,44068.0
buy,44331,191.56,555.8689596867904,0.0,OPEN_LONG pred_ret=1.66% pred_mr=0.72,2019/09/18 13:00,buy,1p,1.6622934341430664,0.7227768301963806,-0.5,0.7,,,
sell,44362,192.255,555.8689596867904,0.0,CLOSE_LONG pred_ret=1.14% pred_mr=0.93,2019/09/18 15:35,sell,2s,1.1368505954742432,0.9288523197174072,-0.5,0.8999999999999999,386.3289269823155,191.56,44331.0
buy,44439,191.95,556.7522107037452,0.0,OPEN_LONG pred_ret=2.13% pred_mr=0.70,2019/09/19 06:35,buy,2s,2.1277997493743896,0.7031876444816589,-0.5,0.7,,,
sell,44465,192.91,556.7522107037452,0.0,CLOSE_LONG pred_ret=1.43% pred_mr=0.74,2019/09/19 08:45,sell,1,1.4279216527938843,0.7435926198959351,-0.5,0.7,534.4821222755997,191.95,44439.0
buy,44778,190.09,565.0116732435134,0.0,OPEN_LONG pred_ret=2.53% pred_mr=0.62,2019/09/23 04:15,buy,1,2.532942533493042,0.6154845356941223,2.1999999999999993,0.55,,,
sell,45204,187.97,565.0116732435134,0.0,CLOSE_LONG pred_ret=0.39% pred_mr=0.60,2019/09/25 08:55,sell,1p,0.39100825786590576,0.5964231491088867,-0.5,0.4,-1197.824747276251,190.09,44778.0
buy,45600,186.9321,568.1487781904939,0.0,OPEN_LONG pred_ret=2.25% pred_mr=0.60,2019/09/27 12:55,buy,1p,2.2465391159057617,0.6036457419395447,2.1999999999999993,0.4,,,
sell,45673,188.29,568.1487781904939,0.0,CLOSE_LONG pred_ret=0.49% pred_mr=0.64,2019/09/30 04:00,sell,1p,0.48800691962242126,0.6386333703994751,-0.5,0.6,771.4892259048721,186.9321,45600.0
buy,45722,187.58,570.2992506956397,0.0,OPEN_LONG pred_ret=1.76% pred_mr=0.95,2019/09/30 08:35,buy,1p,1.7596014738082886,0.9491084218025208,1.7499999999999996,0.55,,,
sell,45742,188.11,570.2992506956397,0.0,CLOSE_LONG pred_ret=1.20% pred_mr=0.65,2019/09/30 10:15,sell,2s,1.2045581340789795,0.6512006521224976,-0.5,0.6,302.25860286868965,187.58,45722.0
buy,45794,188.73,568.4257513291834,0.0,OPEN_LONG pred_ret=1.78% pred_mr=0.64,2019/09/30 14:35,buy,2,1.783136010169983,0.6447040438652039,1.7499999999999996,0.55,,,
sell,45822,189.17,568.4257513291834,0.0,CLOSE_LONG pred_ret=0.61% pred_mr=0.66,2019/09/30 16:55,sell,1p,0.6074528694152832,0.6568189263343811,-0.5,0.6,250.10733058483942,188.73,45794.0
buy,45958,187.44,573.6721050946522,0.0,OPEN_LONG pred_ret=1.01% pred_mr=0.88,2019/10/01 13:05,buy,1p,1.0093024969100952,0.8802229762077332,-0.5,0.8499999999999999,,,
sell,46493,188.18,573.6721050946522,0.0,CLOSE_LONG pred_ret=1.79% pred_mr=0.49,2019/10/04 11:35,sell,1p,1.7903536558151245,0.4916626513004303,-0.5,0.4,424.51735777004785,187.44,45958.0
buy,46772,188.23,573.519719155882,0.0,OPEN_LONG pred_ret=1.29% pred_mr=1.00,2019/10/08 04:55,buy,1p,1.2912408113479614,1.0,-0.5,0.9999999999999999,,,
sell,46776,188.18,573.519719155882,0.0,CLOSE_LONG pred_ret=2.69% pred_mr=0.60,2019/10/08 05:15,sell,2s,2.6944057941436768,0.6038996577262878,-0.5,0.45,-28.675985957784317,188.23,46772.0
