date,equity,cash,pos,qty,has_model,bsp_count,mr_th,ret_th_buy,ret_th_sell
2021-03-02,99000.20859305796,0.0,1,309.59817554197696,1,53,0.65,0.3,0.3
2021-03-03,95446.02153783609,0.0,1,309.59817554197696,1,61,0.6,0.1,-0.2
2021-03-04,93139.51513004834,0.0,1,309.59817554197696,1,35,0.7,-0.4,-0.1
2021-03-05,95427.53083942049,190960.15467429138,-1,309.09704544236223,1,36,0.5,0.8,-0.5
2021-03-08,96308.45741893121,96308.45741893121,0,0.0,1,48,0.5,0.0,-0.2
2021-03-09,96308.45741893121,96308.45741893121,0,0.0,1,29,0.5,0.3,-0.1
2021-03-10,97948.502685015,192616.91483786242,-1,304.8411275248669,1,43,0.6,0.1,-0.1
2021-03-11,95558.54824522005,95558.54824522005,0,0.0,1,41,0.7,-0.5,0.4
2021-03-12,96577.05029310995,0.0,1,305.86565599263827,1,15,0.55,-0.5,0.3
2021-03-15,95879.65781961846,193319.32921358707,-1,305.8850145784606,1,58,0.55,-0.4,-0.5
2021-03-16,95182.23998637957,193319.32921358707,-1,305.8850145784606,1,48,0.5,-0.2,0.0
2021-03-17,96215.82545064017,96215.82545064017,0,0.0,1,42,0.8,-0.2,0.0
2021-03-18,95109.61620100972,0.0,1,304.74084011858287,1,39,0.7,-0.5,-0.2
2021-03-19,95329.02960589509,0.0,1,304.74084011858287,1,23,0.7,-0.5,-0.3
2021-03-22,97218.4228146303,0.0,1,304.74084011858287,1,21,0.75,-0.2,0.3
2021-03-23,96785.69082166192,0.0,1,304.74084011858287,1,27,0.65,0.3,0.3
2021-03-24,95143.13769342274,95143.13769342274,0,0.0,1,47,0.7,-0.2,-0.5
2021-03-25,94929.90106426322,94929.90106426322,0,0.0,1,51,0.5,-0.3,-0.5
2021-03-26,93884.61167000227,189859.80212852644,-1,303.86319600609204,1,43,0.5,0.1,-0.3
2021-03-29,93711.40964827879,189859.80212852644,-1,303.86319600609204,1,48,0.55,0.5,-0.1
2021-03-30,94334.32920009129,189859.80212852644,-1,303.86319600609204,1,53,0.7,0.2,0.0
2021-03-31,92675.23614989803,189859.80212852644,-1,303.86319600609204,1,41,0.5,0.0,0.0
2021-04-01,91013.10446774469,189859.80212852644,-1,303.86319600609204,1,50,0.5,-0.1,0.2
2021-04-05,89013.68463802461,189859.80212852644,-1,303.86319600609204,1,43,0.5,-0.4,-0.1
2021-04-06,89177.77076386791,189859.80212852644,-1,303.86319600609204,1,49,0.65,0.3,0.3
2021-04-07,89854.73368872682,0.0,1,270.2885744456949,1,49,0.7,-0.1,-0.1
2021-04-08,90925.07644353175,0.0,1,270.2885744456949,1,31,0.65,-0.3,0.1
2021-04-09,90935.8879865096,0.0,1,270.2885744456949,1,39,0.65,-0.4,0.1
2021-04-12,90957.49501349227,182023.1375747088,-1,270.36886931066005,1,43,0.65,-0.5,-0.2
2021-04-13,89984.1670839739,182023.1375747088,-1,270.36886931066005,1,36,0.5,-0.1,0.0
2021-04-14,90043.64823522224,90043.64823522224,0,0.0,1,49,0.75,-0.5,0.1
2021-04-15,90043.64823522224,90043.64823522224,0,0.0,1,42,0.6,-0.5,-0.2
2021-04-16,90043.64823522224,90043.64823522224,0,0.0,1,30,0.55,-0.5,0.0
2021-04-19,90043.64823522224,90043.64823522224,0,0.0,1,34,0.5,-0.5,0.0
2021-04-20,90064.95781946913,90064.95781946913,0,0.0,1,58,0.75,-0.1,-0.2
2021-04-21,90997.98087784494,0.0,1,268.88272575671465,1,54,0.5,-0.2,0.0
2021-04-22,90194.02152783236,0.0,1,268.88272575671465,1,43,0.55,-0.2,0.1
2021-04-23,91231.90884925329,0.0,1,268.88272575671465,1,38,0.5,-0.1,0.1
2021-04-26,91952.51455428128,0.0,1,268.88272575671465,1,40,0.55,-0.5,0.2
2021-04-27,92452.69018658591,183985.69392628956,-1,268.9141657550492,1,31,0.55,0.0,-0.5
2021-04-28,92622.10611101158,92622.10611101158,0,0.0,1,44,0.75,-0.5,-0.2
2021-04-29,92622.10611101158,92622.10611101158,0,0.0,1,40,0.8,0.1,-0.5
2021-04-30,92880.33597144685,0.0,1,274.7126174843148,1,47,0.65,0.1,-0.2
2021-05-03,92204.54293243542,0.0,1,274.7126174843148,1,56,0.5,0.3,0.0
2021-05-04,90580.99136310312,0.0,1,274.7126174843148,1,38,0.7,-0.2,0.0
2021-05-05,90413.4166664377,0.0,1,274.7126174843148,1,35,0.75,-0.2,0.1
2021-05-06,91177.11774304409,0.0,1,274.7126174843148,1,49,0.65,-0.4,0.0
2021-05-07,91891.37054850331,0.0,1,274.7126174843148,1,37,0.8,0.4,0.0
2021-05-10,89309.07194415075,0.0,1,274.7126174843148,1,41,0.8,0.5,-0.1
2021-05-11,89391.48572939604,89391.48572939604,0,0.0,1,44,0.65,0.3,0.3
2021-05-12,89518.26218252629,89518.26218252629,0,0.0,1,31,0.75,-0.5,-0.2
2021-05-13,89518.26218252629,89518.26218252629,0,0.0,1,49,0.75,-0.5,0.3
2021-05-14,89518.26218252629,89518.26218252629,0,0.0,1,55,0.75,-0.2,-0.5
2021-05-17,89702.41089502949,179036.52436505258,-1,274.84882463164354,1,27,0.5,-0.4,-0.2
2021-05-18,89444.05299987573,89444.05299987573,0,0.0,1,40,0.5,0.1,-0.2
2021-05-19,89444.05299987573,89444.05299987573,0,0.0,1,18,0.7,0.2,0.0
2021-05-20,89444.05299987573,89444.05299987573,0,0.0,1,59,0.65,-0.1,-0.3
2021-05-21,89444.05299987573,89444.05299987573,0,0.0,1,21,0.6,-0.5,0.0
2021-05-24,89444.05299987573,89444.05299987573,0,0.0,1,57,0.7,-0.5,-0.1
2021-05-25,89529.6991800725,178888.10599975145,-1,267.64431311492183,1,23,0.75,-0.5,-0.2
2021-05-26,89860.01237979418,0.0,1,268.86485662077126,1,29,0.5,-0.2,0.0
2021-05-27,89827.74859699969,0.0,1,268.86485662077126,1,36,0.5,0.0,0.2
2021-05-28,89747.1160264991,0.0,1,268.86485662077126,1,33,0.5,0.2,0.0
2021-06-01,89381.4329350092,0.0,1,268.86485662077126,1,45,0.5,-0.5,0.1
2021-06-02,89072.28605537633,178778.99776141567,-1,268.8244282470463,1,48,0.5,-0.1,0.1
2021-06-03,90128.76605838722,90128.76605838722,0,0.0,1,56,0.65,-0.1,0.4
2021-06-04,90128.76605838722,90128.76605838722,0,0.0,1,20,0.55,-0.5,0.3
2021-06-07,89438.86759794746,180257.53211677444,-1,269.49158610927884,1,53,0.5,-0.3,-0.1
2021-06-08,89457.73200897512,180257.53211677444,-1,269.49158610927884,1,37,0.55,-0.3,0.1
2021-06-09,89157.89982318552,178241.73505267705,-1,264.51640604991843,1,25,0.5,-0.1,0.0
2021-06-10,88165.96330049833,178241.73505267705,-1,264.51640604991843,1,62,0.8,0.0,-0.2
2021-06-11,88164.49610218902,176718.06765054833,-1,259.38363078019717,1,45,0.5,-0.5,-0.1
2021-06-14,87464.16029908248,176718.06765054833,-1,259.38363078019717,1,27,0.5,-0.5,0.3
2021-06-15,87941.42617971805,176718.06765054833,-1,259.38363078019717,1,13,0.6,0.2,-0.5
2021-06-16,88849.26888744874,176718.06765054833,-1,259.38363078019717,1,65,0.5,0.3,-0.3
2021-06-17,87007.64510890933,176718.06765054833,-1,259.38363078019717,1,38,0.75,-0.4,-0.5
2021-06-18,88045.17963203012,176718.06765054833,-1,259.38363078019717,1,29,0.65,-0.2,0.1
2021-06-21,87941.4116691685,0.0,1,255.2874235635407,1,63,0.5,-0.2,0.1
2021-06-22,88814.4946577558,0.0,1,255.2874235635407,1,37,0.7,0.0,0.1
2021-06-23,88885.9751363536,0.0,1,255.2874235635407,1,43,0.5,0.1,0.4
2021-06-24,89263.80052322765,0.0,1,255.2874235635407,1,45,0.5,0.0,0.6
2021-06-25,89452.71321666465,89452.71321666465,0,0.0,1,10,0.5,0.0,0.0
2021-06-28,88712.06262900349,178905.4264333293,-1,255.39675436592333,1,32,0.65,-0.5,-0.5
2021-06-29,88583.93826223246,88583.93826223246,0,0.0,1,81,0.55,-0.1,-0.3
2021-06-30,88681.35461662641,177362.70923325283,-1,249.93335949672064,1,24,0.5,-0.3,0.2
2021-07-01,88636.2484116226,0.0,1,250.23643717462127,1,56,0.5,0.0,0.3
2021-07-02,89689.74381212777,0.0,1,250.23643717462127,1,51,0.7,0.0,0.3
2021-07-06,89184.73587786373,179129.32040646233,-1,249.95021405752007,1,46,0.5,0.2,0.0
2021-07-07,88502.53954530823,0.0,1,245.16618062912607,1,26,0.5,0.0,-0.2
2021-07-08,87779.2993124523,0.0,1,245.16618062912607,1,39,0.7,-0.1,-0.2
2021-07-09,88519.70117795226,0.0,1,245.16618062912607,1,34,0.7,-0.5,-0.3
2021-07-12,88871.66711937482,88871.66711937482,0,0.0,1,52,0.55,-0.2,0.1
2021-07-13,88871.66711937482,88871.66711937482,0,0.0,1,31,0.8,-0.1,-0.3
2021-07-14,88854.54159854028,0.0,1,244.65029763633436,1,40,0.65,0.0,-0.1
2021-07-15,89047.81533367299,89047.81533367299,0,0.0,1,41,0.7,0.0,-0.2
2021-07-16,88773.38139553691,0.0,1,248.4631011098461,1,55,0.65,0.1,-0.2
2021-07-19,88221.69944335475,176364.07842979097,-1,247.87642787040193,1,46,0.75,0.1,-0.5
2021-07-20,87173.18215346296,87173.18215346296,0,0.0,1,42,0.65,0.3,0.3
2021-07-21,86857.9971688523,0.0,1,240.1714286433079,1,47,0.5,-0.5,-0.4
2021-07-22,87201.44231181224,87201.44231181224,0,0.0,1,40,0.75,-0.1,0.0
2021-07-23,87201.44231181224,87201.44231181224,0,0.0,1,34,0.5,-0.1,0.2
2021-07-26,87334.21592636025,0.0,1,237.09574026431451,1,53,0.5,-0.5,0.2
2021-07-27,85899.9507795466,0.0,1,236.15755973922748,1,60,0.5,-0.5,0.1
2021-07-28,86273.07972393458,0.0,1,236.15755973922748,1,47,0.75,-0.1,0.1
2021-07-29,86813.91244022879,86813.91244022879,0,0.0,1,75,0.7,-0.1,-0.3
2021-07-30,87278.04905309554,0.0,1,239.11794261122066,1,37,0.5,-0.2,-0.1
2021-08-02,87203.92249088606,0.0,1,239.11794261122066,1,34,0.75,-0.5,-0.3
2021-08-03,87617.59653160347,0.0,1,239.11794261122066,1,35,0.5,-0.2,0.0
2021-08-04,87911.71160101527,0.0,1,239.11794261122066,1,49,0.7,-0.5,0.1
2021-08-05,88375.60040968104,0.0,1,239.11794261122066,1,35,0.65,-0.5,0.1
2021-08-06,87966.70872781586,0.0,1,239.11794261122066,1,28,0.7,-0.3,0.2
2021-08-09,88143.65600534817,0.0,1,239.11794261122066,1,36,0.6,-0.3,0.1
2021-08-10,87658.24658184737,0.0,1,239.11794261122066,1,21,0.5,-0.5,0.0
2021-08-11,87414.34628038394,0.0,1,239.11794261122066,1,36,0.65,-0.5,0.0
2021-08-12,87839.97621823191,0.0,1,239.11794261122066,1,49,0.65,-0.1,0.1
2021-08-13,88138.87364649594,0.0,1,239.11794261122066,1,42,0.7,-0.2,0.1
2021-08-16,88203.43549100097,0.0,1,239.11794261122066,1,44,0.7,-0.2,-0.2
2021-08-17,88626.22314818604,176124.703041021,-1,239.94537347895292,1,43,0.5,-0.2,-0.1
2021-08-18,88321.49252386777,88321.49252386777,0,0.0,1,61,0.8,-0.5,-0.3
2021-08-19,89336.06088846482,0.0,1,245.6581996603003,1,36,0.7,-0.4,0.0
2021-08-20,90198.32116927247,90198.32116927247,0,0.0,1,54,0.8,-0.1,-0.2
2021-08-23,90198.32116927247,90198.32116927247,0,0.0,1,53,0.75,-0.5,-0.2
2021-08-24,90215.18742406572,0.0,1,240.94649704627346,1,40,0.5,0.1,0.0
2021-08-25,90248.91993365219,0.0,1,240.94649704627346,1,46,0.8,-0.5,0.0
2021-08-26,89752.57014973687,0.0,1,240.94649704627346,1,49,0.75,0.1,-0.5
2021-08-27,90127.95824370075,90127.95824370075,0,0.0,1,42,0.75,0.1,-0.1
2021-08-30,90127.95824370075,90127.95824370075,0,0.0,1,37,0.7,0.0,0.1
2021-08-31,90273.03609342249,0.0,1,237.40443417073632,1,65,0.65,0.3,0.3
2021-09-01,90396.48639919127,0.0,1,237.40443417073632,1,18,0.5,0.0,0.3
2021-09-02,90273.03609342249,0.0,1,237.40443417073632,1,33,0.7,-0.1,-0.5
2021-09-03,90546.05119271883,0.0,1,237.40443417073632,1,26,0.5,0.0,0.1
2021-09-07,90643.38701072884,0.0,1,237.40443417073632,1,56,0.55,-0.5,-0.5
2021-09-08,90282.53227078932,0.0,1,237.40443417073632,1,18,0.7,-0.5,0.0
2021-09-09,90505.69243890981,90505.69243890981,0,0.0,1,45,0.7,0.1,0.0
2021-09-10,91627.15329240046,181011.38487781963,-1,237.59763845140662,1,46,0.55,0.4,-0.3
2021-09-13,91135.32618080605,0.0,1,241.96289972336666,1,32,0.7,0.0,0.0
2021-09-14,90919.97920005226,0.0,1,241.96289972336666,1,52,0.5,-0.2,0.2
2021-09-15,90900.62216807439,90900.62216807439,0,0.0,1,54,0.6,0.1,0.0
2021-09-16,90453.09764354432,181801.24433614878,-1,241.89207314743444,1,37,0.75,-0.5,-0.1
2021-09-17,90373.12931735138,0.0,1,242.02766287453505,1,37,0.55,-0.5,0.1
2021-09-20,88635.37069791224,0.0,1,242.02766287453505,1,48,0.65,-0.1,-0.1
2021-09-21,88325.57528943282,0.0,1,242.02766287453505,1,25,0.65,0.3,0.3
2021-09-22,89620.42328581159,0.0,1,242.02766287453505,1,28,0.65,0.3,0.3
2021-09-23,90306.56554779995,180564.73788754686,-1,241.96604026525898,1,45,0.55,0.2,-0.1
2021-09-24,91221.32173799191,0.0,1,244.142345980694,1,36,0.65,-0.5,0.2
2021-09-27,90269.1665886672,0.0,1,244.142345980694,1,54,0.75,0.0,-0.5
2021-09-28,88079.23415945497,0.0,1,244.142345980694,1,52,0.8,0.1,-0.1
2021-09-29,87998.66718528135,0.0,1,244.142345980694,1,21,0.8,-0.5,0.2
2021-09-30,87571.41807981512,0.0,1,244.142345980694,1,26,0.8,-0.5,0.2
2021-10-01,87964.46284260944,0.0,1,244.142345980694,1,60,0.5,-0.2,0.3
2021-10-04,86213.98663616247,86213.98663616247,0,0.0,1,35,0.7,0.5,-0.5
2021-10-05,86213.98663616247,86213.98663616247,0,0.0,1,3,0.8,-0.4,0.1
2021-10-06,86213.98663616247,86213.98663616247,0,0.0,1,43,0.8,-0.1,0.0
2021-10-07,86246.16765894556,171749.6645551523,-1,235.02239327178125,1,44,0.7,0.0,-0.5
2021-10-08,86941.83394303003,171749.6645551523,-1,235.02239327178125,1,46,0.5,0.0,0.3
2021-10-11,87609.29753992188,171749.6645551523,-1,235.02239327178125,1,36,0.7,0.8,-0.1
2021-10-12,88074.64187860003,171749.6645551523,-1,235.02239327178125,1,24,0.65,0.3,0.3
2021-10-13,87470.17166852923,175570.18716319525,-1,244.12551400650082,1,44,0.7,-0.5,-0.2
2021-10-14,85873.59080692672,175570.18716319525,-1,244.12551400650082,1,43,0.7,-0.5,-0.1
2021-10-15,85805.2356630049,85805.2356630049,0,0.0,1,52,0.75,-0.4,0.2
2021-10-18,85173.38562130384,171610.4713260098,-1,231.87157493617138,1,55,0.75,0.3,-0.3
2021-10-19,84510.2329169864,171610.4713260098,-1,231.87157493617138,1,33,0.8,-0.5,-0.5
2021-10-20,84078.14965130217,0.0,1,224.8980865355147,1,26,0.7,-0.2,0.0
2021-10-21,84779.83168129298,84779.83168129298,0,0.0,1,53,0.75,0.1,-0.1
2021-10-22,84779.83168129298,84779.83168129298,0,0.0,1,58,0.65,-0.5,-0.2
2021-10-25,84699.1849924166,169559.66336258597,-1,224.01858021216273,1,34,0.65,-0.1,-0.1
2021-10-26,84589.41588811264,169559.66336258597,-1,224.01858021216273,1,24,0.5,-0.5,0.0
2021-10-27,84219.78523076257,169559.66336258597,-1,224.01858021216273,1,45,0.55,-0.2,0.0
2021-10-28,83617.17524999187,83617.17524999187,0,0.0,1,38,0.75,-0.5,-0.5
2021-10-29,83617.17524999187,83617.17524999187,0,0.0,1,23,0.75,-0.5,0.1
2021-11-01,83837.89820120495,0.0,1,216.60741041520464,1,33,0.65,0.1,0.1
2021-11-02,84240.78798457724,84240.78798457724,0,0.0,1,35,0.8,-0.5,-0.5
2021-11-03,84240.78798457724,84240.78798457724,0,0.0,1,46,0.8,0.0,0.0
2021-11-04,84240.78798457724,84240.78798457724,0,0.0,1,53,0.55,0.0,0.2
2021-11-05,84240.78798457724,84240.78798457724,0,0.0,1,26,0.55,0.0,0.1
2021-11-08,84240.78798457724,84240.78798457724,0,0.0,1,36,0.55,0.1,0.1
2021-11-09,84078.76187011584,0.0,1,213.19225587026685,1,49,0.6,-0.3,-0.1
2021-11-10,83251.5759173392,0.0,1,213.19225587026685,1,40,0.7,0.0,0.0
2021-11-11,83564.9685334685,0.0,1,213.19225587026685,1,39,0.8,0.1,-0.5
2021-11-12,84206.677223638,0.0,1,213.19225587026685,1,53,0.6,0.1,0.0
2021-11-15,84157.64300478784,0.0,1,213.19225587026685,1,45,0.7,0.0,0.1
2021-11-16,84748.18555354848,0.0,1,213.19225587026685,1,45,0.5,-0.1,0.1
2021-11-17,84873.96898451194,0.0,1,213.19225587026685,1,36,0.65,-0.1,0.1
2021-11-18,85760.84876893224,0.0,1,213.19225587026685,1,34,0.6,-0.2,0.1
2021-11-19,86193.62904834888,0.0,1,213.19225587026685,1,33,0.55,-0.4,0.1
2021-11-22,85244.9235097262,0.0,1,213.19225587026685,1,25,0.65,-0.1,0.1
2021-11-23,84701.28325725702,0.0,1,213.19225587026685,1,41,0.8,-0.1,-0.5
2021-11-24,85099.95277573442,0.0,1,213.19225587026685,1,36,0.8,0.0,-0.1
2021-11-26,83332.58897456991,0.0,1,213.19225587026685,1,26,0.5,-0.1,0.3
2021-11-29,85315.27695416339,85315.27695416339,0,0.0,1,69,0.6,-0.5,-0.1
2021-11-30,84759.30229808629,0.0,1,214.6620293733982,1,37,0.55,-0.5,0.1
2021-12-01,83363.9991071592,0.0,1,214.6620293733982,1,27,0.55,-0.1,0.3
2021-12-02,83443.42405802736,0.0,1,214.6620293733982,1,33,0.8,-0.5,-0.5
2021-12-03,82076.02693091882,0.0,1,214.6620293733982,1,55,0.75,0.3,-0.5
2021-12-06,82913.20884547506,0.0,1,214.6620293733982,1,44,0.75,-0.5,0.1
2021-12-07,85420.46134855635,85420.46134855635,0,0.0,1,33,0.55,-0.2,-0.1
2021-12-08,85684.33649600272,0.0,1,214.53264020030727,1,26,0.8,-0.5,0.0
2021-12-09,84525.86023892106,0.0,1,214.53264020030727,1,48,0.75,-0.2,0.2
2021-12-10,84247.2337001568,169545.1455503028,-1,214.4241122426999,1,35,0.75,0.1,-0.1
2021-12-13,85345.08515483941,169545.1455503028,-1,214.4241122426999,1,23,0.5,0.0,0.1
2021-12-14,84028.82138027009,168313.61655553378,-1,216.92694490982572,1,45,0.5,-0.5,-0.5
2021-12-15,82039.60129544699,168313.61655553378,-1,216.92694490982572,1,41,0.7,0.0,-0.1
2021-12-16,84382.41230047311,168313.61655553378,-1,216.92694490982572,1,48,0.8,0.0,0.0
2021-12-17,84382.41230047311,168313.61655553378,-1,216.92694490982572,1,31,0.5,0.3,-0.2
2021-12-20,85306.52108578898,168313.61655553378,-1,216.92694490982572,1,23,0.5,0.2,-0.2
2021-12-21,84052.59657343221,168313.61655553378,-1,216.92694490982572,1,60,0.65,0.3,0.3
2021-12-22,83091.18771712258,168443.77272247968,-1,216.60893565464698,1,44,0.6,-0.5,-0.4
2021-12-23,82434.862642089,168443.77272247968,-1,216.60893565464698,1,45,0.8,-0.5,0.1
2021-12-27,81107.04986652602,168443.77272247968,-1,216.60893565464698,1,42,0.55,-0.5,-0.1
2021-12-28,81172.03254722242,168443.77272247968,-1,216.60893565464698,1,36,0.65,0.3,0.3
2021-12-29,81603.08432917515,81603.08432917515,0,0.0,1,38,0.5,-0.1,-0.1
