date,equity,cash,pos,buy_th,sell_th,p_day,daily_action,daily_buy_level,daily_sell_level,QQQ,Return %,QQQ %,date,Return %,QQQ %,date,Return %,QQQ %,date,Return %,QQQ %
1/16/2020,103400.9146,0,1,1.95,2.35,0.122201571,FORCE_BUY,0.175,0.195,222.28,3.40%,4.55%,1/16/2020,3.40%,4.55%,1/19/2023,6.67%,4.03%,1/20/2026,-2.90%,-0.83%
1/17/2020,103754.1519,0,1,1.95,2.35,0.120851018,FORCE_BUY,0.175,0.195,223.38,3.75%,5.07%,1/17/2020,3.75%,5.07%,1/20/2023,7.21%,6.88%,1/21/2026,-1.36%,0.52%
1/21/2020,103879.6441,0,1,1.95,2.35,0.141896394,FORCE_BUY,0.175,0.195,223.28,3.88%,5.02%,1/21/2020,3.88%,5.02%,1/23/2023,7.21%,9.26%,1/22/2026,-1.36%,1.25%
1/22/2020,104405.0854,104405.0854,0,1.95,2.35,0.186663745,FREE,0.175,0.195,223.87,4.41%,5.30%,1/22/2020,4.41%,5.30%,1/24/2023,6.79%,9.03%,1/23/2026,-0.87%,1.57%
1/23/2020,104405.0854,104405.0854,0,1.85,2.35,0.141678356,FORCE_BUY,0.175,0.195,224.59,4.41%,5.63%,1/23/2020,4.41%,5.63%,1/25/2023,7.53%,8.79%,1/26/2026,-0.03%,2.01%
1/24/2020,104405.0854,104405.0854,0,1.6,-0.5,0.313620931,FORCE_SELL,0.175,0.195,222.7,4.41%,4.75%,1/24/2020,4.41%,4.75%,1/26/2023,8.91%,10.91%,1/27/2026,1.15%,2.94%
1/27/2020,104405.0854,104405.0854,0,1.45,1.65,0.203658859,FORCE_SELL,0.175,0.195,218.1,4.41%,2.58%,1/27/2020,4.41%,2.58%,1/27/2023,10.40%,12.02%,1/28/2026,0.99%,3.28%
1/28/2020,104405.0854,104405.0854,0,1.8,2.45,0.20329493,FORCE_SELL,0.175,0.195,221.45,4.41%,4.16%,1/28/2020,4.41%,4.16%,1/30/2023,8.43%,9.75%,1/29/2026,-0.11%,2.66%
1/29/2020,104405.0854,104405.0854,0,1.8,2.45,0.211026889,FORCE_SELL,0.175,0.195,221.81,4.41%,4.33%,1/29/2020,4.41%,4.33%,1/31/2023,9.31%,11.40%,1/30/2026,-0.03%,1.43%
1/30/2020,106597.2933,0,1,1.5,-0.5,0.162827026,FORCE_BUY,0.175,0.195,222.6,6.60%,4.70%,1/30/2020,6.60%,4.70%,2/1/2023,10.07%,13.78%,2/2/2026,0.59%,2.12%
1/31/2020,103906.8564,0,1,2.3,-0.5,0.303832468,FORCE_SELL,0.175,0.195,219.07,3.91%,3.04%,1/31/2020,3.91%,3.04%,2/2/2023,9.18%,17.86%,2/3/2026,0.59%,0.55%
2/3/2020,105206.997,0,1,1.4,-0.5,0.165773978,FORCE_BUY,0.175,0.195,222.38,5.21%,4.60%,2/3/2020,5.21%,4.60%,2/3/2023,8.68%,15.77%,2/4/2026,0.59%,-1.20%
2/4/2020,107759.8278,0,1,1.3,2.35,0.167387716,FORCE_BUY,0.175,0.195,227.47,7.76%,6.99%,2/4/2020,7.76%,6.99%,2/6/2023,8.21%,14.79%,2/5/2026,0.59%,-2.62%
2/5/2020,109586.3976,109586.3976,0,-0.5,2.1,0.18815968,FREE,0.175,0.195,228.22,9.59%,7.34%,2/5/2020,9.59%,7.34%,2/7/2023,10.04%,17.17%,2/6/2026,0.59%,-0.57%
2/6/2020,109911.4894,0,1,1,1.4,0.133626323,FORCE_BUY,0.175,0.195,230.19,9.91%,8.27%,2/6/2020,9.91%,8.27%,2/8/2023,8.83%,15.08%,2/9/2026,0.59%,0.20%
2/7/2020,109419.0464,0,1,1.55,-0.5,0.164452447,FORCE_BUY,0.175,0.195,229.2,9.42%,7.80%,2/7/2020,9.42%,7.80%,2/9/2023,8.64%,14.07%,2/10/2026,0.59%,-0.27%
2/10/2020,111116.4664,0,1,1.55,-0.5,0.139668853,FORCE_BUY,0.175,0.195,231.97,11.12%,9.11%,2/10/2020,11.12%,9.11%,2/10/2023,8.15%,13.32%,2/11/2026,0.59%,0.00%
2/11/2020,111050.4461,0,1,-0.5,1.3,0.186723434,FREE,0.175,0.195,232.01,11.05%,9.12%,2/11/2020,11.05%,9.12%,2/13/2023,9.72%,15.13%,2/12/2026,0.59%,-2.04%
2/12/2020,111600.4375,0,1,2.25,2.45,0.126081118,FORCE_BUY,0.175,0.21,234.27,11.60%,10.19%,2/12/2020,11.60%,10.19%,2/14/2023,10.25%,15.98%,2/13/2026,0.59%,-1.83%
2/13/2020,112035.6482,0,1,2.25,2.45,0.152422188,FORCE_BUY,0.175,0.21,233.97,12.04%,10.05%,2/13/2020,12.04%,10.05%,2/15/2023,11.76%,16.87%,2/17/2026,0.59%,-1.93%
2/14/2020,112198.2065,0,1,2.25,2.45,0.147473314,FORCE_BUY,0.175,0.21,234.64,12.20%,10.36%,2/14/2020,12.20%,10.36%,2/16/2023,8.44%,14.68%,2/18/2026,0.59%,-1.20%
2/18/2020,112552.1619,0,1,2.25,2.45,0.145611512,FORCE_BUY,0.175,0.21,234.73,12.55%,10.40%,2/18/2020,12.55%,10.40%,2/17/2023,8.25%,13.87%,2/19/2026,0.59%,-1.57%
2/19/2020,113666.4923,0,1,2.25,2.45,0.145408337,FORCE_BUY,0.175,0.21,236.98,13.67%,11.46%,2/19/2020,13.67%,11.46%,2/21/2023,5.95%,11.17%,2/20/2026,0.59%,-0.70%
2/20/2020,113240.8468,113240.8468,0,2.35,-0.5,0.232999122,FORCE_SELL,0.175,0.21,234.78,13.24%,10.43%,2/20/2020,13.24%,10.43%,2/22/2023,6.41%,11.26%,2/23/2026,0.59%,-1.91%
2/21/2020,113240.8468,113240.8468,0,2.35,-0.5,0.228817654,FORCE_SELL,0.175,0.21,230.27,13.24%,8.31%,2/21/2020,13.24%,8.31%,2/23/2023,6.65%,12.23%,2/24/2026,0.59%,-0.86%
2/24/2020,113240.8468,113240.8468,0,-0.5,2.35,0.236287608,FORCE_SELL,0.175,0.21,221.39,13.24%,4.13%,2/24/2020,13.24%,4.13%,2/24/2023,5.53%,10.35%,2/25/2026,0.59%,0.58%
2/25/2020,113240.8468,113240.8468,0,-0.5,-0.5,0.490319721,FORCE_SELL,0.175,0.21,215.37,13.24%,1.30%,2/25/2020,13.24%,1.30%,2/27/2023,6.08%,11.14%,2/26/2026,0.59%,-0.63%
2/26/2020,113240.8468,113240.8468,0,-0.5,-0.5,0.433164427,FORCE_SELL,0.175,0.21,216.48,13.24%,1.82%,2/26/2020,13.24%,1.82%,2/28/2023,6.08%,11.00%,2/27/2026,0.13%,-0.95%
2/27/2020,113240.8468,113240.8468,0,-0.5,-0.5,0.469121465,FORCE_SELL,0.175,0.21,205.64,13.24%,-3.28%,2/27/2020,13.24%,-3.28%,3/1/2023,6.08%,10.10%,3/2/2026,-0.72%,-0.82%
2/28/2020,113240.8468,113240.8468,0,-0.5,2.3,0.294669656,FORCE_SELL,0.175,0.21,205.8,13.24%,-3.20%,2/28/2020,13.24%,-3.20%,3/2/2023,6.68%,11.01%,3/3/2026,0.86%,-1.88%
3/2/2020,113240.8468,113240.8468,0,-0.5,-0.5,0.410791466,FORCE_SELL,0.175,0.21,216.42,13.24%,1.79%,3/2/2020,13.24%,1.79%,3/3/2023,6.90%,13.31%,3/4/2026,2.75%,-0.39%
3/3/2020,114011.8917,114011.8917,0,2.2,-0.5,0.422563106,FREE,0.175,0.435,209.48,14.01%,-1.47%,3/3/2020,14.01%,-1.47%,3/6/2023,6.07%,13.44%,3/5/2026,3.39%,-0.69%
3/4/2020,114503.2302,114503.2302,0,2.25,-0.5,0.304779964,FREE,0.175,0.435,218.22,14.50%,2.64%,3/4/2020,14.50%,2.64%,3/7/2023,6.43%,12.05%,3/6/2026,3.39%,-2.18%
3/5/2020,114503.2302,114503.2302,0,2.25,-0.5,0.348028751,FREE,0.175,0.435,211.59,14.50%,-0.48%,3/5/2020,14.50%,-0.48%,3/8/2023,6.79%,12.61%,3/9/2026,3.39%,-0.87%
3/6/2020,114986.9644,114986.9644,0,-0.5,-0.5,0.285655784,FREE,0.175,0.435,208.02,14.99%,-2.16%,3/6/2020,14.99%,-2.16%,3/9/2023,6.36%,10.65%,3/10/2026,3.39%,-0.87%
3/9/2020,117706.3341,117706.3341,0,-0.5,-0.5,0.364206653,FREE,0.175,0.435,193.57,17.71%,-8.96%,3/9/2020,17.71%,-8.96%,3/10/2023,6.36%,9.10%,3/11/2026,3.39%,-0.89%
3/10/2020,115952.8504,0,1,-0.5,-0.5,0.389147779,FREE,0.175,0.435,204.11,15.95%,-4.00%,3/10/2020,15.95%,-4.00%,3/13/2023,6.36%,9.91%,3/12/2026,3.39%,-2.59%
3/11/2020,113257.2142,113257.2142,0,-0.5,-0.5,0.366021526,FREE,0.175,0.435,195.22,13.26%,-8.18%,3/11/2020,13.26%,-8.18%,3/14/2023,6.90%,12.44%,3/13/2026,3.39%,-3.16%
3/12/2020,108588.6999,108588.6999,0,-0.5,-0.5,0.404680952,FREE,0.175,0.435,177.32,8.59%,-16.60%,3/12/2020,8.59%,-16.60%,3/15/2023,7.82%,13.03%,3/16/2026,3.39%,-2.08%
3/13/2020,108588.6999,108588.6999,0,-0.5,-0.5,0.486093282,FORCE_SELL,0.175,0.435,192.34,8.59%,-9.53%,3/13/2020,8.59%,-9.53%,3/16/2023,7.82%,16.00%,3/17/2026,3.39%,-1.60%
3/16/2020,111845.913,0,1,-0.5,-0.5,0.369193994,FREE,0.175,0.435,169.3,11.85%,-20.37%,3/16/2020,11.85%,-20.37%,3/17/2023,7.82%,15.46%,3/18/2026,3.39%,-2.97%
3/17/2020,115506.2781,115506.2781,0,-0.5,-0.5,0.444947508,FORCE_SELL,0.175,0.435,182.14,15.51%,-14.33%,3/17/2020,15.51%,-14.33%,3/20/2023,8.73%,15.69%,3/19/2026,3.17%,-3.28%
3/18/2020,115447.3675,115447.3675,0,-0.5,-0.5,0.292456839,FREE,0.175,0.435,176.6,15.45%,-16.94%,3/18/2020,15.45%,-16.94%,3/21/2023,10.22%,17.34%,3/20/2026,3.17%,-5.07%
3/19/2020,119296.5971,119296.5971,0,2.45,-0.5,0.353990249,FREE,0.175,0.435,177.66,19.30%,-16.44%,3/19/2020,19.30%,-16.44%,3/22/2023,9.87%,15.74%,3/23/2026,3.17%,-4.10%
3/20/2020,108402.487,0,1,-0.5,-0.5,0.381512371,FREE,0.175,0.435,170.7,8.40%,-19.71%,3/20/2020,8.40%,-19.71%,3/23/2023,10.29%,17.12%,3/24/2026,3.96%,-4.75%
3/23/2020,119353.7688,0,1,-0.5,-0.5,0.25482269,FREE,0.175,0.37,170.46,19.35%,-19.83%,3/23/2020,19.35%,-19.83%,3/24/2023,10.92%,17.55%,3/25/2026,4.54%,-4.13%
3/24/2020,123854.6905,123854.6905,0,-0.5,-0.5,0.329870904,FREE,0.175,0.37,183.66,23.85%,-13.62%,3/24/2020,23.85%,-13.62%,3/27/2023,10.64%,16.74%,3/26/2026,2.73%,-6.41%
3/25/2020,122778.2643,0,1,-0.5,-0.5,0.369947478,FREE,0.175,0.37,182.3,22.78%,-14.26%,3/25/2020,22.78%,-14.26%,3/28/2023,10.63%,16.12%,3/27/2026,-0.06%,-8.24%
3/26/2020,129272.4768,0,1,-0.5,-0.5,0.359976281,FREE,0.175,0.37,191.9,29.27%,-9.74%,3/26/2020,29.27%,-9.74%,3/29/2023,12.21%,18.24%,3/30/2026,-0.41%,-8.94%
3/27/2020,126104.0792,126104.0792,0,2.45,-0.5,0.339920083,FREE,0.175,0.37,185.3,26.10%,-12.85%,3/27/2020,26.10%,-12.85%,3/30/2023,13.58%,19.36%,3/31/2026,-0.41%,-5.86%
3/30/2020,126957.0634,126957.0634,0,2.45,-0.5,0.313788742,FREE,0.175,0.37,192.04,26.96%,-9.67%,3/30/2020,26.96%,-9.67%,3/31/2023,15.51%,21.34%,4/1/2026,-0.44%,-4.70%
3/31/2020,125458.0426,0,1,-0.5,-0.5,0.20109609,FREE,0.175,0.37,190.4,25.46%,-10.45%,3/31/2020,25.46%,-10.45%,4/3/2023,14.90%,21.05%,4/2/2026,-1.61%,-4.59%
4/1/2020,122721.4538,0,1,2.4,-0.5,0.224918556,FREE,0.175,0.37,182.31,22.72%,-14.25%,4/1/2020,22.72%,-14.25%,4/4/2023,14.87%,20.64%,4/6/2026,-1.30%,-4.25%
4/2/2020,124820.6148,124820.6148,0,2.5,-0.5,0.249580466,FREE,0.175,0.37,186.01,24.82%,-12.51%,4/2/2020,24.82%,-12.51%,4/5/2023,13.43%,19.45%,4/7/2026,-1.81%,-1.30%
4/3/2020,124597.0919,124597.0919,0,2.4,-0.5,0.222783964,FREE,0.175,0.37,183.37,24.60%,-13.75%,4/3/2020,24.60%,-13.75%,4/6/2023,14.34%,20.25%,4/8/2026,-2.47%,-1.40%
4/6/2020,125214.4161,125214.4161,0,2.15,-0.5,0.244898724,FREE,0.175,0.37,196.48,25.21%,-7.59%,4/6/2020,25.21%,-7.59%,4/10/2023,14.44%,20.19%,4/9/2026,-1.69%,-0.61%
4/7/2020,125013.8285,0,1,1.85,-0.5,0.260370766,FORCE_BUY,0.33,0.37,196.4,25.01%,-7.62%,4/7/2020,25.01%,-7.62%,4/11/2023,14.68%,19.42%,4/10/2026,-1.19%,-0.10%
4/8/2020,127853.8941,0,1,-0.5,-0.5,0.1996324,FORCE_BUY,0.33,0.37,200.57,27.85%,-5.66%,4/8/2020,27.85%,-5.66%,4/12/2023,14.68%,18.36%,4/13/2026,-2.03%,0.87%
4/9/2020,128274.1728,0,1,2.45,-0.5,0.171599231,FORCE_BUY,0.33,0.37,200.86,28.27%,-5.53%,4/9/2020,28.27%,-5.53%,4/13/2023,15.69%,20.68%,4/14/2026,-2.03%,2.58%
4/13/2020,130031.7022,0,1,2.45,-0.5,0.167363795,FORCE_BUY,0.33,0.37,203.03,30.03%,-4.51%,4/13/2020,30.03%,-4.51%,4/14/2023,16.90%,20.45%,4/15/2026,-1.03%,4.12%
4/14/2020,134813.9651,0,1,2.45,-0.5,0.164243703,FORCE_BUY,0.33,0.37,211.86,34.81%,-0.35%,4/14/2020,34.81%,-0.35%,4/17/2023,17.07%,20.55%,4/16/2026,-0.74%,4.42%
4/15/2020,132604.3177,0,1,2.4,-0.5,0.202865471,FORCE_BUY,0.33,0.37,209.43,32.60%,-1.50%,4/15/2020,32.60%,-1.50%,4/18/2023,17.68%,20.56%,4/17/2026,0.61%,5.85%
4/16/2020,138889.3956,0,1,2.35,-0.5,0.172494452,FORCE_BUY,0.33,0.37,213.25,38.89%,0.30%,4/16/2020,38.89%,0.30%,4/19/2023,17.89%,20.50%,4/20/2026,0.46%,5.68%
4/17/2020,136800.7375,0,1,-0.5,-0.5,0.160684148,FORCE_BUY,0.33,0.37,215.29,36.80%,1.26%,4/17/2020,36.80%,1.26%,4/20/2023,17.56%,19.59%,4/21/2026,0.38%,5.61%
4/20/2020,135692.7298,0,1,2.3,-0.5,0.223196243,FORCE_BUY,0.33,0.37,212.74,35.69%,0.06%,4/20/2020,35.69%,0.06%,4/21/2023,18.34%,19.71%,,,
4/21/2020,131438.9993,0,1,2.45,-0.5,0.137405841,FORCE_BUY,0.33,0.37,204.89,31.44%,-3.63%,4/21/2020,31.44%,-3.63%,4/24/2023,18.06%,19.46%,,,
4/22/2020,133871.5218,0,1,2,-0.5,0.128246848,FORCE_BUY,0.33,0.37,210.97,33.87%,-0.77%,4/22/2020,33.87%,-0.77%,4/25/2023,18.48%,17.21%,,,
4/23/2020,132954.55,0,1,1.9,2.45,0.159874873,FORCE_BUY,0.33,0.37,210.52,32.95%,-0.98%,4/23/2020,32.95%,-0.98%,4/26/2023,18.62%,17.92%,,,
4/24/2020,136526.9195,0,1,-0.5,-0.5,0.118063243,FORCE_BUY,0.33,0.37,213.84,36.53%,0.58%,4/24/2020,36.53%,0.58%,4/27/2023,20.98%,21.12%,,,
4/27/2020,137144.6019,0,1,0.8,-0.5,0.115569732,FORCE_BUY,0.33,0.37,215.56,37.14%,1.39%,4/27/2020,37.14%,1.39%,4/28/2023,22.10%,21.96%,,,
4/28/2020,136272.2051,0,1,1.8,1.65,0.168056898,FORCE_BUY,0.33,0.37,211.5,36.27%,-0.52%,4/28/2020,36.27%,-0.52%,5/1/2023,21.71%,21.82%,,,
4/29/2020,141283.7109,0,1,2,1.5,0.123803735,FORCE_BUY,0.33,0.37,219,41.28%,3.01%,4/29/2020,41.28%,3.01%,5/2/2023,20.97%,20.76%,,,
4/30/2020,137354.7413,0,1,0.95,-0.5,0.115634301,FORCE_BUY,0.33,0.37,218.91,37.35%,2.96%,4/30/2020,37.35%,2.96%,5/3/2023,21.01%,19.97%,,,
5/1/2020,135622.6833,0,1,1.25,2.25,0.129698871,FORCE_BUY,0.33,0.37,212.74,35.62%,0.06%,5/1/2020,35.62%,0.06%,5/4/2023,22.24%,19.54%,,,
5/4/2020,137150.9698,0,1,-0.5,-0.5,0.100711432,FORCE_BUY,0.33,0.37,215.22,37.15%,1.23%,5/4/2020,37.15%,1.23%,5/5/2023,22.37%,22.08%,,,
5/5/2020,139175.9493,0,1,-0.5,-0.5,0.14097522,FORCE_BUY,0.33,0.37,217.66,39.18%,2.38%,5/5/2020,39.18%,2.38%,5/8/2023,22.94%,22.39%,,,
5/6/2020,139335.1458,0,1,-0.5,-0.5,0.135954745,FORCE_BUY,0.33,0.37,219,39.34%,3.01%,5/6/2020,39.34%,3.01%,5/9/2023,22.69%,21.61%,,,
5/7/2020,142060.5899,0,1,-0.5,-0.5,0.108310721,FORCE_BUY,0.33,0.37,221.82,42.06%,4.33%,5/7/2020,42.06%,4.33%,5/10/2023,24.20%,22.94%,,,
5/8/2020,143544.3012,0,1,-0.5,-0.5,0.081504245,FORCE_BUY,0.33,0.37,224.86,43.54%,5.76%,5/8/2020,43.54%,5.76%,5/11/2023,24.57%,23.34%,,,
5/11/2020,144219.2944,0,1,-0.5,-0.5,0.111696507,FORCE_BUY,0.33,0.37,226.87,44.22%,6.71%,5/11/2020,44.22%,6.71%,5/12/2023,23.76%,22.89%,,,
5/12/2020,140124.7604,0,1,2.1,-0.5,0.180207185,FORCE_BUY,0.33,0.37,222.12,40.12%,4.47%,5/12/2020,40.12%,4.47%,5/15/2023,24.63%,23.56%,,,
5/13/2020,140073.8175,0,1,2.3,2.5,0.166309242,FORCE_BUY,0.33,0.37,219.34,40.07%,3.17%,5/13/2020,40.07%,3.17%,5/16/2023,25.02%,23.70%,,,
5/14/2020,141583.0004,0,1,1.85,-0.5,0.112967076,FORCE_BUY,0.33,0.37,221.83,41.58%,4.34%,5/14/2020,41.58%,4.34%,5/17/2023,26.36%,25.20%,,,
5/15/2020,141844.0826,0,1,1.9,-0.5,0.108886798,FORCE_BUY,0.33,0.37,223.27,41.84%,5.01%,5/15/2020,41.84%,5.01%,5/18/2023,27.14%,27.52%,,,
5/18/2020,145231.7842,0,1,1.9,-0.5,0.114924404,FORCE_BUY,0.33,0.37,227.43,45.23%,6.97%,5/18/2020,45.23%,6.97%,5/19/2023,26.48%,27.23%,,,
5/19/2020,144856.0804,0,1,1.25,-0.5,0.140942222,FORCE_BUY,0.33,0.37,226.86,44.86%,6.70%,5/19/2020,44.86%,6.70%,5/22/2023,27.27%,27.66%,,,
5/20/2020,147447.7995,0,1,1.05,-0.5,0.095475866,FORCE_BUY,0.33,0.37,231.39,47.45%,8.83%,5/20/2020,47.45%,8.83%,5/23/2023,26.02%,26.04%,,,
5/21/2020,146193.331,0,1,1.05,-0.5,0.137303158,FORCE_BUY,0.33,0.37,228.87,46.19%,7.65%,5/21/2020,46.19%,7.65%,5/24/2023,26.97%,25.40%,,,
5/22/2020,146269.7454,0,1,0.7,-0.5,0.095987966,FORCE_BUY,0.33,0.37,229.66,46.27%,8.02%,5/22/2020,46.27%,8.02%,5/25/2023,26.97%,28.45%,,,
5/26/2020,146034.1345,0,1,1.5,-0.5,0.1566744,FORCE_BUY,0.33,0.37,229.04,46.03%,7.73%,5/26/2020,46.03%,7.73%,5/26/2023,26.97%,31.73%,,,
5/27/2020,146753.7027,0,1,2.45,-0.5,0.12312994,FORCE_BUY,0.33,0.37,230.29,46.75%,8.32%,5/27/2020,46.75%,8.32%,5/30/2023,27.10%,32.33%,,,
5/28/2020,146397.1026,0,1,2.25,-0.5,0.167609448,FORCE_BUY,0.33,0.37,229.99,46.40%,8.17%,5/28/2020,46.40%,8.17%,5/31/2023,27.77%,31.58%,,,
5/29/2020,148880.568,0,1,2.35,2.15,0.099464976,FORCE_BUY,0.33,0.37,233.36,48.88%,9.76%,5/29/2020,48.88%,9.76%,6/1/2023,28.24%,33.10%,,,
6/1/2020,148689.5322,0,1,1.7,-0.5,0.088226831,FORCE_BUY,0.33,0.37,234.06,48.69%,10.09%,6/1/2020,48.69%,10.09%,6/2/2023,29.15%,34.09%,,,
6/2/2020,150370.6472,0,1,1.55,-0.5,0.087040318,FORCE_BUY,0.33,0.37,235.63,50.37%,10.83%,6/2/2020,50.37%,10.83%,6/5/2023,29.11%,34.19%,,,
6/3/2020,150752.7188,0,1,0.95,-0.5,0.107799846,FORCE_BUY,0.33,0.37,236.69,50.75%,11.33%,6/3/2020,50.75%,11.33%,6/6/2023,29.39%,34.17%,,,
6/4/2020,149523.7218,0,1,1.05,-0.5,0.132563899,FORCE_BUY,0.33,0.37,235.03,49.52%,10.55%,6/4/2020,49.52%,10.55%,6/7/2023,27.74%,31.89%,,,
6/5/2020,152561.1911,0,1,1.2,-0.5,0.120179935,FORCE_BUY,0.33,0.37,239.69,52.56%,12.74%,6/5/2020,52.56%,12.74%,6/8/2023,29.33%,33.53%,,,
6/8/2020,153554.5772,0,1,-0.5,-0.5,0.108752624,FORCE_BUY,0.33,0.37,241.55,53.55%,13.61%,6/8/2020,53.55%,13.61%,6/9/2023,29.99%,34.04%,,,
6/9/2020,155267.5316,0,1,-0.5,1.95,0.1316041,FORCE_BUY,0.33,0.37,243.3,55.27%,14.43%,6/9/2020,55.27%,14.43%,6/12/2023,32.46%,36.30%,,,
6/10/2020,156050.7784,0,1,-0.5,1.95,0.146450113,FORCE_BUY,0.33,0.37,246.22,56.05%,15.81%,6/10/2020,56.05%,15.81%,6/13/2023,33.39%,37.35%,,,
6/11/2020,153210.6527,0,1,2.5,-0.5,0.341116695,FREE,0.33,0.37,234.02,53.21%,10.07%,6/11/2020,53.21%,10.07%,6/14/2023,34.37%,38.35%,,,
6/12/2020,152899.2885,0,1,-0.5,-0.5,0.235682815,FORCE_BUY,0.33,0.37,235.88,52.90%,10.94%,6/12/2020,52.90%,10.94%,6/15/2023,33.71%,40.00%,,,
6/15/2020,156350.2418,0,1,-0.5,-0.5,0.163108496,FORCE_BUY,0.33,0.37,238.75,56.35%,12.29%,6/15/2020,56.35%,12.29%,6/16/2023,33.38%,39.11%,,,
6/16/2020,158211.9404,0,1,2.25,-0.5,0.173326263,FORCE_BUY,0.33,0.37,242.85,58.21%,14.22%,6/16/2020,58.21%,14.22%,6/20/2023,32.92%,38.73%,,,
6/17/2020,157731.9205,0,1,2.1,2.3,0.17117306,FORCE_BUY,0.33,0.37,243.62,57.73%,14.59%,6/17/2020,57.73%,14.59%,6/21/2023,32.31%,36.83%,,,
6/18/2020,158808.7218,0,1,2.2,2.5,0.137058604,FORCE_BUY,0.33,0.37,244.28,58.81%,14.90%,6/18/2020,58.81%,14.90%,6/22/2023,34.30%,38.45%,,,
6/19/2020,157394.6093,0,1,2.35,-0.5,0.196872865,FORCE_BUY,0.33,0.37,244.24,57.39%,14.88%,6/19/2020,57.39%,14.88%,6/23/2023,32.74%,37.08%,,,
6/22/2020,160644.4733,0,1,1.35,-0.5,0.132689923,FORCE_BUY,0.33,0.37,246.74,60.64%,16.05%,6/22/2020,60.64%,16.05%,6/26/2023,32.17%,35.24%,,,
6/23/2020,161098.5461,0,1,1.8,2.35,0.17468656,FORCE_BUY,0.33,0.37,248.84,61.10%,17.04%,6/23/2020,61.10%,17.04%,6/27/2023,33.66%,37.56%,,,
6/24/2020,157855.1689,0,1,2.3,-0.5,0.219077881,FORCE_BUY,0.33,0.37,243.71,57.86%,14.63%,6/24/2020,57.86%,14.63%,6/28/2023,34.67%,37.83%,,,
6/25/2020,159911.47,0,1,-0.5,-0.5,0.137301759,FORCE_BUY,0.33,0.37,246.03,59.91%,15.72%,6/25/2020,59.91%,15.72%,6/29/2023,34.24%,37.56%,,,
6/26/2020,155487.5035,0,1,2.35,-0.5,0.198965082,FORCE_BUY,0.33,0.37,240.22,55.49%,12.99%,6/26/2020,55.49%,12.99%,6/30/2023,36.09%,39.68%,,,
6/29/2020,158127.6125,0,1,2.35,-0.5,0.195809221,FORCE_BUY,0.33,0.37,242.84,58.13%,14.22%,6/29/2020,58.13%,14.22%,7/3/2023,36.39%,40.01%,,,
6/30/2020,160333.1091,0,1,-0.5,2.35,0.255541026,FORCE_BUY,0.33,0.37,247.6,60.33%,16.46%,6/30/2020,60.33%,16.46%,7/5/2023,36.43%,40.00%,,,
