date,equity,cash,pos,buy_th,sell_th,p_day,daily_action,daily_buy_level,daily_sell_level
2015-12-07,314566.88860632887,0.0,1,1.2999999999999996,-0.5,0.20713020220214048,FORCE_BUY,0.28,0.305
2015-12-08,314923.66487154283,0.0,1,1.4999999999999996,-0.5,0.19942149033949086,FORCE_BUY,0.28,0.305
2015-12-09,312657.7261768164,312657.7261768164,0,1.6999999999999993,-0.5,0.29000845486821336,FREE,0.28,0.305
2015-12-10,313264.02586618526,0.0,1,2.2999999999999994,2.499999999999999,0.19965126792700605,FORCE_BUY,0.28,0.305
2015-12-11,304803.3892918104,0.0,1,1.1499999999999997,1.7499999999999996,0.29615488577417576,FREE,0.28,0.305
2015-12-14,308082.91942976025,0.0,1,2.499999999999999,2.3999999999999995,0.20621313917686412,FORCE_BUY,0.28,0.305
2015-12-15,310067.1729586039,0.0,1,2.499999999999999,2.499999999999999,0.2188568180346077,FORCE_BUY,0.28,0.305
2015-12-16,313484.4984805012,0.0,1,-0.5,2.499999999999999,0.18997602986471504,FORCE_BUY,0.28,0.305
2015-12-17,306925.4382046015,0.0,1,1.4999999999999996,-0.5,0.27286482679359525,FORCE_BUY,0.28,0.305
2015-12-18,303012.04930049327,0.0,1,1.9999999999999996,-0.5,0.2523690440438438,FORCE_BUY,0.28,0.305
2015-12-21,307393.9425100229,0.0,1,-0.5,1.1999999999999997,0.15787721777996627,FORCE_BUY,0.25,0.3
2015-12-22,308303.39204407623,0.0,1,-0.5,1.1999999999999997,0.17214020904490782,FORCE_BUY,0.25,0.3
2015-12-23,310177.40926576185,0.0,1,1.5499999999999994,1.7499999999999996,0.17942469640638026,FORCE_BUY,0.25,0.3
2015-12-24,310067.1729586039,0.0,1,-0.5,1.9499999999999993,0.24337160740433358,FORCE_BUY,0.25,0.3
2015-12-28,310204.9683425513,0.0,1,-0.5,1.9499999999999993,0.19460738718623247,FORCE_BUY,0.25,0.3
2015-12-29,314972.6886271339,0.0,1,-0.5,1.9499999999999993,0.19860187897370743,FORCE_BUY,0.25,0.3
2015-12-30,313760.179112311,0.0,1,-0.5,1.9499999999999993,0.2934692241290075,FREE,0.25,0.3
2015-12-31,310359.359405683,310359.359405683,0,1.1499999999999997,-0.5,0.3001793258102059,FORCE_SELL,0.25,0.3
2016-01-04,310021.03161563317,0.0,1,2.3999999999999995,-0.5,0.2033065825719131,FORCE_BUY,0.25,0.305
2016-01-05,308750.9193405713,0.0,1,2.499999999999999,-0.5,0.25753361218401044,FREE,0.25,0.305
2016-01-06,302996.21970187995,302996.21970187995,0,-0.5,1.5999999999999996,0.34842195129790937,FORCE_SELL,0.25,0.305
2016-01-07,302996.21970187995,302996.21970187995,0,2.4499999999999993,1.3499999999999996,0.4199704162012318,FORCE_SELL,0.25,0.305
2016-01-08,302996.21970187995,302996.21970187995,0,2.499999999999999,0.9499999999999997,0.4172803244323265,FORCE_SELL,0.25,0.305
2016-01-11,307259.2764364117,307259.2764364117,0,-0.5,-0.5,0.2935976732275171,FREE,0.25,0.305
