Date,Price,Open,High,Low,Change %
7/17/2024,-28.04,-26.57,-26.15,-31.62,5.53%
7/16/2024,-26.57,-23.02,-22.18,-28.96,15.42%
7/15/2024,-23.02,-27.29,-21.75,-29.15,-15.65%
7/12/2024,-27.29,-30.5,-27.07,-31.48,-10.52%
7/11/2024,-30.5,-34.4,-30.3,-36.07,-11.34%
7/10/2024,-34.4,-33.26,-32.57,-35.63,4.08%
7/9/2024,-33.05,-35.65,-31.9,-35.66,-7.29%
7/8/2024,-35.65,-32.92,-31.87,-36.23,8.29%
7/5/2024,-32.92,-35.51,-32.09,-39.22,-7.29%
7/3/2024,-35.51,-31.8,-30.77,-36.51,11.67%
7/2/2024,-31.8,-29.06,-27.84,-31.99,9.43%
7/1/2024,-29.06,-35.91,-28.67,-35.91,-19.08%
6/28/2024,-35.91,-42.75,-34.6,-46.1,-16.00%
6/27/2024,-42.75,-42.61,-41.04,-44.15,0.33%
6/26/2024,-42.61,-49.88,-25.93,-49.88,-14.57%
6/25/2024,-49.88,-49.13,-48.45,-51.45,1.53%
6/24/2024,-49.13,-47.89,-47.36,-49.96,2.59%
6/21/2024,-47.89,-48.2,-46.6,-50.41,-0.21%
6/20/2024,-47.99,-50.14,-46.31,-64.54,-4.29%
6/18/2024,-50.14,-48.48,-46.47,-50.34,3.42%
6/17/2024,-48.48,-48.76,-45.58,-51.49,-0.57%
6/14/2024,-48.76,-45.71,-45.01,-49.43,6.67%
6/13/2024,-45.71,-44,-42.27,-46.09,3.89%
6/12/2024,-44,-43.39,-39.45,-46.85,1.41%
6/11/2024,-43.39,-41.56,-39.55,-43.8,4.40%
6/10/2024,-41.56,-45.74,-40.93,-46.59,-9.14%
6/7/2024,-45.74,-44.11,-42.56,-47.38,3.70%
6/6/2024,-44.11,-44.89,-43.01,-45.35,-1.74%
6/5/2024,-44.89,-44.25,-43.33,-46.44,0.97%
6/4/2024,-44.46,-42.18,-41.25,-45.05,5.41%
6/3/2024,-42.18,-37.63,-36.04,-42.59,12.09%
5/31/2024,-37.63,-37.89,-37.23,-40.96,-0.69%
5/30/2024,-37.89,-36.1,-35.71,-38.7,4.96%
5/29/2024,-36.1,-43.25,-35.98,-43.25,-16.53%
5/28/2024,-43.25,-48.34,-42.66,-48.58,-10.53%
5/24/2024,-48.34,-46.29,-45.13,-49.12,4.43%
5/23/2024,-46.29,-45.17,-44.25,-46.98,2.48%
5/22/2024,-45.17,-42.07,-41.21,-45.76,7.37%
5/21/2024,-42.07,-40.68,-39.38,-42.81,3.42%
5/20/2024,-40.68,-40.69,-39.02,-41.86,-0.02%
5/17/2024,-40.69,-42.03,-39.51,-42.67,-3.19%
5/16/2024,-42.03,-38.38,-38.38,-42.63,9.51%
5/15/2024,-38.38,-37.77,-36.25,-39.88,1.62%
5/14/2024,-37.77,-37.91,-35.54,-38.35,-0.37%
5/13/2024,-37.91,-37.36,-35.98,-38.4,1.47%
5/10/2024,-37.36,-36.05,-34.54,-37.61,3.63%
5/9/2024,-36.05,-34.29,-32.34,-52.81,5.13%
5/8/2024,-34.29,-37.14,-34.07,-37.95,-7.67%
5/7/2024,-37.14,-34.72,-33.9,-38.7,6.97%
5/6/2024,-34.72,-31.02,-29.32,-35.13,11.93%
5/3/2024,-31.02,-29.38,-26.54,-31.99,5.58%
5/2/2024,-29.38,-33.2,-29.01,-34.6,-11.51%
5/1/2024,-33.2,-35.95,-32.55,-38.64,-7.11%
4/30/2024,-35.74,-36.94,-34.26,-37.12,-3.25%
4/29/2024,-36.94,-33.25,-33.25,-37.14,11.10%
4/26/2024,-33.25,-29.77,-29.15,-35.32,11.69%
4/25/2024,-29.77,-28.51,-27.26,-30.39,4.42%
4/24/2024,-28.51,-33.29,-27.49,-34.11,-14.36%
4/23/2024,-33.29,-36.5,-32.2,-39.36,-8.79%
4/22/2024,-36.5,-36.72,-33.02,-39.52,-0.60%
4/19/2024,-36.72,-35.57,-35.1,-39.1,3.23%
4/18/2024,-35.57,-34.7,-33.64,-36.67,2.51%
4/17/2024,-34.7,-31.76,-30.85,-35.33,9.26%
4/16/2024,-31.76,-31.72,-28.18,-33.64,0.13%
4/15/2024,-31.72,-37.9,-29.9,-38.34,-16.31%
4/12/2024,-37.9,-37,-35.96,-39.93,2.43%
4/11/2024,-37,-42.95,-36.38,-44.4,-13.85%
4/10/2024,-42.95,-38.3,-37.71,-46.99,12.14%
4/9/2024,-38.3,-37.3,-36.46,-39.08,2.68%
4/8/2024,-37.3,-35.29,-32.82,-38.75,5.70%
4/5/2024,-35.29,-33.99,-31.65,-37.55,3.82%
4/4/2024,-33.99,-32.31,-31.32,-36.3,5.20%
4/3/2024,-32.31,-34.19,-31.03,-35.39,-5.50%
4/2/2024,-34.19,-39.63,-32.29,-39.81,-13.73%
4/1/2024,-39.63,-42.4,-37.16,-44.17,-6.53%
3/28/2024,-42.4,-38.18,-38.18,-43.18,11.05%
3/27/2024,-38.18,-35.75,-35.67,-38.81,6.80%
3/26/2024,-35.75,-38.23,-25.25,-79.5,-6.49%
3/25/2024,-38.23,-39.54,-37.26,-41.44,-3.31%
3/22/2024,-39.54,-37.58,-36.2,-40.17,5.22%
3/21/2024,-37.58,-32.96,-31.72,-37.99,14.02%
3/20/2024,-32.96,-39.68,-32.75,-49.89,-16.94%
3/19/2024,-39.68,-40.99,-38.12,-41.39,-3.20%
3/18/2024,-40.99,-42.55,-39.59,-44.67,-3.67%
3/15/2024,-42.55,-40.32,-39.93,-43.04,5.53%
3/14/2024,-40.32,-44.65,-39.08,-45.71,-9.70%
3/13/2024,-44.65,-43.54,-42.36,-45.71,2.55%
3/12/2024,-43.54,-44.19,-42.88,-47.73,-1.47%
3/11/2024,-44.19,-40.47,-40.08,-44.62,9.19%
3/8/2024,-40.47,-41.88,-36.59,-45.27,-3.37%
3/7/2024,-41.88,-45.6,-40.66,-47.07,-8.16%
3/6/2024,-45.6,-41.35,-39.57,-46.18,10.28%
3/5/2024,-41.35,-39.72,-38.25,-42.63,4.10%
3/4/2024,-39.72,-34.97,-34.65,-40.11,13.58%
3/1/2024,-34.97,-37.08,-32.79,-38.06,-5.69%
2/29/2024,-37.08,-37.97,-36.87,-40.62,-2.34%
2/28/2024,-37.97,-39.21,-36.82,-40.74,-3.16%
2/27/2024,-39.21,-45.16,-39.02,-87.22,-13.18%
2/26/2024,-45.16,-44.14,-42.53,-45.98,2.31%
2/23/2024,-44.14,-38.71,-37.5,-45.02,14.03%
2/22/2024,-38.71,-35.15,-33.88,-39.75,10.13%
2/21/2024,-35.15,-34.1,-31.6,-35.62,3.08%
2/20/2024,-34.1,-36.45,-31.37,-39.65,-6.45%
2/16/2024,-36.45,-34.63,-33.94,-39.59,5.26%
2/15/2024,-34.63,-32.28,-31.13,-35.31,7.28%
2/14/2024,-32.28,-34.83,-30.49,-35.01,-7.32%
2/13/2024,-34.83,-30.28,-28.73,-37.03,15.03%
2/12/2024,-30.28,-31.08,-29.14,-32.1,-2.57%
2/9/2024,-31.08,-30.43,-29.38,-31.63,2.14%
2/8/2024,-30.43,-31.32,-28.39,-33.66,-2.84%
2/7/2024,-31.32,-31.08,-28.79,-32.46,0.77%
2/6/2024,-31.08,-31.45,-29.61,-32.61,-1.18%
2/5/2024,-31.45,-35.03,-29.75,-44.17,-10.22%
2/2/2024,-35.03,-33.05,-31.86,-40.4,5.99%
2/1/2024,-33.05,-29.27,-27.65,-34.9,12.91%
1/31/2024,-29.27,-30.48,-24.75,-31.6,-3.97%
1/30/2024,-30.48,-24.82,-24.78,-31.94,22.80%
1/29/2024,-24.82,-21.98,-20.34,-25.7,12.92%
1/26/2024,-21.98,-18.31,-17.41,-24.51,21.44%
1/25/2024,-18.1,-20.59,-17.27,-23.39,-12.09%
1/24/2024,-20.59,-24.19,-19.76,-39,-14.88%
1/23/2024,-24.19,-28.8,-24,-29.75,-16.01%
1/22/2024,-28.8,-26.05,-26.05,-30.47,10.56%
1/19/2024,-26.05,-22.29,-19.75,-27.24,21.50%
1/18/2024,-21.44,-25.7,-19.66,-26.5,-16.58%
1/17/2024,-25.7,-16.92,-15.97,-27.29,51.89%
1/16/2024,-16.92,-20.91,-15.8,-21.56,-19.08%
1/12/2024,-20.91,-27.8,-17.94,-30.73,-24.21%
1/11/2024,-27.59,-33.18,-27.38,-36.23,-16.85%
1/10/2024,-33.18,-35.3,-32.67,-36.07,-6.01%
1/9/2024,-35.3,-34.98,-33.07,-37.13,0.91%
1/8/2024,-34.98,-34.37,-32.15,-36.85,1.77%
1/5/2024,-34.37,-38.6,-33.71,-42.14,-10.96%
1/4/2024,-38.6,-41.65,-37.88,-41.65,-7.32%
1/3/2024,-41.65,-38.54,-36.23,-43.64,8.07%
1/2/2024,-38.54,-38.58,-30.95,-46.98,-0.10%
12/29/2023,-38.58,-43.45,-37.06,-43.97,-11.21%
12/28/2023,-43.45,-45.26,-42.91,-47.12,-4.00%
12/27/2023,-45.26,-46.14,-39.25,-88.29,-1.91%
12/26/2023,-46.14,-43.07,-42.88,-92.1,7.13%
12/22/2023,-43.07,-46.16,-42.45,-49.17,-6.69%
12/21/2023,-46.16,-48.86,-44.97,-51.24,-5.53%
12/20/2023,-48.86,-51.21,-47.35,-52.84,-4.59%
12/19/2023,-51.21,-51.72,-50.77,-54.69,-0.99%
12/18/2023,-51.72,-53.61,-48.73,-53.61,-3.53%
12/15/2023,-53.61,-46.72,-44.96,-55.25,14.75%
12/14/2023,-46.72,-41.07,-35.16,-48.49,13.76%
12/13/2023,-41.07,-52.68,-40.65,-56.3,-22.04%
12/12/2023,-52.68,-47.49,-47.28,-53.84,10.93%
12/11/2023,-47.49,-49.53,-46.83,-51.21,-4.12%
12/8/2023,-49.53,-44.68,-43.25,-50.15,10.85%
12/7/2023,-44.68,-48.55,-43.35,-50.09,-7.97%
12/6/2023,-48.55,-41.37,-40.63,-49.52,17.36%
12/5/2023,-41.37,-38.06,-37.98,-44.59,8.70%
12/4/2023,-38.06,-34.38,-34.38,-38.65,10.70%
12/1/2023,-34.38,-36.64,-32.04,-37.33,-6.17%
11/30/2023,-36.64,-38.84,-33.83,-39.85,-5.66%
11/29/2023,-38.84,-42.18,-35.51,-42.27,-7.92%
11/28/2023,-42.18,-50.17,-39.2,-50.17,-15.93%
11/27/2023,-50.17,-48.64,-46.69,-52.62,3.15%
11/24/2023,-48.64,-49.14,-45.57,-49.78,-1.02%
11/22/2023,-49.14,-48.85,-46.24,-51.46,0.59%
11/21/2023,-48.85,-49.57,-45.56,-52.37,-1.45%
11/20/2023,-49.57,-45.66,-42.38,-50.38,8.56%
11/17/2023,-45.66,-41.08,-38.68,-47.54,11.15%
11/16/2023,-41.08,-38.08,-36.52,-41.47,7.88%
11/15/2023,-38.08,-38.48,-36.41,-41.93,-1.04%
11/14/2023,-38.48,-39.68,-36.46,-42.46,-3.02%
11/13/2023,-39.68,-42.48,-36.98,-43.6,-6.59%
11/10/2023,-42.48,-39.86,-37.39,-44.24,6.57%
11/9/2023,-39.86,-44.58,-34.47,-45.37,-10.59%
11/8/2023,-44.58,-34.89,-32.81,-70.02,27.77%
11/7/2023,-34.89,-29.55,-27.64,-35.94,18.07%
11/6/2023,-29.55,-27.05,-25.17,-40.42,9.24%
11/3/2023,-27.05,-33.66,-26.21,-40.43,-19.64%
11/2/2023,-33.66,-21.58,-20.96,-34.08,55.98%
11/1/2023,-21.58,-15.88,-14.68,-24,35.89%
10/31/2023,-15.88,-16.41,-15.03,-22.72,-3.23%
10/30/2023,-16.41,-17.14,-13.84,-19.84,-4.26%
10/27/2023,-17.14,-19.91,-14.98,-69.06,-13.91%
10/26/2023,-19.91,-16.56,-13.77,-20.76,20.23%
10/25/2023,-16.56,-29.31,-15.96,-29.31,-43.50%
10/24/2023,-29.31,-20.14,-19.94,-29.74,45.53%
10/23/2023,-20.14,-15.95,-11.03,-25.04,26.27%
10/20/2023,-15.95,-17.3,-15.11,-22.39,-7.80%
10/19/2023,-17.3,-31.19,-16.23,-62.14,-44.53%
10/18/2023,-31.19,-37.97,-30.33,-38.39,-17.86%
10/17/2023,-37.97,-40.3,-32.43,-40.73,-5.78%
10/16/2023,-40.3,-44.36,-36.69,-46.9,-9.15%
10/13/2023,-44.36,-37.6,-37.05,-44.99,17.98%
10/12/2023,-37.6,-43.01,-34.25,-49.44,-12.58%
10/11/2023,-43.01,-31.25,-31.25,-43.83,37.63%
10/10/2023,-31.25,-29.08,-18.77,-34.39,7.46%
10/6/2023,-29.08,-30.61,-24.88,-33.09,-5.00%
10/5/2023,-30.61,-32.11,-28.73,-33.35,-4.67%
10/4/2023,-32.11,-36.1,-29.98,-37.56,-11.05%
10/3/2023,-36.1,-42.56,-33.79,-47.36,-15.18%
10/2/2023,-42.56,-47.46,-41.73,-50.85,-10.32%
9/29/2023,-47.46,-48.76,-45.4,-52.36,-2.67%
9/28/2023,-48.76,-53.21,-43.25,-53.62,-8.36%
9/27/2023,-53.21,-58.58,-51.35,-58.58,-9.17%
9/26/2023,-58.58,-59.78,-57.31,-63.81,-2.01%
9/25/2023,-59.78,-67.82,-58.12,-68.64,-11.85%
9/22/2023,-67.82,-65.17,-63.31,-69.06,4.07%
9/21/2023,-65.17,-77.46,-64.76,-77.75,-15.87%
9/20/2023,-77.46,-72.96,-72.25,-80.11,6.17%
9/19/2023,-72.96,-75.54,-72.66,-76.13,-3.42%
9/18/2023,-75.54,-70.24,-69.44,-76,7.55%
9/15/2023,-70.24,-72.92,-70.04,-73.75,-3.68%
9/14/2023,-72.92,-71.89,-70.76,-76.39,1.43%
9/13/2023,-71.89,-74.18,-70.44,-75.66,-3.09%
9/12/2023,-74.18,-70.28,-69.42,-75,5.55%
9/11/2023,-70.28,-73.04,-68.44,-74.73,-3.78%
9/8/2023,-73.04,-70.52,-68.77,-73.65,3.57%
9/7/2023,-70.52,-73.71,-68.68,-74.31,-4.33%
9/6/2023,-73.71,-69.6,-68.32,-74.54,5.91%
9/5/2023,-69.6,-69.76,-66.98,-71.56,-0.23%
9/1/2023,-69.76,-75.87,-67.08,-76.08,-8.05%
8/31/2023,-75.87,-77.18,-75.3,-80.36,-1.70%
8/30/2023,-77.18,-77.84,-73.48,-78.73,-0.85%
8/29/2023,-77.84,-84.84,-75.37,-84.84,-8.25%
8/28/2023,-84.84,-84.84,-83.12,-88.74,0.00%
8/25/2023,-84.84,-78.57,-77.44,-85.26,7.98%
8/24/2023,-78.57,-77.72,-75.86,-80.19,1.09%
8/23/2023,-77.72,-71.81,-71.38,-78.78,8.23%
8/22/2023,-71.81,-66.71,-65.53,-72.63,7.65%
8/21/2023,-66.71,-69.39,-63.97,-70.09,-3.86%
8/18/2023,-69.39,-65.36,-64.72,-69.8,6.17%
8/17/2023,-65.36,-71.1,-64.76,-72.34,-8.07%
8/16/2023,-71.1,-74.17,-70.86,-74.79,-4.14%
8/15/2023,-74.17,-77.41,-72.47,-78.41,-4.19%
8/14/2023,-77.41,-73.64,-72.78,-79.29,5.12%
8/11/2023,-73.64,-74.46,-70.62,-76.7,-1.10%
8/10/2023,-74.46,-79.6,-73.08,-88.21,-6.46%
8/9/2023,-79.6,-73.38,-72.75,-80.23,8.48%
8/8/2023,-73.38,-68.21,-67.37,-77.07,7.58%
8/7/2023,-68.21,-72.85,-66.53,-76.05,-6.37%
8/4/2023,-72.85,-70.8,-68.07,-75.42,2.90%
8/3/2023,-70.8,-80.16,-69.77,-80.4,-11.44%
8/2/2023,-79.95,-87.08,-79.53,-87.64,-8.19%
8/1/2023,-87.08,-92.01,-84.62,-92.2,-5.36%
7/31/2023,-92.01,-93.02,-90.63,-93.82,-1.09%
7/28/2023,-93.02,-92.61,-86.19,-94.07,0.44%
7/27/2023,-92.61,-97.88,-91.86,-99.71,-5.38%
7/26/2023,-97.88,-99.02,-96.77,-103.16,-1.15%
7/25/2023,-99.02,-104.91,-97.35,-104.91,-5.61%
7/24/2023,-104.91,-101.09,-100.73,-105.59,3.78%
7/21/2023,-101.09,-99.08,-97.94,-104.22,2.03%
7/20/2023,-99.08,-102.18,-97.77,-105.07,-3.03%
7/19/2023,-102.18,-97.65,-95.74,-103.03,4.64%
7/18/2023,-97.65,-93.56,-92.55,-98.49,4.37%
7/17/2023,-93.56,-93.94,-92.14,-96.4,-0.40%
7/14/2023,-93.94,-86.9,-84.86,-95.19,8.10%
7/13/2023,-86.9,-88.9,-81.62,-89.53,-2.25%
7/12/2023,-88.9,-91.14,-83.18,-92.6,-2.46%
7/11/2023,-91.14,-86.61,-86.12,-92.02,5.23%
7/10/2023,-86.61,-88.86,-84.48,-103.88,-2.53%
7/7/2023,-88.86,-95.99,-74.86,-97.76,-7.43%
7/6/2023,-95.99,-101.52,-95.14,-107.06,-5.45%
7/5/2023,-101.52,-108.35,-99.83,-108.35,-6.30%
7/3/2023,-108.35,-106.52,-104.82,-110.83,1.72%
6/30/2023,-106.52,-102.51,-101.84,-107.33,3.91%
6/29/2023,-102.51,-100.02,-100.02,-106.5,2.49%
6/28/2023,-100.02,-99.39,-98.25,-102.07,0.63%
6/27/2023,-99.39,-95.73,-94.85,-101.19,-2.83%
6/26/2023,-102.28,-101.52,-100.75,-102.28,0.75%
6/23/2023,-101.52,-99.63,-99.31,-103.73,1.90%
6/22/2023,-99.63,-99.68,-98,-101.04,-0.05%
6/21/2023,-99.68,-96.78,-95.59,-100.3,3.00%
6/20/2023,-96.78,-95.72,-93.46,-98.2,1.11%
6/16/2023,-95.72,-93.16,-92.55,-98.34,2.51%
6/15/2023,-93.38,-90.83,-90.21,-95.11,3.05%
6/14/2023,-90.62,-85.38,-82.53,-95.53,6.14%
6/13/2023,-85.38,-84.41,-80.05,-94.49,1.15%
6/12/2023,-84.41,-85.43,-81.24,-87.55,-1.19%
6/9/2023,-85.43,-80.08,-78.97,-86.75,6.68%
6/8/2023,-80.08,-76.27,-71.67,-81.6,5.00%
6/7/2023,-76.27,-82.19,-75.46,-86.04,-7.20%
6/6/2023,-82.19,-78.32,-78.06,-83.72,4.94%
6/5/2023,-78.32,-81.5,-77.21,-83.17,-3.90%
6/2/2023,-81.5,-74.4,-72.81,-82.98,9.54%
6/1/2023,-74.4,-76.44,-72.23,-80.26,-2.67%
5/31/2023,-76.44,-76.81,-71.57,-79.03,-0.48%
5/30/2023,-76.81,-76.02,-75.25,-85.09,1.04%
5/26/2023,-76.02,-71.59,-70.06,-78.59,6.19%
5/25/2023,-71.59,-63.59,-63.18,-73.24,12.58%
5/24/2023,-63.59,-62.45,-56.43,-65.42,1.83%
