date,equity,cash,pos,buy_th,sell_th,p_day,QQQ,Return %,QQQ %
2/1/2024,99775.15566,0,1,-0.5,-0.5,0.19673927,421.88,0.70%,4.79%
2/2/2024,99599.22104,99599.22104,0,2.15,2.45,0.231393914,429.01,0.53%,6.56%
2/5/2024,99599.22104,99599.22104,0,2.15,2.45,0.226974679,428.45,0.53%,6.42%
2/6/2024,99438.7422,0,1,-0.5,-0.5,0.245946616,427.59,0.37%,6.21%
2/7/2024,99954.73461,0,1,1.8,1.65,0.206636305,431.99,0.89%,7.30%
2/8/2024,100116.7058,0,1,1.3,2.15,0.197432854,432.79,1.05%,7.50%
2/9/2024,100903.1976,0,1,1.55,2.2,0.228652295,437.05,1.84%,8.56%
2/12/2024,100273.1729,0,1,2.3,-0.5,0.28439033,435.34,1.21%,8.13%
2/13/2024,98939.27427,0,1,2.45,-0.5,0.294263427,428.55,-0.14%,6.45%
2/14/2024,99363.90635,99363.90635,0,2.4,1.6,0.214450893,433.22,0.29%,7.61%
2/15/2024,99363.90635,99363.90635,0,2.4,1.6,0.207194464,434.51,0.29%,7.93%
2/16/2024,98976.864,0,1,2.45,1.75,0.281409872,430.57,-0.10%,6.95%
2/20/2024,98138.27226,0,1,2.3,-0.5,0.255308876,427.32,-0.95%,6.14%
2/21/2024,99361.60252,0,1,1.8,2.1,0.19732023,425.61,0.29%,5.72%
2/22/2024,100022.688,0,1,1.65,2.1,0.259992844,438.07,0.95%,8.81%
2/23/2024,99557.34828,99557.34828,0,1.75,1.9,0.261204868,436.78,0.49%,8.49%
2/26/2024,99454.73535,0,1,1.8,2.1,0.251220246,436.55,0.38%,8.44%
2/27/2024,99714.68811,0,1,2.5,2.45,0.199922952,437.6,0.64%,8.70%
2/28/2024,99208.50518,0,1,2.1,2,0.248466458,435.27,0.13%,8.12%
2/29/2024,100395.355,100395.355,0,1.95,2.45,0.22342645,439,1.33%,9.04%
3/1/2024,100754.328,100754.328,0,-0.5,2.4,0.217975694,445.61,1.69%,10.69%
3/4/2024,100547.3741,0,1,1.65,-0.5,0.280594135,444.02,1.48%,10.29%
3/5/2024,99049.41096,0,1,2,-0.5,0.309372593,436.05,-0.03%,8.31%
3/6/2024,99684.91049,99684.91049,0,1.95,2.35,0.302739832,438.79,0.61%,8.99%
3/7/2024,99369.69952,0,1,-0.5,1.7,0.236566782,445.45,0.30%,10.65%
3/8/2024,99675.96833,99675.96833,0,1.95,-0.5,0.322259379,439.02,0.60%,9.05%
3/11/2024,99910.77931,99910.77931,0,2.4,2.25,0.24178027,437.39,0.84%,8.64%
3/12/2024,99910.77931,99910.77931,0,1.8,2.3,0.261701775,443.66,0.84%,10.20%
3/13/2024,100294.9204,0,1,1.7,2,0.269099216,440.25,1.23%,9.35%
3/14/2024,101049.4951,101049.4951,0,1.55,1.7,0.281569056,439.14,1.99%,9.08%
3/15/2024,99861.17873,0,1,2.4,1.15,0.290043847,433.92,0.79%,7.78%
3/18/2024,100938.8731,0,1,2.05,-0.5,0.28466732,437.48,1.88%,8.67%
3/19/2024,101389.7305,0,1,2.3,-0.5,0.215360973,438.57,2.33%,8.94%
3/20/2024,101496.0866,101496.0866,0,2.1,2.2,0.226928426,443.77,2.44%,10.23%
3/21/2024,101496.0866,101496.0866,0,2.1,2.2,0.275869786,445.87,2.44%,10.75%
3/22/2024,101653.5864,101653.5864,0,-0.5,2,0.266882731,446.38,2.60%,10.88%
3/25/2024,101771.8295,0,1,1.3,1.85,0.240424653,444.76,2.72%,10.47%
3/26/2024,101979.7136,101979.7136,0,0.55,2.1,0.311087093,443.32,2.93%,10.12%
3/27/2024,102075.628,102075.628,0,0.95,1.85,0.241188295,444.83,3.03%,10.49%
3/28/2024,102130.7711,102130.7711,0,-0.5,2.35,0.259238672,444.01,3.08%,10.29%
4/1/2024,101739.2725,0,1,1.55,-0.5,0.246946093,444.95,2.69%,10.52%
4/2/2024,101255.1616,101255.1616,0,2,1.25,0.207765059,441.11,2.20%,9.57%
4/3/2024,102162.1647,102162.1647,0,2.05,1.7,0.229922584,442.1,3.11%,9.81%
4/4/2024,102162.1647,102162.1647,0,2.05,1.7,0.385916699,435.34,3.11%,8.13%
4/5/2024,102191.3778,0,1,2.05,1.7,0.255239399,440.47,3.14%,9.41%
4/8/2024,102490.5559,102490.5559,0,1.5,-0.5,0.213008167,440.6,3.45%,9.44%
4/9/2024,102627.8843,102627.8843,0,1.3,2,0.217412104,442.23,3.58%,9.85%
4/10/2024,103080.3009,0,1,1.1,1.55,0.208768217,438.37,4.04%,8.89%
4/11/2024,103896.1035,103896.1035,0,1.15,2.4,0.248671681,445.37,4.86%,10.63%
4/12/2024,102734.843,0,1,1.55,-0.5,0.273815335,438.27,3.69%,8.86%
4/15/2024,101252.0963,0,1,1.55,-0.5,0.345509457,431.06,2.20%,7.07%
4/16/2024,102262.633,102262.633,0,2.25,-0.5,0.214056429,431.1,3.22%,7.08%
4/17/2024,102410.9978,0,1,-0.5,-0.5,0.265271952,425.84,3.37%,5.78%
4/18/2024,101313.8829,0,1,-0.5,-0.5,0.238771899,423.41,2.26%,5.17%
4/19/2024,99672.05785,0,1,-0.5,1.65,0.266066774,414.65,0.60%,3.00%
4/22/2024,100902.7578,0,1,1.3,2.45,0.209623662,418.82,1.84%,4.03%
4/23/2024,101559.0976,101559.0976,0,1.3,2.5,0.201226752,425.07,2.51%,5.58%
4/24/2024,101448.575,0,1,-0.5,2.5,0.242593292,426.51,2.39%,5.94%
4/25/2024,103224.0273,0,1,1.35,1.95,0.19948476,424.45,4.19%,5.43%
4/26/2024,103468.2716,0,1,1.45,-0.5,0.22723429,431,4.43%,7.06%
4/29/2024,104411.9753,104411.9753,0,1.45,-0.5,0.201678056,432.75,5.38%,7.49%
4/30/2024,104411.9753,104411.9753,0,2.4,-0.5,0.348058763,424.59,5.38%,5.46%
5/1/2024,104411.9753,104411.9753,0,1.95,1.45,0.335167966,421.52,5.38%,4.70%
5/2/2024,104455.7293,104455.7293,0,-0.5,2.45,0.240874693,426.9,5.43%,6.04%
5/3/2024,104455.7293,104455.7293,0,-0.5,2.5,0.191967172,435.48,5.43%,8.17%
5/6/2024,104455.7293,104455.7293,0,-0.5,2.5,0.182425683,440.25,5.43%,9.35%
5/7/2024,104700.5567,104700.5567,0,1.15,-0.5,0.226865012,440.32,5.68%,9.37%
5/8/2024,104549.179,0,1,1.2,2.5,0.251381967,440.06,5.52%,9.31%
5/9/2024,104994.5946,104994.5946,0,1.25,2.5,0.218066446,441.02,5.97%,9.55%
5/10/2024,104994.5946,104994.5946,0,0.65,2.5,0.222181667,442.06,5.97%,9.80%
5/13/2024,104994.5946,104994.5946,0,0.65,2.5,0.254501655,443.08,5.97%,10.06%
5/14/2024,105765.0797,0,1,-0.5,-0.5,0.187678342,445.93,6.75%,10.77%
5/15/2024,106487.6223,106487.6223,0,-0.5,2.45,0.205182275,452.9,7.48%,12.50%
5/16/2024,106395.8165,0,1,-0.5,2.5,0.23811613,451.98,7.39%,12.27%
5/17/2024,106294.5948,0,1,1.5,-0.5,0.224065449,451.76,7.29%,12.21%
5/20/2024,107000.7929,0,1,-0.5,-0.5,0.197294524,454.91,8.00%,13.00%
5/21/2024,107370.37,0,1,2,1.5,0.172311415,455.8,8.37%,13.22%
5/22/2024,108099.4744,0,1,-0.5,1.2,0.203895033,455.71,9.11%,13.19%
5/23/2024,108550.8347,108550.8347,0,2.5,1.45,0.331473083,453.66,9.56%,12.69%
5/24/2024,108777.6553,108777.6553,0,2.35,1.9,0.227428993,457.95,9.79%,13.75%
5/28/2024,109117.3256,0,1,2.35,1.9,0.19320295,459.68,10.13%,14.18%
5/29/2024,108776.4676,108776.4676,0,2.05,-0.5,0.236926152,456.44,9.79%,13.38%
5/30/2024,108877.069,108877.069,0,1.85,1.8,0.270376595,451.55,9.89%,12.16%
5/31/2024,108660.1388,108660.1388,0,2.4,2.2,0.236278905,450.71,9.67%,11.95%
6/3/2024,108660.1388,108660.1388,0,2.4,2.2,0.225474624,453.13,9.67%,12.55%
6/4/2024,108660.1388,108660.1388,0,2.4,2.2,0.18367549,454.37,9.67%,12.86%
6/5/2024,108767.2682,108767.2682,0,2.4,2.2,0.202180083,463.53,9.78%,15.14%
6/6/2024,108767.2682,108767.2682,0,2.4,2.2,0.172485686,463.37,9.78%,15.10%
6/7/2024,108767.2682,108767.2682,0,2.4,2.2,0.197370939,462.96,9.78%,15.00%
6/10/2024,108767.2682,108767.2682,0,-0.5,2.15,0.189641809,464.83,9.78%,15.46%
6/11/2024,109817.8198,0,1,-0.5,1.6,0.176323829,468.02,10.84%,16.25%
6/12/2024,111789.9491,0,1,0.9,2.05,0.196717589,474.15,12.83%,17.77%
6/13/2024,111911.8881,0,1,-0.5,1.65,0.183204966,476.72,12.95%,18.41%
6/14/2024,112371.5045,0,1,1.05,-0.5,0.168858786,479.19,13.42%,19.03%
6/17/2024,112693.0016,0,1,-0.5,1.3,0.232715221,485.06,13.74%,20.48%
6/18/2024,112813.7674,0,1,-0.5,2,0.19632621,485.21,13.87%,20.52%
6/20/2024,113396.6942,113396.6942,0,1.8,-0.5,0.314650787,481.47,14.45%,19.59%
6/21/2024,113422.6226,113422.6226,0,2.2,-0.5,0.232605207,480.18,14.48%,19.27%
6/24/2024,113440.7063,0,1,2.45,-0.5,0.282354895,473.96,14.50%,17.73%
6/25/2024,114585.7269,0,1,2.35,-0.5,0.187312495,479.38,15.65%,19.07%
6/26/2024,114332.3403,0,1,2.4,1.95,0.186164652,480.37,15.40%,19.32%
6/27/2024,115357.839,115357.839,0,2.4,1.95,0.216478138,481.61,16.43%,19.63%
6/28/2024,115357.839,115357.839,0,2.4,1.95,0.316327944,479.11,16.43%,19.01%
7/1/2024,115810.4938,115810.4938,0,2.4,1.95,0.243156804,481.92,16.89%,19.70%
7/2/2024,115810.4938,115810.4938,0,2.4,1.95,0.244352892,486.98,16.89%,20.96%
7/3/2024,115810.4938,115810.4938,0,2.4,1.95,0.203908958,491.04,16.89%,21.97%
7/5/2024,115810.4938,115810.4938,0,2.4,1.95,0.23057085,496.16,16.89%,23.24%
7/8/2024,115810.4938,115810.4938,0,2.4,1.95,0.184003643,497.34,16.89%,23.54%
7/9/2024,115810.4938,115810.4938,0,2.4,1.95,0.238757402,497.77,16.89%,23.64%
7/10/2024,115810.4938,115810.4938,0,2.4,1.95,0.23547779,502.96,16.89%,24.93%
7/11/2024,115810.4938,115810.4938,0,1.3,-0.5,0.405713656,491.93,16.89%,22.19%
7/12/2024,115810.4938,115810.4938,0,1.1,-0.5,0.309795344,494.82,16.89%,22.91%
7/15/2024,115810.4938,115810.4938,0,1.1,-0.5,0.319940486,496.15,16.89%,23.24%
7/16/2024,116888.5972,0,1,0.75,-0.5,0.256811631,496.34,17.98%,23.29%
7/17/2024,115643.0939,115643.0939,0,2.45,-0.5,0.442384942,481.77,16.72%,19.67%
7/18/2024,115643.0939,115643.0939,0,2.5,1.1,0.455675388,479.49,16.72%,19.10%
7/19/2024,115643.0939,115643.0939,0,2.05,0.05,0.460935367,475.24,16.72%,18.05%
7/22/2024,115643.0939,115643.0939,0,2.05,0.05,0.305288363,482.32,16.72%,19.80%
7/23/2024,115643.0939,115643.0939,0,2.4,-0.5,0.373837231,480.62,16.72%,19.38%
7/24/2024,115643.0939,115643.0939,0,2.4,-0.5,0.460036806,463.38,16.72%,15.10%
7/25/2024,115643.0939,115643.0939,0,2.15,-0.5,0.429787366,458.27,16.72%,13.83%
7/26/2024,115643.0939,115643.0939,0,2,-0.5,0.309697432,462.97,16.72%,15.00%
7/29/2024,115643.0939,115643.0939,0,0.7,-0.5,0.339767684,463.9,16.72%,15.23%
7/30/2024,115643.0939,115643.0939,0,0.6,2.25,0.4169071,457.53,16.72%,13.65%
7/31/2024,115643.0939,115643.0939,0,-0.5,1.85,0.353119373,471.07,16.72%,17.01%
8/1/2024,115643.0939,115643.0939,0,2.45,-0.5,0.477468855,459.66,16.72%,14.18%
8/2/2024,115643.0939,115643.0939,0,2.15,-0.5,0.368801617,448.75,16.72%,11.47%
8/5/2024,115643.0939,115643.0939,0,-0.5,-0.5,0.37964484,435.37,16.72%,8.14%
8/6/2024,118640.6868,118640.6868,0,-0.5,-0.5,0.263234182,439.53,19.75%,9.18%
8/7/2024,115089.3048,0,1,2.5,-0.5,0.284756294,434.77,16.16%,7.99%
8/8/2024,117011.6369,117011.6369,0,-0.5,-0.5,0.209967978,448.07,18.10%,11.30%
8/9/2024,117318.8565,117318.8565,0,-0.5,-0.5,0.203284648,450.41,18.41%,11.88%
8/12/2024,117318.8565,117318.8565,0,-0.5,-0.5,0.286413994,451.38,18.41%,12.12%
8/13/2024,117318.8565,117318.8565,0,-0.5,-0.5,0.135368625,462.58,18.41%,14.90%
8/14/2024,117351.8198,0,1,-0.5,-0.5,0.14815555,462.73,18.45%,14.94%
8/15/2024,120442.7614,0,1,-0.5,-0.5,0.145015504,474.42,21.57%,17.84%
8/16/2024,120260.1955,0,1,2.4,-0.5,0.140705989,475.03,21.38%,17.99%
8/19/2024,122024.9989,0,1,-0.5,-0.5,0.16078427,481.27,23.16%,19.54%
8/20/2024,122057.574,0,1,-0.5,-0.5,0.201570918,480.26,23.19%,19.29%
8/21/2024,123001.4367,0,1,-0.5,-0.5,0.167912624,482.5,24.15%,19.85%
8/22/2024,122231.4311,0,1,-0.5,-0.5,0.241712207,474.85,23.37%,17.95%
8/23/2024,122745.9638,122745.9638,0,-0.5,-0.5,0.205354512,480,23.89%,19.23%
8/26/2024,121849.967,121849.967,0,2.1,0.5,0.226292175,475.34,22.99%,18.07%
8/27/2024,121734.7,0,1,2.2,0.45,0.183360183,476.76,22.87%,18.42%
8/28/2024,120091.3695,0,1,2.4,2,0.255302782,471.35,21.21%,17.08%
8/29/2024,122151.8635,0,1,2.4,-0.5,0.250002426,470.66,23.29%,16.91%
8/30/2024,123356.2616,0,1,2.35,2.1,0.185582704,476.27,24.51%,18.30%
9/3/2024,122615.492,122615.492,0,2.45,-0.5,0.317941151,461.81,23.76%,14.71%
9/4/2024,122909.4314,0,1,2.25,-0.5,0.202232477,460.61,24.05%,14.41%
9/5/2024,122821.2496,0,1,2.3,-0.5,0.196542614,461.04,23.97%,14.52%
9/6/2024,120375.3414,0,1,2.4,-0.5,0.261440479,448.69,21.50%,11.45%
9/9/2024,122624.1331,0,1,2.1,-0.5,0.138331463,454.46,23.77%,12.88%
9/10/2024,123453.9853,0,1,1.8,2.3,0.155165192,458.66,24.60%,13.93%
9/11/2024,123222.2733,123222.2733,0,-0.5,2.5,0.213773894,468.62,24.37%,16.40%
9/12/2024,123222.2733,123222.2733,0,-0.5,2.5,0.18329892,473.22,24.37%,17.54%
9/13/2024,123490.244,0,1,-0.5,2.5,0.192124547,475.34,24.64%,18.07%
9/16/2024,123120.8087,0,1,2.3,2.45,0.171545768,473.24,24.27%,17.55%
9/17/2024,123758.5117,123758.5117,0,2.3,2.5,0.227331125,473.49,24.91%,17.61%
9/18/2024,124908.2561,124908.2561,0,-0.5,2.25,0.243609935,471.44,26.07%,17.10%
9/19/2024,125292.4773,0,1,-0.5,2,0.190141701,483.36,26.46%,20.06%
9/20/2024,125253.1386,0,1,-0.5,2.35,0.205013194,482.44,26.42%,19.83%
9/23/2024,125416.7867,0,1,1.65,-0.5,0.1949771,483.04,26.59%,19.98%
9/24/2024,126146.7092,0,1,2.35,2.3,0.176058327,485.37,27.32%,20.56%
9/25/2024,125783.0468,125783.0468,0,2.1,2.3,0.200867498,485.82,26.96%,20.67%
9/26/2024,125783.0468,125783.0468,0,2.1,2.3,0.247496267,489.47,26.96%,21.58%
9/27/2024,125783.0468,125783.0468,0,2.1,2.3,0.306108975,486.75,26.96%,20.90%
9/30/2024,127812.0926,127812.0926,0,2.4,2.25,0.2004662,488.07,29.00%,21.23%
10/1/2024,127812.0926,127812.0926,0,2.15,-0.5,0.32792254,481.27,29.00%,19.54%
10/2/2024,128855.9077,0,1,1.85,2.5,0.218768525,481.95,30.06%,19.71%
10/3/2024,129584.9482,0,1,2.15,1.85,0.279773837,481.59,30.79%,19.62%
10/4/2024,130522.7337,130522.7337,0,2.1,-0.5,0.233085232,487.32,31.74%,21.05%
10/7/2024,130522.7337,130522.7337,0,2.1,-0.5,0.314538156,482.1,31.74%,19.75%
10/8/2024,131012.0184,131012.0184,0,1.45,1.4,0.236721087,489.3,32.23%,21.54%
10/9/2024,132503.8459,0,1,-0.5,2.2,0.198533495,493.15,33.74%,22.49%
10/10/2024,133347.8516,0,1,1.7,2.2,0.220758183,492.59,34.59%,22.36%
10/11/2024,133150.4935,0,1,-0.5,2.1,0.232720461,493.36,34.39%,22.55%
10/14/2024,134564.4571,0,1,-0.5,2.1,0.198408502,497.5,35.82%,23.57%
10/15/2024,132688.1841,132688.1841,0,1.95,1.1,0.375311695,490.85,33.92%,21.92%
10/16/2024,133244.8028,133244.8028,0,2,-0.5,0.209247669,490.91,34.49%,21.94%
10/17/2024,133244.8028,133244.8028,0,-0.5,1.5,0.291887021,491.25,34.49%,22.02%
10/18/2024,133549.6893,0,1,1.55,1.55,0.208754221,494.47,34.79%,22.82%
10/21/2024,133811.9418,133811.9418,0,1.4,2.2,0.215267715,495.42,35.06%,23.06%
10/22/2024,134879.2231,0,1,1.15,1.6,0.240907462,495.96,36.14%,23.19%
10/23/2024,134661.5663,134661.5663,0,1.9,1.45,0.319451632,488.36,35.92%,21.30%
10/24/2024,134751.8569,134751.8569,0,2.3,2.35,0.213830719,492.32,36.01%,22.29%
10/25/2024,134222.5134,0,1,1,1.9,0.291533123,495.32,35.47%,23.03%
10/28/2024,135617.8086,135617.8086,0,1.6,-0.5,0.303027028,495.4,36.88%,23.05%
10/29/2024,135617.8086,135617.8086,0,1.5,2.2,0.212548942,500.16,36.88%,24.24%
10/30/2024,135617.8086,135617.8086,0,1.15,2.25,0.323664377,496.38,36.88%,23.30%
10/31/2024,135617.8086,135617.8086,0,2.4,-0.5,0.352448444,483.85,36.88%,20.18%
11/1/2024,135617.8086,135617.8086,0,2.35,1.3,0.258378157,487.43,36.88%,21.07%
11/4/2024,135617.8086,135617.8086,0,2.1,1.75,0.246826506,486.01,36.88%,20.72%
11/5/2024,135617.8086,135617.8086,0,1.5,1.7,0.208691836,492.21,36.88%,22.26%
11/6/2024,135617.8086,135617.8086,0,1.5,1.7,0.210235686,505.58,36.88%,25.58%
11/7/2024,135617.8086,135617.8086,0,1.5,1.7,0.205621658,513.54,36.88%,27.56%
11/8/2024,135617.8086,135617.8086,0,1.5,1.7,0.196692129,514.14,36.88%,27.71%
11/11/2024,135792.7275,135792.7275,0,1.5,1.7,0.204676137,513.84,37.06%,27.63%
11/12/2024,135736.7019,135736.7019,0,-0.5,-0.5,0.232815487,512.91,37.00%,27.40%
11/13/2024,135787.3564,0,1,2.4,-0.5,0.236180578,512.25,37.05%,27.24%
11/14/2024,135558.5636,0,1,2,-0.5,0.288842093,508.69,36.82%,26.35%
11/15/2024,132971.3741,0,1,1.95,-0.5,0.274782812,496.57,34.21%,23.34%
11/18/2024,133752.6144,0,1,1.2,-0.5,0.197416414,500.02,35.00%,24.20%
11/19/2024,133570.0459,133570.0459,0,1.1,2.5,0.203337409,503.46,34.81%,25.06%
11/20/2024,133570.0459,133570.0459,0,-0.5,2.1,0.214137993,503.17,34.81%,24.98%
11/21/2024,135128.6448,0,1,-0.5,-0.5,0.25827565,504.98,36.39%,25.43%
11/22/2024,135917.3333,0,1,1.15,-0.5,0.184274683,505.79,37.18%,25.63%
11/25/2024,136475.3241,136475.3241,0,0.4,2.05,0.259288907,506.59,37.75%,25.83%
11/26/2024,136781.5575,0,1,0.65,2.4,0.188590901,509.31,38.06%,26.51%
11/27/2024,135956.5659,135956.5659,0,1.55,2,0.227859069,505.3,37.22%,25.51%
11/29/2024,135956.5659,135956.5659,0,1.55,2,0.185400245,509.74,37.22%,26.62%
12/2/2024,135956.5659,135956.5659,0,1.55,2,0.180254115,515.29,37.22%,27.99%
12/3/2024,135956.5659,135956.5659,0,1.55,2,0.161104131,516.87,37.22%,28.39%
12/4/2024,135956.5659,135956.5659,0,1.55,2,0.188380528,523.26,37.22%,29.97%
12/5/2024,135753.4746,135753.4746,0,1.55,-0.5,0.221350141,521.81,37.02%,29.61%
12/6/2024,135753.4746,135753.4746,0,-0.5,-0.5,0.159880647,526.48,37.02%,30.77%
12/9/2024,135227.7083,0,1,2.1,1.05,0.29313306,522.38,36.49%,29.75%
12/10/2024,135642.0168,135642.0168,0,2.3,1.7,0.274082244,520.6,36.91%,29.31%
12/11/2024,135642.0168,135642.0168,0,-0.5,1.05,0.178425534,529.92,36.91%,31.63%
12/12/2024,135642.0168,135642.0168,0,-0.5,1.05,0.262594085,526.5,36.91%,30.78%
12/13/2024,135459.6981,135459.6981,0,-0.5,1.05,0.21906025,530.53,36.72%,31.78%
12/16/2024,135917.1175,135917.1175,0,-0.5,1.05,0.23975599,538.17,37.18%,33.68%
12/17/2024,135921.7461,0,1,1.9,1.35,0.263516347,535.8,37.19%,33.09%
12/18/2024,136114.7843,136114.7843,0,2.15,1.5,0.487338445,516.47,37.38%,28.29%
12/19/2024,133787.8124,0,1,2.2,-0.5,0.257967897,514.17,35.03%,27.72%
12/20/2024,136193.2216,0,1,2.3,-0.5,0.234469866,518.66,37.46%,28.83%
12/23/2024,136588.0224,0,1,2.3,-0.5,0.157071676,522.87,37.86%,29.88%
12/24/2024,138562.0267,0,1,-0.5,2.45,0.151368989,529.96,39.85%,31.64%
12/26/2024,138256.0953,0,1,1.9,-0.5,0.197013628,529.6,39.54%,31.55%
12/27/2024,138663.6673,138663.6673,0,2.1,-0.5,0.227930727,522.56,39.96%,29.80%
12/30/2024,136157.7064,0,1,2.5,2.45,0.206754027,515.61,37.43%,28.07%
12/31/2024,135821.0685,0,1,2.45,2.45,0.238494042,511.23,37.09%,26.99%
1/2/2025,134925.761,134925.761,0,2.3,-0.5,0.225742701,510.23,36.18%,26.74%
1/3/2025,136649.6369,0,1,2.35,-0.5,0.179258642,518.58,37.92%,28.81%
1/6/2025,137271.4032,137271.4032,0,2.35,-0.5,0.243859895,524.54,38.55%,30.29%
1/7/2025,137271.4032,137271.4032,0,2.25,-0.5,0.348357122,515.18,38.55%,27.97%
1/8/2025,137829.7706,0,1,2.25,2.1,0.219334161,515.27,39.11%,27.99%
1/10/2025,137977.4906,137977.4906,0,2.2,-0.5,0.29202399,507.19,39.26%,25.98%
1/13/2025,140173.1262,0,1,2.2,-0.5,0.188239501,505.56,41.48%,25.58%
1/14/2025,139544.2255,0,1,-0.5,2.25,0.263932059,505.08,40.84%,25.46%
1/15/2025,142369.2595,142369.2595,0,-0.5,1.85,0.213781727,516.7,43.70%,28.34%
1/16/2025,142369.2595,142369.2595,0,1.2,1.5,0.328472971,513.08,43.70%,27.44%
1/17/2025,143009.8902,143009.8902,0,1.15,2.35,0.286034998,521.74,44.34%,29.60%
1/21/2025,143009.8902,143009.8902,0,1.15,2.35,0.222763689,524.8,44.34%,30.36%
1/22/2025,143009.8902,143009.8902,0,1.15,2.35,0.296342398,531.51,44.34%,32.02%
1/23/2025,143160.8924,143160.8924,0,0.5,-0.5,0.254214018,532.64,44.49%,32.30%
1/24/2025,143160.8924,143160.8924,0,0.55,-0.5,0.32637555,529.63,44.49%,31.56%
1/27/2025,143410.3651,143410.3651,0,0.55,-0.5,0.255399192,514.21,44.75%,27.73%
1/28/2025,144061.1811,0,1,-0.5,2.15,0.239334468,521.81,45.40%,29.61%
1/29/2025,145732.9624,0,1,-0.5,2.2,0.219922467,520.83,47.09%,29.37%
1/30/2025,147655.1491,147655.1491,0,-0.5,1.25,0.26446432,523.05,49.03%,29.92%
1/31/2025,147655.1491,147655.1491,0,-0.5,1.25,0.358267343,522.29,49.03%,29.73%
2/3/2025,150268.3677,0,1,1.75,2.5,0.288430623,518.11,51.67%,28.69%
2/4/2025,149641.4278,0,1,1.75,-0.5,0.22485265,524.47,51.04%,30.27%
2/5/2025,149214.4524,149214.4524,0,2.15,2.5,0.201340134,526.85,50.60%,30.87%
2/6/2025,149214.4524,149214.4524,0,-0.5,2.4,0.213616697,529.6,50.60%,31.55%
2/7/2025,149214.4524,149214.4524,0,-0.5,-0.5,0.382606365,522.92,50.60%,29.89%
2/10/2025,149389.9297,149389.9297,0,1.2,2.45,0.219425969,529.25,50.78%,31.46%
2/11/2025,149766.8478,0,1,1.05,2.45,0.242371623,527.99,51.16%,31.15%
2/12/2025,149727.5848,149727.5848,0,1.2,-0.5,0.211400505,528.3,51.12%,31.23%
2/13/2025,149727.5848,149727.5848,0,1.2,-0.5,0.187844121,535.9,51.12%,33.11%
2/14/2025,149727.5848,149727.5848,0,1.2,-0.5,0.178705227,538.15,51.12%,33.67%
2/18/2025,150805.0203,0,1,1.2,-0.5,0.170061986,539.37,52.21%,33.98%
2/19/2025,150486.9714,0,1,1.5,-0.5,0.192425042,539.52,51.89%,34.01%
2/20/2025,151560.0484,151560.0484,0,1.75,2.45,0.263259022,537.23,52.97%,33.44%
2/21/2025,151560.0484,151560.0484,0,2.2,-0.5,0.414460209,526.08,52.97%,30.67%
2/24/2025,151560.0484,151560.0484,0,2.05,-0.5,0.333261676,519.87,52.97%,29.13%
2/25/2025,150823.0138,0,1,2.15,-0.5,0.265663326,513.32,52.23%,27.50%
2/26/2025,149839.6873,0,1,2.4,2,0.267713849,514.56,51.24%,27.81%
2/27/2025,151051.6281,151051.6281,0,2.3,1.15,0.415302574,500.27,52.46%,24.26%
2/28/2025,151531.4699,151531.4699,0,-0.5,1.1,0.222681253,508.17,52.94%,26.23%
