date,equity,cash,shares,buy_th,sell_th,has_model,had_bsp,bsp_count
2023-05-30,100000.0,100000.0,0.0,0.0,0.0,0,1,69
2023-05-31,100000.0,100000.0,0.0,0.0,0.0,0,1,50
2023-06-01,100000.0,100000.0,0.0,0.0,0.0,0,1,18
2023-06-02,100000.0,100000.0,0.0,0.0,0.0,0,1,49
2023-06-05,100000.0,100000.0,0.0,0.0,0.0,0,1,34
2023-06-06,100000.0,100000.0,0.0,0.0,0.0,0,1,21
2023-06-07,100000.0,100000.0,0.0,0.0,0.0,0,1,50
2023-06-08,100000.0,100000.0,0.0,0.0,0.0,0,1,32
2023-06-09,100000.0,100000.0,0.0,0.0,0.0,0,1,59
2023-06-12,100000.0,100000.0,0.0,0.0,0.0,0,1,59
2023-06-13,100000.0,100000.0,0.0,0.0,0.0,0,1,49
2023-06-14,100000.0,100000.0,0.0,0.0,0.0,0,1,21
2023-06-15,100000.0,100000.0,0.0,0.0,0.0,0,1,57
2023-06-16,100000.0,100000.0,0.0,0.0,0.0,0,1,31
2023-06-20,100000.0,100000.0,0.0,0.0,0.0,0,1,33
2023-06-21,100000.0,100000.0,0.0,0.0,0.0,0,1,41
2023-06-22,100000.0,100000.0,0.0,0.0,0.0,0,1,65
2023-06-23,100000.0,100000.0,0.0,0.0,0.0,0,1,54
2023-06-26,100000.0,100000.0,0.0,0.0,0.0,0,1,45
2023-06-27,100000.0,100000.0,0.0,0.0,0.0,0,1,67
2023-06-28,100000.0,100000.0,0.0,0.0,0.0,0,1,46
2023-06-29,100000.0,100000.0,0.0,0.0,0.0,0,1,47
2023-06-30,100000.0,100000.0,0.0,0.0,0.0,0,1,34
2023-07-03,100000.0,100000.0,0.0,1.375,1.75,1,1,24
2023-07-05,100431.3970209187,0.0,271.31888108093443,1.375,1.75,1,1,59
2023-07-06,99644.57226578398,0.0,271.31888108093443,1.375,1.75,1,1,31
2023-07-07,99405.81165043276,0.0,271.31888108093443,1.375,1.75,1,1,46
2023-07-10,99456.94805136812,0.0,271.3695717636238,1.375,0.5,1,1,36
2023-07-11,99763.45851688758,99763.45851688758,0.0,1.375,0.5,1,1,27
2023-07-12,99763.45851688758,99763.45851688758,0.0,1.375,0.5,1,1,47
2023-07-13,99763.45851688758,99763.45851688758,0.0,1.375,0.5,1,1,58
2023-07-14,99763.45851688758,99763.45851688758,0.0,1.375,0.5,1,1,33
2023-07-17,99689.82846684613,99689.82846684613,0.0,1.375,0.5,1,1,44
2023-07-18,99341.43367529107,0.0,257.7077305374093,-0.5,0.0,1,1,24
2023-07-19,99003.96839950781,0.0,258.49600104310133,-0.5,0.0,1,1,57
2023-07-20,97346.89083507871,0.0,258.5780828089322,-0.5,0.0,1,1,51
2023-07-21,97479.9809228933,0.0,259.4622861934876,-0.5,0.0,1,1,23
2023-07-24,97892.51755486186,97892.51755486186,0.0,-0.5,0.0,1,1,16
2023-07-25,97933.534337416,0.0,259.0765702955372,-0.5,0.0,1,1,54
2023-07-26,97874.40333787567,0.0,258.5712864257521,-0.5,0.0,1,1,33
2023-07-27,97749.56873041498,97749.56873041498,0.0,-0.5,0.0,1,1,47
2023-07-28,97803.09243043946,0.0,254.87476202131566,-0.5,0.0,1,1,56
2023-07-31,98411.63767166855,0.0,256.4004941682782,-0.5,2.125,1,1,48
2023-08-01,97757.81641153943,0.0,256.4004941682782,1.25,2.0,1,1,61
2023-08-02,96270.67645290874,0.0,256.74234326188423,1.125,2.25,1,1,53
2023-08-03,96278.37872320658,0.0,256.74234326188423,1.125,1.875,1,1,23
2023-08-04,95358.49727850559,0.0,256.47103972057124,1.625,-0.5,1,1,47
2023-08-07,96230.49881355553,0.0,256.47103972057124,1.625,0.875,1,1,23
2023-08-08,94876.13184939616,0.0,255.0433651865488,1.625,0.875,1,1,32
2023-08-09,94075.29568271039,0.0,255.0433651865488,1.625,0.875,1,1,55
2023-08-10,94253.82603834098,0.0,255.0433651865488,1.625,0.875,1,1,31
2023-08-11,93396.88033131417,0.0,255.0433651865488,1.625,0.875,1,1,38
2023-08-14,93761.59234353094,93761.59234353094,0.0,2.0,0.625,1,1,54
2023-08-15,93761.59234353094,93761.59234353094,0.0,2.0,0.625,1,1,35
2023-08-16,93761.59234353094,93761.59234353094,0.0,2.0,0.625,1,1,53
2023-08-17,93761.59234353094,93761.59234353094,0.0,1.875,0.625,1,1,49
2023-08-18,93761.59234353094,93761.59234353094,0.0,1.5,0.625,1,1,45
2023-08-21,93761.59234353094,93761.59234353094,0.0,2.25,-0.5,1,1,50
2023-08-22,93761.59234353094,93761.59234353094,0.0,2.0,0.375,1,1,47
2023-08-23,93761.59234353094,93761.59234353094,0.0,1.875,0.5,1,1,61
2023-08-24,91937.78747865393,91937.78747865393,0.0,1.0,1.75,1,1,58
2023-08-25,92571.45507026644,0.0,254.4849765512053,-0.5,1.75,1,1,41
2023-08-28,93401.07609382337,0.0,254.4849765512053,0.625,1.75,1,1,45
2023-08-29,93477.42158678873,93477.42158678873,0.0,2.0,1.0,1,1,28
