side,entry_raw_idx,entry_price,entry_reason,exit_raw_idx,exit_price,pnl,return_pct,exit_reason
short,19935,332.52,OPEN_SHORT mr=0.58 ret=0.12,20249,329.77,739.2671776793723,0.8270179237339051,CLOSE_SHORT mr=1.00 ret=0.06
short,20501,334.44,OPEN_SHORT mr=0.55 ret=0.10,20915,338.18,-1007.8985320486972,-1.1182872862097772,CLOSE_SHORT mr=0.60 ret=0.11
short,21017,336.92,OPEN_SHORT mr=0.75 ret=0.00,21309,339.8001,-761.833701064359,-0.8548320075982305,CLOSE_SHORT mr=0.69 ret=-0.15
short,21314,340.65,OPEN_SHORT mr=0.54 ret=-0.08,22384,343.51,-741.837184031363,-0.8395714076031107,CLOSE_SHORT mr=0.56 ret=-0.18
long,22386,343.21,OPEN_LONG mr=0.59 ret=-0.14,23165,350.4,1835.516575421847,2.094927303982972,CLOSE_LONG mr=0.57 ret=0.52
short,23294,350.25,OPEN_SHORT mr=0.69 ret=-0.20,23488,352.99,-699.7871069626271,-0.7822983583154858,CLOSE_SHORT mr=0.82 ret=-0.05
short,23494,353.05,OPEN_SHORT mr=0.69 ret=-0.03,23525,353.29,-60.333386960293865,-0.0679790397960733,CLOSE_SHORT mr=0.68 ret=0.34
long,23531,353.0496,OPEN_LONG mr=0.62 ret=-0.01,23545,353.3,62.90511366611463,0.07092487854398362,CLOSE_LONG mr=0.79 ret=-0.05
short,23546,353.35,OPEN_SHORT mr=0.74 ret=0.05,23551,353.81,-115.54416019456403,-0.13018253855950698,CLOSE_SHORT mr=0.64 ret=-0.04
long,23556,353.22,OPEN_LONG mr=0.58 ret=0.16,23563,354.04,205.77759474121558,0.23214993488476568,CLOSE_LONG mr=0.58 ret=-0.29
long,23568,353.45,OPEN_LONG mr=0.62 ret=0.13,23574,353.82,93.00585817018873,0.10468241618333583,CLOSE_LONG mr=0.85 ret=-0.25
short,23575,353.85,OPEN_SHORT mr=0.89 ret=-0.17,23616,354.6,-188.50940468233603,-0.21195421788893945,CLOSE_SHORT mr=0.69 ret=0.53
short,23617,354.695,OPEN_SHORT mr=0.70 ret=-0.01,23626,355.24,-136.3675104239519,-0.15365313861205504,CLOSE_SHORT mr=0.82 ret=0.21
short,23627,355.38,OPEN_SHORT mr=0.84 ret=0.07,23670,355.5,-29.921951785931014,-0.0337666722944516,CLOSE_SHORT mr=0.66 ret=0.39
short,23698,354.64,OPEN_SHORT mr=0.71 ret=0.42,23744,354.25,97.41635439395031,0.10997067448680314,CLOSE_SHORT mr=0.56 ret=-0.10
short,23751,354.82,OPEN_SHORT mr=0.71 ret=0.21,23873,354.61,52.4860054942983,0.059184938842215165,CLOSE_SHORT mr=0.64 ret=0.26
long,23874,354.6,OPEN_LONG mr=0.77 ret=0.24,24251,358.54,985.9315624680021,1.1111111111111045,CLOSE_LONG mr=0.59 ret=0.10
short,24253,358.62,OPEN_SHORT mr=0.56 ret=0.03,24286,359.24,-155.11198135754967,-0.17288494785566727,CLOSE_SHORT mr=0.60 ret=0.48
short,24331,358.33,OPEN_SHORT mr=0.55 ret=0.55,24424,361.52,-797.341182843491,-0.8902408394496716,CLOSE_SHORT mr=0.56 ret=0.01
long,24467,362.07,OPEN_LONG mr=0.54 ret=0.02,25011,361.75,-78.45317780131882,-0.08838069986466533,CLOSE_LONG mr=1.00 ret=0.12
long,25044,361.34,OPEN_LONG mr=0.60 ret=0.22,25052,361.66,78.5421959086525,0.08855925167433852,CLOSE_LONG mr=0.66 ret=0.23
short,25056,361.85,OPEN_SHORT mr=0.56 ret=0.19,25092,361.425,104.25908087981225,0.11745198286582739,CLOSE_SHORT mr=0.57 ret=0.33
long,25449,363.26,OPEN_LONG mr=0.74 ret=0.30,25538,363.98,176.14821429816948,0.19820514232231343,CLOSE_LONG mr=0.79 ret=-0.11
long,25753,360.6,OPEN_LONG mr=0.65 ret=0.18,25778,361.34,182.7381679060345,0.20521353300054848,CLOSE_LONG mr=0.68 ret=-0.14
long,25811,359.13,OPEN_LONG mr=0.77 ret=0.27,26063,354.91,-1048.5142866835376,-1.1750619552808033,CLOSE_LONG mr=0.78 ret=-0.34
short,26074,355.75,OPEN_SHORT mr=0.90 ret=0.73,26252,359.82,-1008.857061432529,-1.1440618411805965,CLOSE_SHORT mr=0.70 ret=0.33
short,26306,359.75,OPEN_SHORT mr=0.71 ret=-0.40,26424,360.1018,-85.2467699279805,-0.09779013203614487,CLOSE_SHORT mr=0.54 ret=0.07
short,26431,360.35,OPEN_SHORT mr=0.62 ret=-0.02,26465,361.53,-285.1776432706247,-0.32745941445816035,CLOSE_SHORT mr=0.59 ret=1.95
long,26473,361.42,OPEN_LONG mr=0.77 ret=0.28,26599,363.08,398.68457154788484,0.45929943002600127,CLOSE_LONG mr=0.93 ret=0.02
long,26967,367.79,OPEN_LONG mr=0.53 ret=0.13,27174,362.0218,-1367.6156489926216,-1.5683406291633843,CLOSE_LONG mr=0.60 ret=0.10
long,27192,363.46,OPEN_LONG mr=0.55 ret=0.39,27511,367.3,906.8450293986389,1.0565124085181377,CLOSE_LONG mr=0.80 ret=-0.20
short,27512,367.14,OPEN_SHORT mr=0.83 ret=-0.18,27537,366.83,73.24074801053212,0.08443645475839998,CLOSE_SHORT mr=0.71 ret=0.64
long,27665,362.86,OPEN_LONG mr=0.81 ret=0.35,27757,364.75,452.1807157361909,0.5208620404563802,CLOSE_LONG mr=0.57 ret=0.11
long,27802,364.95,OPEN_LONG mr=0.58 ret=0.47,29864,367.71,659.9655216069659,0.7562679819153273,CLOSE_LONG mr=0.61 ret=0.09
short,29865,367.77,OPEN_SHORT mr=0.78 ret=0.31,29888,367.22,131.49341238453053,0.14954999048316456,CLOSE_SHORT mr=0.51 ret=-0.04
long,29891,366.95,OPEN_LONG mr=0.59 ret=-0.16,29916,366.97,4.799430554034188,0.005450333832958769,CLOSE_LONG mr=0.59 ret=0.13
short,29917,367.01,OPEN_SHORT mr=0.65 ret=0.15,30064,365.93,259.14100335726107,0.29426991090160115,CLOSE_SHORT mr=0.80 ret=-0.04
long,30268,359.53,OPEN_LONG mr=0.73 ret=-0.06,30502,367.17,1876.8286454047047,2.1249965232386847,CLOSE_LONG mr=0.80 ret=-0.05
long,30958,374.35,OPEN_LONG mr=0.51 ret=0.29,31387,373.73,-149.38682816868823,-0.16562040870842648,CLOSE_LONG mr=0.76 ret=-0.01
long,31451,376.04,OPEN_LONG mr=0.91 ret=0.19,31465,376.37,79.02390259696404,0.08775662163599057,CLOSE_LONG mr=0.75 ret=-0.08
long,31844,379.6389,OPEN_LONG mr=0.65 ret=0.32,32916,381.23,377.73419520906464,0.4191087899580431,CLOSE_LONG mr=0.81 ret=0.18
short,33040,380.92,OPEN_SHORT mr=0.56 ret=-0.18,33232,378.27,629.6337418962357,0.6956841331513269,CLOSE_SHORT mr=0.85 ret=0.10
long,33372,376.65,OPEN_LONG mr=0.82 ret=0.06,33620,375.68,-234.7040127316577,-0.257533519182256,CLOSE_LONG mr=0.73 ret=0.29
short,33846,375.79,OPEN_SHORT mr=0.79 ret=-0.03,34001,376.73,-227.37854875858466,-0.25013970568668265,CLOSE_SHORT mr=0.57 ret=-0.32
long,34014,374.64,OPEN_LONG mr=0.62 ret=-0.40,34863,373.025,-390.8746755423781,-0.43108050395046354,CLOSE_LONG mr=0.79 ret=-0.04
short,34869,373.12,OPEN_SHORT mr=0.81 ret=-0.08,34931,370.879,542.245896234439,0.6006110634648301,CLOSE_SHORT mr=0.68 ret=-0.01
long,35010,372.015,OPEN_LONG mr=0.70 ret=-0.14,36175,353.13,-4610.628203845394,-5.0764082093463845,CLOSE_LONG mr=0.72 ret=-0.11
short,36627,363.51,OPEN_SHORT mr=0.76 ret=-0.29,36678,364.94,-339.15435858632554,-0.393386701878912,CLOSE_SHORT mr=0.78 ret=0.06
short,36684,365.39,OPEN_SHORT mr=0.79 ret=-0.10,37386,358.54,1609.9033939116925,1.8747092148115607,CLOSE_SHORT mr=0.81 ret=0.19
long,37387,358.26,OPEN_LONG mr=0.75 ret=-0.00,37415,359.49,300.35791010978573,0.34332607603417087,CLOSE_LONG mr=0.78 ret=0.02
short,37416,359.59,OPEN_SHORT mr=0.79 ret=-0.05,37767,367.7,-1979.8579185927229,-2.2553463666954046,CLOSE_SHORT mr=0.86 ret=0.01
short,38004,370.055,OPEN_SHORT mr=0.83 ret=0.03,38361,375.68,-1304.2776090159605,-1.5200443177365484,CLOSE_SHORT mr=0.72 ret=0.24
long,38365,375.73,OPEN_LONG mr=0.84 ret=0.12,38626,376.97,278.8736273040413,0.3300242195193393,CLOSE_LONG mr=0.84 ret=-0.02
short,38992,378.45,OPEN_SHORT mr=0.75 ret=0.00,39574,383.64,-1162.6564313011186,-1.371383273880294,CLOSE_SHORT mr=0.76 ret=-0.20
long,39932,386.031,OPEN_LONG mr=1.00 ret=0.24,40116,388.91,623.6127345853747,0.7457950268242712,CLOSE_LONG mr=0.80 ret=-0.13
long,41084,395.14,OPEN_LONG mr=0.64 ret=0.03,43554,400.18,1074.4889695861493,1.2754972920990082,CLOSE_LONG mr=0.63 ret=-0.09
long,43633,397.44,OPEN_LONG mr=0.63 ret=-0.14,44637,397.93,105.18439439295616,0.12328904991947419,CLOSE_LONG mr=0.89 ret=-0.07
long,44849,398.17,OPEN_LONG mr=0.83 ret=-0.04,45129,395.15,-647.88857340494,-0.7584700002511631,CLOSE_LONG mr=0.77 ret=-0.10
short,45132,395.35,OPEN_SHORT mr=0.79 ret=0.02,45484,392.29,656.1377834626619,0.7739977235361075,CLOSE_SHORT mr=0.67 ret=0.17
long,45485,392.25,OPEN_LONG mr=0.66 ret=0.03,45605,386.41,-1271.9022808471782,-1.4888463989802405,CLOSE_LONG mr=0.54 ret=-0.46
short,45612,387.95,OPEN_SHORT mr=0.65 ret=-0.38,46629,387.65,65.07808347295213,0.07732955277742501,CLOSE_SHORT mr=0.62 ret=-0.17
short,46649,388.82,OPEN_SHORT mr=0.83 ret=-0.32,47525,400.91,-2618.80203206469,-3.1094079522658395,CLOSE_SHORT mr=0.51 ret=-0.01
