day,date,train_start,train_end,threshold_date,buy_threshold,sell_threshold,strategy_return,buy_hold_return,buy_hold_start_price,buy_hold_end_price,vs_buy_hold,signals,trades,win_rate,final_value,buy_signals,sell_signals,cumulative_strategy,cumulative_buy_hold
15,2022-03-10,2022-01-25,2022-03-08,2022-03-09,1.8000000000000003,-0.5,0.20181359155277967,0.5282395943874585,424.05,426.29,-0.3264260028346788,40,2,100.0,10020.181359155278,12,28,11.425359452609314,-4.016841915655323
16,2022-03-11,2022-01-26,2022-03-09,2022-03-10,-0.5,2.0,-1.0950180518826125,-1.5052754982415095,426.5,420.08,0.41025744635889705,24,2,0.0,9890.498194811738,12,12,10.20523165222815,-5.415081169927727
17,2022-03-14,2022-01-27,2022-03-10,2022-03-11,1.9000000000000004,-0.5,0.6526225311511702,-1.3384953140860745,423.61,417.94,1.9911178452372447,62,6,50.0,10065.262253115117,36,26,10.924455824497926,-5.896922072366195
18,2022-03-15,2022-01-28,2022-03-11,2022-03-14,2.0,1.9000000000000004,2.5504066214330434,2.5504066214330434,415.62,426.22,0.0,33,1,100.0,10255.040662143305,10,23,13.753480490634502,-4.03260306666966
19,2022-03-16,2022-01-31,2022-03-14,2022-03-15,-0.5,1.7000000000000002,1.0405003829689452,1.5503154170255495,429.59,436.25,-0.5098150340566043,41,3,33.33333333333333,10104.050038296895,9,32,14.93708589078004,-1.7742552856145677
20,2022-03-17,2022-02-01,2022-03-15,2022-03-16,-0.5,1.3,0.571585958962384,0.741982909124328,435.32,438.55,-0.170396950161944,50,4,75.0,10057.158595896239,20,30,15.594050135372271,-1.2563888951433122
21,2022-03-18,2022-02-02,2022-03-16,2022-03-17,-0.5,1.9000000000000004,1.7960377487832302,1.7960377487832302,437.63,445.49,0.0,41,1,100.0,10179.603774878322,13,28,17.67016291115098,0.3062166482786566
22,2022-03-21,2022-02-03,2022-03-17,2022-03-18,1.2000000000000002,1.5,-0.3178180998534841,0.01127014538486737,443.65,443.7,-0.32908824523835145,40,1,0.0,9968.218190014652,29,11,17.296185835292263,-0.0968184990881027
23,2022-03-22,2022-02-04,2022-03-18,2022-03-21,1.7000000000000002,1.8000000000000003,0.26931572254078606,0.8418642241379226,445.44,449.19,-0.5725485015971365,38,1,100.0,10026.931572254078,6,32,17.61208290568736,1.1393060590367599
24,2022-03-23,2022-02-07,2022-03-21,2022-03-22,2.0,1.8000000000000003,0.0,-0.8169642857142945,448.0,444.34,0.8169642857142945,38,0,0.0,10000.0,32,6,17.61208290568736,0.047283453043034385
25,2022-03-24,2022-02-08,2022-03-22,2022-03-23,-0.5,1.3,0.5399778115510845,0.815412186379949,446.4,450.04,-0.27543437482886457,43,3,66.66666666666666,10053.997781155109,21,22,18.24716205708114,1.3306914642109424
26,2022-03-25,2022-02-09,2022-03-23,2022-03-24,-0.5,1.9000000000000004,0.6759654093200007,0.4747010935870932,450.81,452.95,0.20126431573290748,28,2,100.0,10067.596540932,2,26,19.04647197008957,1.9859050278071777
27,2022-03-28,2022-02-10,2022-03-24,2022-03-25,-0.5,1.6,0.05078430481066931,0.4120240125822461,451.43,453.29,-0.36123970777157677,44,3,66.66666666666666,10005.078430481068,13,31,19.106928893281207,2.062459189876842
28,2022-03-29,2022-02-11,2022-03-25,2022-03-28,-0.5,2.0,0.9432459704718399,0.8552243049935626,457.19,461.1,0.08802166547827728,45,2,100.0,10094.324597047183,10,35,20.23040020061984,3.820953324477072
29,2022-03-30,2022-02-14,2022-03-28,2022-03-29,1.6,0.9000000000000001,-0.6679140196675704,-0.6679140196675593,459.64,456.57,-1.1102230246251565e-14,41,1,0.0,9933.208598033243,29,12,19.42736450177746,2.8009816945488986
30,2022-03-31,2022-02-15,2022-03-29,2022-03-30,1.9000000000000004,-0.5,0.0,-1.7062395264314856,459.49,451.65,1.7062395264314856,42,0,0.0,10000.0,39,3,19.42736450177746,1.6931979375408135
31,2022-04-01,2022-02-16,2022-03-30,2022-03-31,2.0,0.8,0.0,-0.22451629944311158,454.31,453.29,0.22451629944311158,39,0,0.0,10000.0,32,7,19.42736450177746,2.062459189876842
32,2022-04-04,2022-02-17,2022-03-31,2022-04-01,1.9000000000000004,1.1,0.7086497703991501,0.9619637328615704,452.2,456.55,-0.25331396246242033,36,1,100.0,10070.864977039915,6,30,20.273686246113073,2.7964785085448085
33,2022-04-05,2022-02-18,2022-04-01,2022-04-04,1.4000000000000001,1.4000000000000001,-0.3888213851761746,-1.3607228019513973,457.11,450.89,0.9719014167752227,45,1,0.0,9961.117861482382,35,10,19.806036433248494,1.5220768693850806
34,2022-04-06,2022-02-22,2022-04-04,2022-04-05,1.7000000000000002,-0.5,0.3035013753762472,-0.9544150036708277,449.49,445.2,1.2579163790470749,44,3,66.66666666666666,10030.350137537625,36,8,20.169649401607174,0.24092045121923977
35,2022-04-07,2022-02-23,2022-04-05,2022-04-06,2.0,0.5,0.0,0.3536891117478458,446.72,448.3,-0.3536891117478458,47,0,0.0,10000.0,23,24,20.169649401607174,0.9389142818544194
36,2022-04-08,2022-02-24,2022-04-06,2022-04-07,1.4000000000000001,0.9000000000000001,0.4661848679514691,-0.6855849659426205,450.71,447.62,1.1517698338940896,63,1,100.0,10046.618486795147,45,18,20.729862122987797,0.7858059577150911
37,2022-04-11,2022-02-25,2022-04-07,2022-04-08,1.1,0.8,-1.0904250226784984,-1.3564414151831627,446.02,439.97,0.26601639250466436,45,2,0.0,9890.95749773215,35,10,19.413393496553482,-0.9366626888523522
38,2022-04-12,2022-02-28,2022-04-08,2022-04-11,1.9000000000000004,1.0,0.25949194209233806,-0.2601551802829727,438.2,437.06,0.5196471223753107,48,1,100.0,10025.949194209234,28,20,19.72326163045605,-1.5918762524486096
39,2022-04-13,2022-03-01,2022-04-11,2022-04-12,1.9000000000000004,1.6,0.0,0.5464235496893011,440.94,443.3494,-0.5464235496893011,51,0,0.0,10000.0,29,22,19.72326163045605,-0.17575934973993457
40,2022-04-14,2022-03-02,2022-04-12,2022-04-13,1.8000000000000003,1.2000000000000002,0.0,-1.2788704438830734,443.36,437.69,1.2788704438830734,30,0,0.0,10000.0,15,15,19.72326163045605,-1.4500258933195176
41,2022-04-18,2022-03-03,2022-04-13,2022-04-14,1.6,-0.5,0.709757442116854,0.8339442815249232,436.48,440.12,-0.12418683940806918,49,1,100.0,10070.975744211686,32,17,20.57300638982325,-0.9028887938216212
42,2022-04-19,2022-03-04,2022-04-14,2022-04-18,1.5,0.9000000000000001,0.7820718042533814,1.6088882798940496,437.88,444.925,-0.8268164756406682,53,1,100.0,10078.207180425337,18,35,21.515973876338677,0.1790016436628905
43,2022-04-20,2022-03-07,2022-04-18,2022-04-19,1.6,1.9000000000000004,0.0,0.7336839966589181,442.97,446.22,-0.7336839966589181,29,0,0.0,10000.0,8,21,21.515973876338677,0.4705829374282322
44,2022-04-21,2022-03-08,2022-04-19,2022-04-20,1.4000000000000001,0.7000000000000002,-0.7044654016589047,-2.473048679775902,448.03,436.95,1.7685832781169974,53,1,0.0,9929.55345983411,43,10,20.65993588289099,-1.6166437754711493
45,2022-04-22,2022-03-09,2022-04-20,2022-04-21,1.9000000000000004,-0.5,-0.44938312490899746,-2.8253503068046415,436.76,424.42,2.375967181895644,51,3,33.33333333333333,9955.0616875091,47,4,20.117710492507257,-4.437889807038475
46,2022-04-25,2022-03-10,2022-04-21,2022-04-22,2.0,-0.5,0.47140902862694567,1.3189618493830713,423.06,428.64,-0.8475528207561256,45,2,100.0,10047.140902862695,16,29,20.683956224748925,-3.4877175601738197
47,2022-04-26,2022-03-11,2022-04-22,2022-04-25,2.0,-0.5,-0.580138876470393,-2.3280894661571128,426.53,416.6,1.7479505896867198,44,2,50.0,9941.98611235296,27,17,19.98382167702664,-6.198635534640751
48,2022-04-27,2022-03-14,2022-04-25,2022-04-26,1.8000000000000003,1.4000000000000001,1.6963443999816752,0.09290802105916818,419.77,420.16,1.603436378922507,66,5,80.0,10169.634439998168,31,35,22.019160516928878,-5.397068425911322
49,2022-04-28,2022-03-15,2022-04-26,2022-04-27,1.8000000000000003,2.0,1.0457111550463472,0.19367943691246392,423.38,424.2,0.8520317181338832,62,1,100.0,10104.571115504634,20,42,23.295128489748308,-4.487424853083555
50,2022-04-29,2022-03-16,2022-04-27,2022-04-28,2.0,-0.5,-1.3248144939163486,-3.3245741635774984,426.22,412.05,1.9997596696611497,47,2,50.0,9867.518550608365,38,9,21.66169675722334,-7.223110350573025
51,2022-05-02,2022-03-17,2022-04-28,2022-04-29,2.0,-0.5,1.6909609667970393,-0.019322271332988805,414.03,413.95,1.7102832381300281,48,5,80.0,10169.096096679705,40,8,23.718948560930954,-6.795307680183726
52,2022-05-03,2022-03-18,2022-04-29,2022-05-02,-0.5,0.7000000000000002,1.1589659091545634,0.8416368385411488,413.48,416.96,0.31732907061341464,25,2,100.0,10115.896590915456,13,12,25.15280899791661,-6.1175781865669965
53,2022-05-04,2022-03-21,2022-05-02,2022-05-03,-0.5,2.0,3.934030983360026,2.7208277447786866,417.52,428.88,1.2132032385813396,27,2,100.0,10393.403098336003,8,19,30.076359280440045,-3.4336793281246503
54,2022-05-05,2022-03-22,2022-05-03,2022-05-04,-0.5,1.7000000000000002,-2.909885154653713,-3.139643861293351,426.8,413.4,0.22975870663963782,56,2,0.0,9709.011484534629,55,1,26.291286612024493,-6.919145295296425
55,2022-05-06,2022-03-23,2022-05-04,2022-05-05,2.0,-0.5,0.9841696070023609,-0.36661163445663725,411.88,410.37,1.3507812414589981,38,4,50.0,10098.416960700237,24,14,27.53420707115228,-7.601377974917256
56,2022-05-09,2022-03-24,2022-05-05,2022-05-06,1.9000000000000004,-0.5,0.42373820077339364,-1.7875169272436264,406.15,398.89,2.21125512801702,50,4,75.0,10042.373820077339,43,7,28.074618225566212,-10.186206741269455
57,2022-05-10,2022-03-25,2022-05-06,2022-05-09,1.6,-0.5,-0.854510281468357,-0.48871711756639513,401.05,399.09,-0.3657931639019618,51,4,50.0,9914.548971853164,17,34,26.980207444877394,-10.141174881228476
58,2022-05-11,2022-03-28,2022-05-09,2022-05-10,2.0,2.0,0.0,-1.8093336660843562,400.7,393.45,1.8093336660843562,75,0,0.0,10000.0,34,41,26.980207444877394,-11.411073334384081
59,2022-05-12,2022-03-29,2022-05-10,2022-05-11,1.7000000000000002,1.2000000000000002,1.505470912336082,0.8035622888729721,390.76,393.9,0.70190862346311,49,1,100.0,10150.547091233608,37,12,28.891857532384023,-11.309751649291877
60,2022-05-13,2022-03-30,2022-05-11,2022-05-12,0.9000000000000001,2.0,0.9803921568627416,1.2527411589746018,396.73,401.7,-0.2723490021118602,22,1,100.0,10098.039215686274,9,13,30.155503194466235,-9.553509107693692
61,2022-05-16,2022-03-31,2022-05-12,2022-05-13,-0.5,2.0,0.3916305017506616,0.18268268268266663,399.6,400.33,0.20894781906799498,34,2,50.0,10039.163050175066,29,5,30.665231844682808,-9.861977348974404
62,2022-05-17,2022-04-01,2022-05-13,2022-05-16,-0.5,1.8000000000000003,0.7837460129955343,1.2627825785525015,403.87,408.97,-0.4790365655569673,38,3,100.0,10078.374601299553,13,25,31.689315389636874,-7.916600995204104
63,2022-05-18,2022-04-04,2022-05-16,2022-05-17,1.2000000000000002,1.7000000000000002,-3.708190155991198,-4.214926841263988,406.65,389.51,0.5067366852727906,55,1,0.0,9629.18098440088,45,10,26.806025159866167,-12.298200977191364
64,2022-05-19,2022-04-05,2022-05-17,2022-05-18,2.0,-0.5,-0.08244023083265883,0.6363355317394737,388.16,390.63,-0.7187757625721325,33,1,0.0,9991.755976916735,15,18,26.701485980014652,-12.046022560961877
65,2022-05-20,2022-04-06,2022-05-18,2022-05-19,2.0,0.20000000000000007,-1.1196911196911241,-0.6688537931385241,393.21,390.58,-0.4508373265526,63,1,0.0,9888.030888030888,33,30,25.28282069297974,-12.057280525972125
66,2022-05-23,2022-04-07,2022-05-19,2022-05-20,1.8000000000000003,-0.5,1.3105989116069416,-0.07879820035078255,393.41,393.1,1.3893971119577242,35,2,100.0,10131.059891160694,17,18,26.92477597741241,-11.48987908945578
67,2022-05-24,2022-04-08,2022-05-20,2022-05-23,2.0,-0.5,0.7726261535607071,1.000893655049162,391.65,395.57,-0.22826750148845498,51,3,66.66666666666666,10077.26261535607,20,31,27.905429991962237,-10.933735617949703
68,2022-05-25,2022-04-11,2022-05-23,2022-05-24,-0.5,1.9000000000000004,0.7983328333511786,0.6393505010782841,394.15,396.67,0.1589823322728945,45,5,60.0,10079.833283335118,31,14,28.926541035227075,-10.686060387724305
69,2022-05-26,2022-04-12,2022-05-24,2022-05-25,-0.5,1.4000000000000001,1.2948515875609523,1.6596470116325701,398.88,405.5,-0.3647954240716178,46,4,100.0,10129.485158756095,7,39,30.595948398609124,-8.697903766915093
70,2022-05-27,2022-04-13,2022-05-25,2022-05-26,-0.5,2.0,0.9884383573308231,2.779764694275211,405.43,416.7,-1.7913263369443877,58,4,100.0,10098.843835733083,7,51,31.886808845700955,-6.176119604620267
71,2022-05-31,2022-04-14,2022-05-26,2022-05-27,-0.5,1.4000000000000001,1.06833736169476,0.01930082752297224,414.49,414.57,1.0490365341717878,44,2,100.0,10106.833736169476,6,38,33.295804899746514,-6.6557089140566905
72,2022-06-01,2022-04-18,2022-05-27,2022-05-31,1.0,1.9000000000000004,-1.1662283507291038,-1.1976192780412287,413.32,408.37,0.031390927312124894,68,3,0.0,9883.37716492709,31,37,31.741271432673102,-8.051696575327039
73,2022-06-02,2022-04-19,2022-05-31,2022-06-01,0.9000000000000001,2.0,0.5072785307946859,1.7080933984498392,411.57,418.6,-1.2008148676551533,47,2,100.0,10050.727853079468,5,42,32.40956661884701,-5.748316934230957
74,2022-06-03,2022-04-20,2022-06-01,2022-06-02,-0.5,2.0,0.6041321647708875,-1.3771059145857745,416.09,410.36,1.981238079356662,17,2,50.0,10060.413216477089,7,10,33.20949540002519,-7.603629567919301
75,2022-06-06,2022-04-21,2022-06-02,2022-06-03,1.5,2.0,-0.6610373944511361,-0.7376693505616871,414.82,411.76,0.07663195611055107,24,1,0.0,9933.896260554886,17,7,32.328930822471364,-7.288406547632453
76,2022-06-07,2022-04-22,2022-06-03,2022-06-06,1.5,-0.5,0.4465271285956751,1.253053248656566,409.4,414.53,-0.8065261200608909,47,2,100.0,10044.652712859568,16,31,32.919815397574325,-6.664715286064893
77,2022-06-08,2022-04-25,2022-06-06,2022-06-07,1.6,1.6,0.0028758339600365446,-0.5797101449275255,414.0,411.6,0.582585978887562,24,2,50.0,10000.287583396004,20,4,32.92363795076514,-7.324432035665229
78,2022-06-09,2022-04-26,2022-06-07,2022-06-08,2.0,1.1,-0.5661450221266184,-2.2053638728815605,411.27,402.2,1.6392188507549421,41,1,0.0,9943.385497787338,28,13,32.17109739127727,-9.440929457591253
79,2022-06-10,2022-04-27,2022-06-08,2022-06-09,1.7000000000000002,1.7000000000000002,-1.0754588371916896,-2.64245351123944,401.71,391.095,1.5669946740477503,35,2,0.0,9892.454116280831,26,9,30.749651644169575,-11.941323486366596
80,2022-06-13,2022-04-28,2022-06-09,2022-06-10,2.0,-0.5,-1.3272672706453936,-1.6118886617392802,381.54,375.39,0.2846213910938866,58,3,0.0,9867.273272935461,38,20,29.014254311413623,-15.477450296084482
81,2022-06-14,2022-04-29,2022-06-10,2022-06-13,-0.5,-0.5,0.9096738813414662,-0.8812664907651646,379.0,375.66,1.7909403721066308,43,5,80.0,10090.967388134146,26,17,30.18786328609201,-15.416657285029157
82,2022-06-15,2022-05-02,2022-06-13,2022-06-14,1.2000000000000002,1.8000000000000003,2.2020790319497774,1.6132037801144694,375.65,381.71,0.588875251835308,39,2,100.0,10220.207903194978,19,20,33.05470292565849,-14.054443518789551
83,2022-06-16,2022-05-03,2022-06-14,2022-06-15,2.0,1.9000000000000004,0.0802342058427552,-1.5825755746895154,372.81,366.91,1.6628097805322706,40,3,66.66666666666666,10008.023420584275,23,17,33.16145830988734,-17.386801161821985
84,2022-06-17,2022-05-04,2022-06-15,2022-06-16,-0.5,-0.5,1.8231756004293942,-0.672761305373959,368.63,366.15,2.495936905803353,47,6,83.33333333333334,10182.31756004294,26,21,35.58922552696916,-17.55792222997772
85,2022-06-21,2022-05-05,2022-06-16,2022-06-17,1.7000000000000002,2.0,-0.23430131007007304,0.5472983849331925,372.74,374.78,-0.7815996950032655,40,2,0.0,9976.569868992992,30,10,35.2715381952456,-15.614797469209474
86,2022-06-22,2022-05-06,2022-06-17,2022-06-21,2.0,1.8000000000000003,2.8677050205224486,1.1742640463181964,367.89,372.21,1.6934409742042522,38,1,100.0,10286.770502052244,35,3,39.15072688740858,-16.193456870736046
87,2022-06-23,2022-05-09,2022-06-21,2022-06-22,1.9000000000000004,2.0,0.862692565304779,1.0645696249933057,373.86,377.84,-0.20187705968852665,40,1,100.0,10086.269256530477,9,31,40.351169862833814,-14.925810010582497
88,2022-06-24,2022-05-10,2022-06-22,2022-06-23,-0.5,2.0,0.0655909746818617,2.404893801359975,380.89,390.05,-2.3393028266781135,39,1,100.0,10006.559097468187,4,35,40.44322756312425,-12.176614955080712
89,2022-06-27,2022-05-11,2022-06-23,2022-06-24,-0.5,1.9000000000000004,-0.14637904468413065,-0.9426031131378521,392.53,388.83,0.7962240684537214,29,1,0.0,9985.362095531587,14,15,40.2376481082938,-12.451309301330692
90,2022-06-28,2022-05-12,2022-06-24,2022-06-27,2.0,-0.5,-1.473767055090247,-2.4676489429852677,390.25,380.62,0.9938818878950206,48,2,0.0,9852.623294490975,30,18,38.17087185164036,-14.29986715601288
91,2022-06-29,2022-05-13,2022-06-27,2022-06-28,2.0,-0.5,0.24152052924497625,0.24415216192799072,380.91,381.84,-0.002631632683014473,12,1,100.0,10024.152052924497,11,1,38.50458287259883,-14.025172809762909
92,2022-06-30,2022-05-16,2022-06-28,2022-06-29,2.0,-0.5,0.04779404489996253,0.24745888989410325,375.82,376.75,-0.19966484499414072,37,2,50.0,10004.779404489997,19,18,38.57077981512546,-15.171233647805826
93,2022-07-01,2022-05-17,2022-06-29,2022-06-30,1.5,1.8000000000000003,0.9035258894918519,1.7936860113876518,374.09,380.8,-0.8901601218958,74,1,100.0,10090.352588949185,23,51,39.82280268602588,-14.259338481975991
94,2022-07-05,2022-05-18,2022-06-30,2022-07-01,2.0,1.9000000000000004,1.915514058696055,-0.20956123117223946,381.75,380.95,2.1250752898682945,69,1,100.0,10191.551405869604,37,32,42.50112812873954,-14.22556458694526
95,2022-07-06,2022-05-19,2022-07-01,2022-07-05,2.0,2.0,0.0,-0.08932324506094602,380.64,380.3,0.08932324506094602,24,0,0.0,10000.0,14,10,42.50112812873954,-14.371918132078443
96,2022-07-07,2022-05-20,2022-07-05,2022-07-06,-0.5,-0.5,0.3175805923606001,0.2168581386343016,387.35,388.19,0.10072245372629851,22,3,66.66666666666666,10031.75805923606,9,13,42.95368405557133,-12.595411253461819
97,2022-07-08,2022-05-23,2022-07-06,2022-07-07,1.4000000000000001,0.7000000000000002,0.02632589873137192,0.6244874803372991,387.79,390.2117,-0.5981615816059271,54,2,50.0,10002.632589873137,21,33,42.99131789766858,-12.140206696237588
98,2022-07-11,2022-05-24,2022-07-07,2022-07-08,1.4000000000000001,0.30000000000000004,-0.07776654483241385,-0.26444052680701935,385.72,384.7,0.1866739819746055,31,1,0.0,9992.223345516759,22,9,42.88011849032921,-13.38121721117691
99,2022-07-12,2022-05-25,2022-07-08,2022-07-11,1.7000000000000002,-0.5,0.0,-0.19402202412164282,381.4,380.66,0.19402202412164282,40,0,0.0,10000.0,26,14,42.88011849032921,-14.290860784004678
100,2022-07-13,2022-05-26,2022-07-11,2022-07-12,1.0,-0.5,-0.4813286787263338,-1.2828248380072904,381.19,376.3,0.8014961592809566,49,1,0.0,9951.867132127367,19,30,42.192395503837105,-15.272555332898019
101,2022-07-14,2022-05-27,2022-07-12,2022-07-13,2.0,-0.5,0.11668841370864325,0.9392794422862005,375.82,379.35,-0.8225910285775573,36,1,100.0,10011.668841370863,20,16,42.35831755456485,-14.585819467273087
102,2022-07-15,2022-05-31,2022-07-13,2022-07-14,-0.5,1.6,1.7796400221776532,1.7107104200216439,378.79,385.27,0.0689296021560093,43,3,100.0,10177.964002217766,11,32,44.89178314866464,-13.252876410060122
103,2022-07-18,2022-06-01,2022-07-14,2022-07-15,-0.5,2.0,-1.460763728823622,-1.3623486994591816,388.3,383.01,-0.09841502936444035,43,2,50.0,9853.923627117638,27,16,42.775256534383175,-13.761736428523186
104,2022-07-19,2022-06-02,2022-07-15,2022-07-18,0.20000000000000007,1.9000000000000004,0.0,2.681112126354268,383.05,393.32,-2.681112126354268,55,0,0.0,10000.0,0,55,42.775256534383175,-11.440344043410711
105,2022-07-20,2022-06-03,2022-07-18,2022-07-19,-0.5,1.8000000000000003,0.39798964206441134,0.043217408989204564,393.36,393.53,0.3547722330752068,25,1,100.0,10039.798964206442,19,6,43.343487266820915,-11.393060590367687
106,2022-07-21,2022-06-06,2022-07-19,2022-07-20,-0.5,1.6,0.9508406712849249,0.997998936143274,394.79,398.73,-0.047158264858349064,37,3,66.66666666666666,10095.084067128493,19,18,44.706455443391974,-10.22223222930223
107,2022-07-22,2022-06-07,2022-07-20,2022-07-21,1.0,1.5,0.0,-0.9753024193548399,396.8,392.93,0.9753024193548399,34,0,0.0,10000.0,15,19,44.706455443391974,-11.528156170490622
108,2022-07-25,2022-06-08,2022-07-21,2022-07-22,0.9000000000000001,-0.5,-0.09875553965135175,-0.196528005240737,396.89,396.11,0.09777246558938524,36,2,50.0,9990.124446034864,21,15,44.56354980240852,-10.812149595839049
109,2022-07-26,2022-06-09,2022-07-22,2022-07-25,1.7000000000000002,1.8000000000000003,-0.2475103875965945,-0.422998986828782,394.8,393.13,0.17548859923218751,29,1,0.0,9975.24896124034,26,3,44.20573999996918,-11.483124310449643
110,2022-07-27,2022-06-10,2022-07-25,2022-07-26,-0.5,1.2000000000000002,0.7258479071380552,2.1746301606232254,394.09,402.66,-1.4487822534851702,24,2,100.0,10072.584790713805,2,22,45.25245434573188,-9.337356179496991
111,2022-07-28,2022-06-13,2022-07-26,2022-07-27,-0.5,2.0,2.5351336456324036,2.5351336456324036,399.19,409.31,0.0,28,1,100.0,10253.51336456324,9,19,48.93479818695738,-7.84004683313444
112,2022-07-29,2022-06-14,2022-07-27,2022-07-28,-0.5,1.6,0.6008362659865263,1.092541046926554,407.765,412.22,-0.4917047809400277,39,1,100.0,10060.083626598653,9,30,49.82965246713846,-7.184833269538194
113,2022-08-01,2022-06-15,2022-07-28,2022-07-29,-0.5,2.0,0.08527226215129247,-0.014603514579181187,410.86,410.8,0.09987577673047365,44,1,100.0,10008.52722621513,21,23,49.957415601170624,-7.504559475829142
114,2022-08-02,2022-06-16,2022-07-29,2022-08-01,2.0,-0.5,0.8999417493261497,-0.13456974382812792,408.71,408.16,1.0345114931542776,52,3,33.33333333333333,10089.994174932615,37,15,51.30694499037608,-8.098980028370061
115,2022-08-03,2022-06-17,2022-08-01,2022-08-02,0.8,1.3,0.0,1.1912041679915886,408.83,413.7,-1.1912041679915886,30,1,0.0,10000.0,1,29,51.30694499037608,-6.8515975052349525
116,2022-08-04,2022-06-21,2022-08-02,2022-08-03,-0.5,1.3,0.05075302135604254,-0.06520479134466406,414.08,413.81,0.1159578127007066,38,3,33.33333333333333,10005.075302135605,18,20,51.38373783648021,-6.826829982212413
117,2022-08-05,2022-06-22,2022-08-03,2022-08-04,1.4000000000000001,1.6,0.44288703947048536,-0.4654078950541374,414.69,412.76,0.9082949345246227,41,1,100.0,10044.288703947048,30,11,52.05419679122397,-7.063247247427551
118,2022-08-08,2022-06-23,2022-08-04,2022-08-05,1.1,1.2000000000000002,0.0,-0.5342060302716667,415.57,413.35,0.5342060302716667,59,0,0.0,10000.0,25,34,52.05419679122397,-6.930403260306662
119,2022-08-09,2022-06-24,2022-08-05,2022-08-08,1.6,1.3,0.0,-0.40175222052809545,413.19,411.53,0.40175222052809545,42,0,0.0,10000.0,28,14,52.05419679122397,-7.340193186679578
120,2022-08-10,2022-06-27,2022-08-08,2022-08-09,1.5,1.4000000000000001,0.19416533178002737,2.040419743490074,411.68,420.08,-1.8462544117100466,47,1,100.0,10019.416533178002,12,35,52.34943332690909,-5.415081169927727
