side,seen_idx,exec_px,qty,fee,reason,signal_ts,signal_dir,bsp_type,pred_ret,ret_th,bucket_key,trend_bucket,state_bucket,dd60,ret10,vol20,dist60,pnl,entry_px,entry_idx
sell,12130,152.18,664.0339534025875,0.0,CLOSE_LONG pred_ret=4.49% [bear__downtrend],2019/01/04 09:25,sell,2,4.488789081573486,-0.5,bear__downtrend,bear,downtrend,-0.16595223515003066,-0.05428607499053151,0.023683799777346106,0.19897209985315722,6.640339534038708,152.17,12107.0
buy,12255,156.19,646.9856394699134,0.0,OPEN_LONG pred_ret=2.64% [bear__pullback],2019/01/07 04:20,buy,2,2.6357297897338867,-0.5,bear__pullback,bear,pullback,-0.13026777264376777,0.011001100110010986,0.024896148534191077,0.14977917173398203,,,
sell,12264,156.23,646.9856394699134,0.0,CLOSE_LONG pred_ret=4.17% [bear__pullback],2019/01/07 05:10,sell,2s,4.173098087310791,-0.5,bear__pullback,bear,pullback,-0.13026777264376777,0.011001100110010986,0.024896148534191077,0.14977917173398203,25.879425578791388,156.19,12255.0
buy,12269,156.17,647.2342092231835,0.0,OPEN_LONG pred_ret=2.81% [bear__pullback],2019/01/07 05:35,buy,2s,2.8149778842926025,-0.5,bear__pullback,bear,pullback,-0.13026777264376777,0.011001100110010986,0.024896148534191077,0.14977917173398203,,,
sell,12287,156.16,647.2342092231835,0.0,CLOSE_LONG pred_ret=4.19% [bear__pullback],2019/01/07 07:15,sell,2s,4.190666198730469,-0.5,bear__pullback,bear,pullback,-0.13026777264376777,0.011001100110010986,0.024896148534191077,0.14977917173398203,-6.472342092225948,156.17,12269.0
buy,12304,156.12,647.4000391512446,0.0,OPEN_LONG pred_ret=2.44% [bear__pullback],2019/01/07 08:40,buy,2,2.43947172164917,-0.5,bear__pullback,bear,pullback,-0.13026777264376777,0.011001100110010986,0.024896148534191077,0.14977917173398203,,,
sell,12326,157.4231,647.4000391512446,0.0,CLOSE_LONG pred_ret=4.39% [bear__pullback],2019/01/07 10:30,sell,1p,4.393608093261719,-0.5,bear__pullback,bear,pullback,-0.13026777264376777,0.011001100110010986,0.024896148534191077,0.14977917173398203,843.6269910179873,156.12,12304.0
buy,12477,159.03,640.8584613174263,0.0,OPEN_LONG pred_ret=1.55% [bear__recovery],2019/01/08 07:40,buy,3a,1.554469347000122,0.3,bear__recovery,bear,recovery,-0.10829714027863946,0.038085232122923474,0.025018917033262648,0.12144980707192099,,,
sell,12491,159.38,640.8584613174263,0.0,CLOSE_LONG pred_ret=3.12% [bear__recovery],2019/01/08 08:50,sell,2,3.1179420948028564,0.3,bear__recovery,bear,recovery,-0.10829714027863946,0.038085232122923474,0.025018917033262648,0.12144980707192099,224.30046146109555,159.03,12477.0
buy,12652,159.87,638.8942363468531,0.0,OPEN_LONG pred_ret=1.43% [bear__recovery],2019/01/09 06:30,buy,1p,1.432070255279541,0.3,bear__recovery,bear,recovery,-0.10023125951830325,0.08097851866910633,0.024060334062038193,0.11139669007021058,,,
sell,12657,160.04,638.8942363468531,0.0,CLOSE_LONG pred_ret=2.98% [bear__recovery],2019/01/09 06:55,sell,2s,2.982433795928955,0.3,bear__recovery,bear,recovery,-0.10023125951830325,0.08097851866910633,0.024060334062038193,0.11139669007021058,108.61202017895702,159.87,12652.0
buy,12682,160.08,638.7345926096349,0.0,OPEN_LONG pred_ret=1.27% [bear__recovery],2019/01/09 09:00,buy,2,1.272063970565796,0.3,bear__recovery,bear,recovery,-0.10023125951830325,0.08097851866910633,0.024060334062038193,0.11139669007021058,,,
sell,12821,159.6,638.7345926096349,0.0,CLOSE_LONG pred_ret=2.93% [side__recovery],2019/01/10 04:40,sell,3a,2.925555944442749,0.3,side__recovery,side,recovery,-0.09289864064527042,0.12069686411149827,0.024011118070440263,0.10241263524437261,-306.59260445263635,160.08,12682.0
buy,12836,159.5,639.1350531692648,0.0,OPEN_LONG pred_ret=1.67% [side__recovery],2019/01/10 05:55,buy,2,1.6669011116027832,0.3,side__recovery,side,recovery,-0.09289864064527042,0.12069686411149827,0.024011118070440263,0.10241263524437261,,,
sell,12861,159.8,639.1350531692648,0.0,CLOSE_LONG pred_ret=3.31% [side__recovery],2019/01/10 08:00,sell,1p,3.3147103786468506,0.3,side__recovery,side,recovery,-0.09289864064527042,0.12069686411149827,0.024011118070440263,0.10241263524437261,191.7405159507867,159.5,12836.0
buy,12871,159.6,639.9359742885246,0.0,OPEN_LONG pred_ret=1.37% [side__recovery],2019/01/10 08:50,buy,2s,1.3701460361480713,0.3,side__recovery,side,recovery,-0.09289864064527042,0.12069686411149827,0.024011118070440263,0.10241263524437261,,,
sell,12889,159.89,639.9359742885246,0.0,CLOSE_LONG pred_ret=3.35% [side__recovery],2019/01/10 10:20,sell,2,3.3498494625091553,0.3,side__recovery,side,recovery,-0.09289864064527042,0.12069686411149827,0.024011118070440263,0.10241263524437261,185.58143254366703,159.6,12871.0
buy,13016,160.71,636.6707916681736,0.0,OPEN_LONG pred_ret=1.56% [side__recovery],2019/01/11 05:35,buy,1p,1.5594664812088013,0.3,side__recovery,side,recovery,-0.09030402165942797,0.05785123966942152,0.024007636167320566,0.09926835317460303,,,
sell,13138,160.77,636.6707916681736,0.0,CLOSE_LONG pred_ret=3.66% [side__recovery],2019/01/11 15:55,sell,1p,3.6607401371002197,0.3,side__recovery,side,recovery,-0.09030402165942797,0.05785123966942152,0.024007636167320566,0.09926835317460303,38.20024750009186,160.71,13016.0
buy,13155,160.75,636.7500042083501,0.0,OPEN_LONG pred_ret=1.23% [side__recovery],2019/01/11 17:20,buy,2s,1.2302054166793823,0.3,side__recovery,side,recovery,-0.09030402165942797,0.05785123966942152,0.024007636167320566,0.09926835317460303,,,
sell,13206,158.97,636.7500042083501,0.0,CLOSE_LONG pred_ret=2.81% [side__recovery],2019/01/14 06:30,sell,2,2.8124613761901855,-0.5,side__recovery,side,recovery,-0.0936319025325737,0.04991832734400514,0.023916520356769534,0.10330449934656794,-1133.415007490864,160.75,13155.0
buy,13242,158.73,637.7127711774801,0.0,OPEN_LONG pred_ret=1.58% [side__recovery],2019/01/14 09:30,buy,1p,1.5763778686523438,1.3999999999999995,side__recovery,side,recovery,-0.0936319025325737,0.04991832734400514,0.023916520356769534,0.10330449934656794,,,
sell,13251,159.4399,637.7127711774801,0.0,CLOSE_LONG pred_ret=2.99% [side__recovery],2019/01/14 10:15,sell,2s,2.9923975467681885,-0.5,side__recovery,side,recovery,-0.0936319025325737,0.04991832734400514,0.023916520356769534,0.10330449934656794,452.7122962588961,158.73,13242.0
buy,13301,159.45,637.6723767027928,0.0,OPEN_LONG pred_ret=1.51% [side__recovery],2019/01/14 14:25,buy,2,1.5071513652801514,1.3999999999999995,side__recovery,side,recovery,-0.0936319025325737,0.04991832734400514,0.023916520356769534,0.10330449934656794,,,
sell,13305,159.63,637.6723767027928,0.0,CLOSE_LONG pred_ret=3.02% [side__recovery],2019/01/14 14:45,sell,2s,3.019057273864746,-0.5,side__recovery,side,recovery,-0.0936319025325737,0.04991832734400514,0.023916520356769534,0.10330449934656794,114.78102780650705,159.45,13301.0
buy,13317,159.37,638.7126905507109,0.0,OPEN_LONG pred_ret=1.66% [side__recovery],2019/01/14 15:45,buy,2s,1.657426357269287,1.3999999999999995,side__recovery,side,recovery,-0.0936319025325737,0.04991832734400514,0.023916520356769534,0.10330449934656794,,,
sell,13352,159.37,638.7126905507109,0.0,CLOSE_LONG pred_ret=3.05% [side__recovery],2019/01/14 19:00,sell,2s,3.049494981765747,-0.5,side__recovery,side,recovery,-0.0936319025325737,0.04991832734400514,0.023916520356769534,0.10330449934656794,0.0,159.37,13317.0
buy,13373,159.68,637.4727047411499,0.0,OPEN_LONG pred_ret=1.37% [bear__recovery],2019/01/15 04:50,buy,2s,1.3694597482681274,0.3,bear__recovery,bear,recovery,-0.101641378532348,0.04118454598940979,0.02397616645576415,0.11314120675582329,,,
sell,13382,159.92,637.4727047411499,0.0,CLOSE_LONG pred_ret=1.20% [bear__recovery],2019/01/15 05:50,sell,2,1.1988173723220825,0.3,bear__recovery,bear,recovery,-0.101641378532348,0.04118454598940979,0.02397616645576415,0.11314120675582329,152.99344913786365,159.68,13373.0
buy,13394,159.78,638.0312613731674,0.0,OPEN_LONG pred_ret=1.39% [bear__recovery],2019/01/15 06:50,buy,2s,1.385391116142273,0.3,bear__recovery,bear,recovery,-0.101641378532348,0.04118454598940979,0.02397616645576415,0.11314120675582329,,,
sell,13407,159.57,638.0312613731674,0.0,CLOSE_LONG pred_ret=1.10% [bear__recovery],2019/01/15 07:55,sell,2,1.0990560054779053,0.3,bear__recovery,bear,recovery,-0.101641378532348,0.04118454598940979,0.02397616645576415,0.11314120675582329,-133.98656488837022,159.78,13394.0
buy,13413,159.77,637.2325741836158,0.0,OPEN_LONG pred_ret=1.49% [bear__recovery],2019/01/15 08:25,buy,2s,1.487869143486023,0.3,bear__recovery,bear,recovery,-0.101641378532348,0.04118454598940979,0.02397616645576415,0.11314120675582329,,,
sell,13423,159.91,637.2325741836158,0.0,CLOSE_LONG pred_ret=1.10% [bear__recovery],2019/01/15 09:15,sell,2,1.1040489673614502,0.3,bear__recovery,bear,recovery,-0.101641378532348,0.04118454598940979,0.02397616645576415,0.11314120675582329,89.21256038569753,159.77,13413.0
buy,13467,162.26,628.0035802890546,0.0,OPEN_LONG pred_ret=0.99% [bear__recovery],2019/01/15 12:55,buy,3a,0.9904922246932983,0.3,bear__recovery,bear,recovery,-0.101641378532348,0.04118454598940979,0.02397616645576415,0.11314120675582329,,,
sell,13472,162.33,628.0035802890546,0.0,CLOSE_LONG pred_ret=1.31% [bear__recovery],2019/01/15 13:20,sell,2,1.3063404560089111,0.3,bear__recovery,bear,recovery,-0.101641378532348,0.04118454598940979,0.02397616645576415,0.11314120675582329,43.96025062024739,162.26,13467.0
buy,13484,161.99,629.3216938596348,0.0,OPEN_LONG pred_ret=1.22% [bear__recovery],2019/01/15 14:20,buy,1p,1.221016764640808,0.3,bear__recovery,bear,recovery,-0.101641378532348,0.04118454598940979,0.02397616645576415,0.11314120675582329,,,
sell,13493,162.2,629.3216938596348,0.0,CLOSE_LONG pred_ret=1.22% [bear__recovery],2019/01/15 15:05,sell,2s,1.2171649932861328,0.3,bear__recovery,bear,recovery,-0.101641378532348,0.04118454598940979,0.02397616645576415,0.11314120675582329,132.15755571051042,161.99,13484.0
buy,13542,162.19,629.3604953698302,0.0,OPEN_LONG pred_ret=0.95% [bear__recovery],2019/01/15 19:15,buy,2,0.9481528401374817,0.3,bear__recovery,bear,recovery,-0.101641378532348,0.04118454598940979,0.02397616645576415,0.11314120675582329,,,
sell,13590,162.61,629.3604953698302,0.0,CLOSE_LONG pred_ret=1.42% [side__pullback],2019/01/16 07:40,sell,1,1.4162156581878662,0.3,side__pullback,side,pullback,-0.07517940539924828,0.05263840269674569,0.02378453163498072,0.0812907993595271,264.3314080553387,162.19,13542.0
buy,13624,162.9,628.2400868759245,0.0,OPEN_LONG pred_ret=0.82% [side__pullback],2019/01/16 10:30,buy,3a,0.8216530084609985,0.3,side__pullback,side,pullback,-0.07517940539924828,0.05263840269674569,0.02378453163498072,0.0812907993595271,,,
sell,13637,163.02,628.2400868759245,0.0,CLOSE_LONG pred_ret=1.34% [side__pullback],2019/01/16 11:35,sell,2,1.3409544229507446,0.3,side__pullback,side,pullback,-0.07517940539924828,0.05263840269674569,0.02378453163498072,0.0812907993595271,75.38881042511379,162.9,13624.0
buy,13641,162.5201,630.1725076622104,0.0,OPEN_LONG pred_ret=1.25% [side__pullback],2019/01/16 11:55,buy,2s,1.2509517669677734,0.3,side__pullback,side,pullback,-0.07517940539924828,0.05263840269674569,0.02378453163498072,0.0812907993595271,,,
sell,13652,162.75,630.1725076622104,0.0,CLOSE_LONG pred_ret=1.35% [side__pullback],2019/01/16 12:50,sell,2s,1.3458976745605469,0.3,side__pullback,side,pullback,-0.07517940539924828,0.05263840269674569,0.02378453163498072,0.0812907993595271,144.87665951153363,162.5201,13641.0
buy,13662,162.558,630.916815056932,0.0,OPEN_LONG pred_ret=1.36% [side__pullback],2019/01/16 13:40,buy,2s,1.3600032329559326,0.3,side__pullback,side,pullback,-0.07517940539924828,0.05263840269674569,0.02378453163498072,0.0812907993595271,,,
sell,13669,162.85,630.916815056932,0.0,CLOSE_LONG pred_ret=1.36% [side__pullback],2019/01/16 14:15,sell,2s,1.362848162651062,0.3,side__pullback,side,pullback,-0.07517940539924828,0.05263840269674569,0.02378453163498072,0.0812907993595271,184.22770999662515,162.558,13662.0
buy,13684,162.44,632.5092546910944,0.0,OPEN_LONG pred_ret=1.29% [side__pullback],2019/01/16 15:30,buy,2s,1.2934473752975464,0.3,side__pullback,side,pullback,-0.07517940539924828,0.05263840269674569,0.02378453163498072,0.0812907993595271,,,
sell,13843,162.79,632.5092546910944,0.0,CLOSE_LONG pred_ret=1.49% [side__pullback],2019/01/17 13:25,sell,1p,1.485335350036621,1.0999999999999996,side__pullback,side,pullback,-0.07535026768424657,0.048230888429751984,0.023146779988982905,0.08149060671388986,221.37823914187945,162.44,13684.0
buy,13856,162.61,633.2094063782255,0.0,OPEN_LONG pred_ret=1.46% [side__pullback],2019/01/17 14:30,buy,2s,1.4618353843688965,1.1499999999999997,side__pullback,side,pullback,-0.07535026768424657,0.048230888429751984,0.023146779988982905,0.08149060671388986,,,
sell,13858,163.69,633.2094063782255,0.0,CLOSE_LONG pred_ret=1.19% [side__pullback],2019/01/17 14:40,sell,1p,1.193805456161499,1.0999999999999996,side__pullback,side,pullback,-0.07535026768424657,0.048230888429751984,0.023146779988982905,0.08149060671388986,683.8661588884735,162.61,13856.0
buy,14109,164.05,631.8198581533173,0.0,OPEN_LONG pred_ret=0.89% [bull__pullback],2019/01/22 04:00,buy,1p,0.8883354663848877,0.3,bull__pullback,bull,pullback,-0.058833580134411756,0.05773539012993667,0.02236449958148953,0.06251134644478062,,,
sell,14395,161.05,631.8198581533173,0.0,CLOSE_LONG pred_ret=1.41% [side__pullback],2019/01/23 12:40,sell,3a,1.4125134944915771,1.2499999999999996,side__pullback,side,pullback,-0.07768538557922322,0.02435321652223421,0.022632748692069878,0.08422872668889725,-1895.459574459952,164.05,14109.0
buy,14419,161.27,630.9579472660243,0.0,OPEN_LONG pred_ret=1.71% [side__pullback],2019/01/23 14:40,buy,2,1.7149145603179932,1.2999999999999996,side__pullback,side,pullback,-0.07768538557922322,0.02435321652223421,0.022632748692069878,0.08422872668889725,,,
sell,14427,161.95,630.9579472660243,0.0,CLOSE_LONG pred_ret=1.51% [side__pullback],2019/01/23 15:20,sell,1p,1.506771206855774,1.2499999999999996,side__pullback,side,pullback,-0.07768538557922322,0.02435321652223421,0.022632748692069878,0.08422872668889725,429.05140414088294,161.27,14419.0
buy,14891,164.34,621.7819128619486,0.0,OPEN_LONG pred_ret=1.72% [bull__pullback],2019/01/28 08:00,buy,1p,1.7154366970062256,0.3,bull__pullback,bull,pullback,-0.05940312108440604,0.02399553571428581,0.01483473473166837,0.06315470784135635,,,
sell,14973,162.9701,621.7819128619486,0.0,CLOSE_LONG pred_ret=4.68% [bull__pullback],2019/01/28 14:50,sell,1p,4.68392276763916,0.3,bull__pullback,bull,pullback,-0.05940312108440604,0.02399553571428581,0.01483473473166837,0.06315470784135635,-851.7790424295841,164.34,14891.0
buy,14983,162.83,622.316898098035,0.0,OPEN_LONG pred_ret=1.64% [bull__pullback],2019/01/28 15:40,buy,2s,1.63691246509552,0.3,bull__pullback,bull,pullback,-0.05940312108440604,0.02399553571428581,0.01483473473166837,0.06315470784135635,,,
sell,14986,163.09,622.316898098035,0.0,CLOSE_LONG pred_ret=4.50% [bull__pullback],2019/01/28 15:55,sell,1p,4.500189304351807,0.3,bull__pullback,bull,pullback,-0.05940312108440604,0.02399553571428581,0.01483473473166837,0.06315470784135635,161.80239350548345,162.83,14983.0
buy,15011,162.79,623.4637441538703,0.0,OPEN_LONG pred_ret=1.76% [bull__pullback],2019/01/28 18:00,buy,2s,1.7560150623321533,0.3,bull__pullback,bull,pullback,-0.05940312108440604,0.02399553571428581,0.01483473473166837,0.06315470784135635,,,
sell,15038,162.69,623.4637441538703,0.0,CLOSE_LONG pred_ret=3.94% [side__pullback],2019/01/29 04:15,sell,2,3.93955659866333,1.6499999999999995,side__pullback,side,pullback,-0.07102175646428976,0.01506005351919848,0.01528519524460858,0.07645147446508482,-62.34637441538348,162.79,15011.0
buy,15101,162.54,624.0391075205682,0.0,OPEN_LONG pred_ret=2.16% [side__pullback],2019/01/29 09:40,buy,2s,2.161977529525757,2.0999999999999996,side__pullback,side,pullback,-0.07102175646428976,0.01506005351919848,0.01528519524460858,0.07645147446508482,,,
sell,15132,161.911,624.0391075205682,0.0,CLOSE_LONG pred_ret=3.90% [side__pullback],2019/01/29 12:15,sell,2,3.8954977989196777,1.6499999999999995,side__pullback,side,pullback,-0.07102175646428976,0.01506005351919848,0.01528519524460858,0.07645147446508482,-392.5205986304316,162.54,15101.0
buy,15361,165.575,610.2297806900965,0.0,OPEN_LONG pred_ret=0.43% [side__downtrend],2019/01/30 15:30,buy,3a,0.4288613200187683,0.3,side__downtrend,side,downtrend,-0.07979268709420217,0.014440886544860865,0.015530680141651843,0.08671164201275006,,,
sell,15371,166.35,610.2297806900965,0.0,CLOSE_LONG pred_ret=4.96% [side__downtrend],2019/01/30 16:20,sell,1p,4.963351249694824,0.3,side__downtrend,side,downtrend,-0.07979268709420217,0.014440886544860865,0.015530680141651843,0.08671164201275006,472.92808003482827,165.575,15361.0
buy,15726,167.12,607.4181666933792,0.0,OPEN_LONG pred_ret=1.42% [bull__pullback],2019/02/01 14:20,buy,2s,1.4180145263671875,1.3999999999999995,bull__pullback,bull,pullback,-0.04225993848957754,0.035786880197105075,0.01649265956382239,0.044124643196955304,,,
sell,15841,168.08,607.4181666933792,0.0,CLOSE_LONG pred_ret=4.37% [bull__pullback],2019/02/04 09:45,sell,1,4.366979122161865,-0.5,bull__pullback,bull,pullback,-0.04630367923453704,0.02334535231925683,0.014209548475873933,0.04855180650940594,583.1214400256489,167.12,15726.0
buy,15986,169.27,603.147902509737,0.0,OPEN_LONG pred_ret=1.69% [bull__pullback],2019/02/05 07:05,buy,2,1.687903881072998,-0.5,bull__pullback,bull,pullback,-0.034457227474655516,0.025900151285930484,0.011375131992332779,0.035686899073910316,,,
sell,15993,169.48,603.147902509737,0.0,CLOSE_LONG pred_ret=2.86% [bull__pullback],2019/02/05 07:40,sell,1p,2.864406108856201,-0.5,bull__pullback,bull,pullback,-0.034457227474655516,0.025900151285930484,0.011375131992332779,0.035686899073910316,126.66105952703244,169.27,15986.0
buy,16049,170.47,599.6451370760265,0.0,OPEN_LONG pred_ret=1.04% [bull__pullback],2019/02/05 12:20,buy,1p,1.040067434310913,-0.5,bull__pullback,bull,pullback,-0.034457227474655516,0.025900151285930484,0.011375131992332779,0.035686899073910316,,,
sell,16067,170.3913,599.6451370760265,0.0,CLOSE_LONG pred_ret=2.98% [bull__pullback],2019/02/05 13:50,sell,2s,2.979048728942871,-0.5,bull__pullback,bull,pullback,-0.034457227474655516,0.025900151285930484,0.011375131992332779,0.035686899073910316,-47.19207228788195,170.47,16049.0
buy,16093,170.73,598.4555405907712,0.0,OPEN_LONG pred_ret=0.91% [bull__pullback],2019/02/05 16:00,buy,2,0.9070267677307129,-0.5,bull__pullback,bull,pullback,-0.034457227474655516,0.025900151285930484,0.011375131992332779,0.035686899073910316,,,
sell,16135,170.87,598.4555405907712,0.0,CLOSE_LONG pred_ret=3.18% [bull__pullback],2019/02/05 19:35,sell,1,3.1798181533813477,-0.5,bull__pullback,bull,pullback,-0.034457227474655516,0.025900151285930484,0.011375131992332779,0.035686899073910316,83.78377568271681,170.73,16093.0
buy,16141,170.34,600.3175896486149,0.0,OPEN_LONG pred_ret=1.52% [bull__pullback],2019/02/06 04:10,buy,2s,1.518267273902893,1.3499999999999996,bull__pullback,bull,pullback,-0.02591411322474091,0.056131900703964455,0.011285676598721187,0.026603519850318724,,,
sell,16186,170.88,600.3175896486149,0.0,CLOSE_LONG pred_ret=3.35% [bull__pullback],2019/02/06 08:10,sell,1,3.351884126663208,-0.5,bull__pullback,bull,pullback,-0.02591411322474091,0.056131900703964455,0.011285676598721187,0.026603519850318724,324.1714984102473,170.34,16141.0
buy,16208,170.56,601.4438890663421,0.0,OPEN_LONG pred_ret=1.38% [bull__pullback],2019/02/06 10:00,buy,2s,1.3777251243591309,1.3499999999999996,bull__pullback,bull,pullback,-0.02591411322474091,0.056131900703964455,0.011285676598721187,0.026603519850318724,,,
sell,16434,167.92,601.4438890663421,0.0,CLOSE_LONG pred_ret=2.61% [bull__pullback],2019/02/07 13:30,sell,1p,2.6067957878112793,-0.5,bull__pullback,bull,pullback,-0.022583973403645485,0.05161887141535626,0.011323161418721096,0.023105794041754724,-1587.811867135152,170.56,16208.0
buy,16440,167.7,602.2329031128215,0.0,OPEN_LONG pred_ret=2.44% [bull__pullback],2019/02/07 14:00,buy,2s,2.4372832775115967,1.4999999999999996,bull__pullback,bull,pullback,-0.022583973403645485,0.05161887141535626,0.011323161418721096,0.023105794041754724,,,
sell,16460,168.02,602.2329031128215,0.0,CLOSE_LONG pred_ret=2.67% [bull__pullback],2019/02/07 15:40,sell,1,2.6678264141082764,-0.5,bull__pullback,bull,pullback,-0.022583973403645485,0.05161887141535626,0.011323161418721096,0.023105794041754724,192.7145289961159,167.7,16440.0
buy,16487,167.87,602.7710274677803,0.0,OPEN_LONG pred_ret=2.13% [bull__pullback],2019/02/07 18:00,buy,3a,2.1266958713531494,1.4999999999999996,bull__pullback,bull,pullback,-0.022583973403645485,0.05161887141535626,0.011323161418721096,0.023105794041754724,,,
sell,16586,167.39,602.7710274677803,0.0,CLOSE_LONG pred_ret=2.43% [bull__pullback],2019/02/08 10:40,sell,2,2.4264144897460938,-0.5,bull__pullback,bull,pullback,-0.023791562699472024,0.030821078431372495,0.01186210087314451,0.024371396302681037,-289.3300931845455,167.87,16487.0
buy,16706,169.24,596.1820035915371,0.0,OPEN_LONG pred_ret=2.52% [bull__pullback],2019/02/11 05:55,buy,3a,2.52409029006958,2.499999999999999,bull__pullback,bull,pullback,-0.021876632043173028,0.02064789585225557,0.011861654646381576,0.02236592311343144,,,
sell,16725,169.07,596.1820035915371,0.0,CLOSE_LONG pred_ret=2.66% [bull__pullback],2019/02/11 07:30,sell,2,2.660142660140991,-0.5,bull__pullback,bull,pullback,-0.021876632043173028,0.02064789585225557,0.011861654646381576,0.02236592311343144,-101.35094061057079,169.24,16706.0
buy,16751,168.86,596.9234356699109,0.0,OPEN_LONG pred_ret=2.83% [bull__pullback],2019/02/11 09:40,buy,1p,2.832629919052124,2.499999999999999,bull__pullback,bull,pullback,-0.021876632043173028,0.02064789585225557,0.011861654646381576,0.02236592311343144,,,
sell,16859,168.58,596.9234356699109,0.0,CLOSE_LONG pred_ret=2.72% [bull__pullback],2019/02/11 19:25,sell,1p,2.7203571796417236,-0.5,bull__pullback,bull,pullback,-0.021876632043173028,0.02064789585225557,0.011861654646381576,0.02236592311343144,-167.1385619875757,168.86,16751.0
