date,action,p_day
2014-09-16,FORCE_BUY,0.5
2014-09-17,FORCE_SELL,0.5
2014-09-18,FORCE_BUY,0.5
2014-09-19,FREE,0.5
2014-09-22,FORCE_SELL,0.5
2014-09-23,FORCE_BUY,0.5
2014-09-24,FORCE_SELL,0.5
2014-09-25,FREE,0.5
2014-09-26,FORCE_BUY,0.5
2014-09-29,FREE,0.5
2014-09-30,FORCE_SELL,0.5
2014-10-01,FORCE_SELL,0.5
2014-10-02,FORCE_BUY,0.5
2014-10-03,FREE,0.5
2014-10-06,FORCE_BUY,0.5
2014-10-07,FORCE_SELL,0.5
2014-10-08,FORCE_SELL,0.5
2014-10-09,FREE,0.5
2014-10-10,FORCE_SELL,0.5
2014-10-13,FORCE_BUY,0.5
2014-10-14,FREE,0.5
2014-10-15,FORCE_BUY,0.5
2014-10-16,FORCE_SELL,0.5
2014-10-17,FORCE_BUY,0.5
2014-10-20,FREE,0.5
2014-10-21,FORCE_SELL,0.5
2014-10-22,FORCE_BUY,0.5
2014-10-23,FREE,0.5
2014-10-24,FORCE_SELL,0.5
2014-10-27,FREE,0.5
2014-10-28,FORCE_BUY,0.5
2014-10-29,FORCE_SELL,0.5
2014-10-30,FREE,0.5
2014-10-31,FORCE_BUY,0.5
2014-11-03,FORCE_SELL,0.5
2014-11-04,FREE,0.5
2014-11-05,FORCE_SELL,0.5
2014-11-06,FORCE_BUY,0.5
2014-11-07,FORCE_BUY,0.5
2014-11-10,FORCE_SELL,0.5
2014-11-11,FREE,0.5
2014-11-12,FORCE_BUY,0.5
2014-11-13,FORCE_SELL,0.5
2014-11-14,FREE,0.5
2014-11-17,FORCE_SELL,0.5
2014-11-18,FREE,0.5
2014-11-19,FORCE_BUY,0.5
2014-11-20,FREE,0.5
2014-11-21,FORCE_SELL,0.5
2014-11-24,FORCE_BUY,0.5
2014-11-25,FREE,0.5
2014-11-26,FORCE_SELL,0.5
2014-11-28,FREE,0.5
2014-12-01,FORCE_BUY,0.5
2014-12-02,FREE,0.5
2014-12-03,FORCE_BUY,0.5
2014-12-04,FORCE_SELL,0.5
2014-12-05,FREE,0.5
2014-12-08,FORCE_SELL,0.5
2014-12-09,FREE,0.5
2014-12-10,FORCE_BUY,0.5
2014-12-11,FREE,0.5
2014-12-12,FORCE_SELL,0.5
2014-12-15,FREE,0.5
2014-12-16,FORCE_BUY,0.5
2014-12-17,FREE,0.5
2014-12-18,FORCE_SELL,0.5
2014-12-19,FORCE_BUY,0.5
2014-12-22,FREE,0.5
2014-12-23,FORCE_SELL,0.5
2014-12-24,FORCE_BUY,0.5
2014-12-26,FORCE_SELL,0.5
2014-12-29,FREE,0.5
2014-12-30,FORCE_BUY,0.5
2014-12-31,FORCE_SELL,0.5
2015-01-02,FORCE_BUY,0.5
2015-01-05,FREE,0.5
2015-01-06,FORCE_SELL,0.5
2015-01-07,FORCE_BUY,0.5
2015-01-08,FREE,0.5
2015-01-09,FORCE_BUY,0.5
2015-01-12,FORCE_SELL,0.5
2015-01-13,FREE,0.5
2015-01-14,FORCE_BUY,0.5
2015-01-15,FREE,0.5
2015-01-16,FORCE_SELL,0.5
2015-01-20,FORCE_BUY,0.5
2015-01-21,FREE,0.5
2015-01-22,FORCE_SELL,0.5
2015-01-23,FORCE_BUY,0.5
2015-01-26,FREE,0.5
2015-01-27,FORCE_SELL,0.5
2015-01-28,FORCE_BUY,0.5
2015-01-29,FORCE_SELL,0.5
2015-01-30,FORCE_SELL,0.5
2015-02-02,FREE,0.5
2015-02-03,FORCE_BUY,0.5
2015-02-04,FORCE_SELL,0.5
2015-02-05,FREE,0.5
2015-02-06,FORCE_BUY,0.5
2015-02-09,FORCE_SELL,0.5
2015-02-10,FORCE_BUY,0.5
2015-02-11,FREE,0.5
2015-02-12,FORCE_SELL,0.5
2015-02-13,FORCE_BUY,0.5
2015-02-17,FORCE_BUY,0.5
2015-02-18,FREE,0.5
2015-02-19,FORCE_SELL,0.5
2015-02-20,FORCE_BUY,0.5
2015-02-23,FREE,0.5
2015-02-24,FORCE_SELL,0.5
2015-02-25,FORCE_BUY,0.5
2015-02-26,FREE,0.5
2015-02-27,FORCE_BUY,0.5
2015-03-02,FORCE_SELL,0.5
2015-03-03,FREE,0.5
2015-03-04,FREE,0.5
2015-03-05,FORCE_BUY,0.5
2015-03-06,FORCE_BUY,0.5
2015-03-09,FORCE_SELL,0.5
2015-03-10,FREE,0.5
2015-03-11,FORCE_SELL,0.5
2015-03-12,FORCE_BUY,0.5
2015-03-13,FREE,0.5
2015-03-16,FORCE_SELL,0.5
2015-03-17,FORCE_BUY,0.5
2015-03-18,FREE,0.5
2015-03-19,FORCE_SELL,0.5
2015-03-20,FORCE_SELL,0.5
2015-03-23,FREE,0.5
2015-03-24,FORCE_BUY,0.5
2015-03-25,FORCE_SELL,0.5
2015-03-26,FREE,0.5
2015-03-27,FREE,0.5
2015-03-30,FORCE_BUY,0.5
2015-03-31,FORCE_SELL,0.5
2015-04-01,FORCE_BUY,0.5
2015-04-02,FREE,0.5
2015-04-06,FORCE_SELL,0.5
2015-04-07,FORCE_BUY,0.5
2015-04-08,FORCE_BUY,0.5
2015-04-09,FORCE_SELL,0.5
2015-04-10,FREE,0.5
2015-04-13,FORCE_BUY,0.5
2015-04-14,FORCE_SELL,0.5
2015-04-15,FREE,0.5
2015-04-16,FORCE_SELL,0.5
2015-04-17,FORCE_BUY,0.5
2015-04-20,FORCE_BUY,0.5
2015-04-21,FREE,0.5
2015-04-22,FREE,0.5
2015-04-23,FORCE_SELL,0.5
2015-04-24,FORCE_BUY,0.5
2015-04-27,FREE,0.5
2015-04-28,FORCE_BUY,0.5
2015-04-29,FORCE_SELL,0.5
2015-04-30,FORCE_BUY,0.5
2015-05-01,FREE,0.5
2015-05-04,FORCE_SELL,0.5
2015-05-05,FREE,0.5
2015-05-06,FORCE_BUY,0.5
2015-05-07,FORCE_SELL,0.5
2015-05-08,FORCE_BUY,0.5
2015-05-11,FORCE_SELL,0.5
2015-05-12,FORCE_BUY,0.5
2015-05-13,FREE,0.5
2015-05-14,FREE,0.5
2015-05-15,FORCE_BUY,0.5
2015-05-18,FORCE_BUY,0.5
2015-05-19,FORCE_BUY,0.5
2015-05-20,FREE,0.5
2015-05-21,FORCE_SELL,0.5
2015-05-22,FORCE_SELL,0.5
2015-05-26,FORCE_BUY,0.5
2015-05-27,FREE,0.5
2015-05-28,FREE,0.5
2015-05-29,FORCE_BUY,0.5
2015-06-01,FORCE_SELL,0.5
2015-06-02,FREE,0.5
2015-06-03,FORCE_SELL,0.5
2015-06-04,FORCE_BUY,0.5
2015-06-05,FORCE_BUY,0.5
2015-06-08,FORCE_SELL,0.5
2015-06-09,FREE,0.5
2015-06-10,FREE,0.1983320363959057
2015-06-11,FORCE_BUY,0.17973401772036365
2015-06-12,FORCE_SELL,0.1899766754652328
2015-06-15,FORCE_BUY,0.18809778812764918
2015-06-16,FREE,0.1688404527595432
2015-06-17,FORCE_SELL,0.20883946616716756
2015-06-18,FORCE_BUY,0.2347632373344287
2015-06-19,FREE,0.24013583934563007
2015-06-22,FORCE_SELL,0.21100537520863757
2015-06-23,FORCE_BUY,0.19027184954415874
2015-06-24,FREE,0.25415286201790105
2015-06-25,FORCE_SELL,0.23383697722942265
2015-06-26,FORCE_BUY,0.23794316387894476
2015-06-29,FORCE_SELL,0.2343895539677524
2015-06-30,FREE,0.1783462394899125
2015-07-01,FORCE_BUY,0.17682772389103993
2015-07-02,FORCE_SELL,0.1816041990134589
2015-07-06,FORCE_SELL,0.14327155927933824
2015-07-07,FREE,0.13898824461771242
2015-07-08,FORCE_SELL,0.1486568162548238
2015-07-09,FORCE_BUY,0.15727454255574713
2015-07-10,FREE,0.1571848397936369
2015-07-13,FORCE_BUY,0.1623045235390207
2015-07-14,FREE,0.19990265993577427
2015-07-15,FORCE_SELL,0.19789789186332904
2015-07-16,FORCE_BUY,0.21323185787933943
2015-07-17,FREE,0.24545478809569565
2015-07-20,FORCE_SELL,0.262381950700211
2015-07-21,FORCE_BUY,0.21579127679696938
2015-07-22,FREE,0.20531794068052947
2015-07-23,FORCE_SELL,0.24902312897802928
2015-07-24,FORCE_BUY,0.26956835312397304
2015-07-27,FORCE_SELL,0.1874906903413989
2015-07-28,FORCE_BUY,0.1738367401249008
2015-07-29,FREE,0.18043754946388457
2015-07-30,FORCE_SELL,0.18131905810167406
2015-07-31,FORCE_BUY,0.1826356987908401
2015-08-03,FREE,0.17562073229874772
2015-08-04,FORCE_SELL,0.17290713455540088
2015-08-05,FORCE_BUY,0.1936693880166009
2015-08-06,FREE,0.194674729799676
2015-08-07,FORCE_SELL,0.16873727323976162
2015-08-10,FORCE_BUY,0.18702104019977736
2015-08-11,FREE,0.17926452544811358
2015-08-12,FORCE_SELL,0.17432066291334522
2015-08-13,FORCE_BUY,0.18847968958244166
2015-08-14,FREE,0.1735025768832689
2015-08-17,FORCE_SELL,0.1779151043355591
2015-08-18,FORCE_SELL,0.21693656838856032
2015-08-19,FREE,0.19943918317238474
2015-08-20,FORCE_BUY,0.2635554862252038
2015-08-21,FREE,0.21498904812908903
2015-08-24,FORCE_SELL,0.16555070786950238
2015-08-25,FORCE_BUY,0.21564518374041206
2015-08-26,FREE,0.19113486382741965
2015-08-27,FORCE_SELL,0.1740078387192369
2015-08-28,FORCE_BUY,0.17036012094774935
2015-08-31,FREE,0.17917054998908064
2015-09-01,FORCE_SELL,0.15651984782375739
2015-09-02,FREE,0.16973981523730583
2015-09-03,FORCE_BUY,0.17790683540784338
2015-09-04,FORCE_SELL,0.16525060025037755
2015-09-08,FREE,0.18529138805863363
2015-09-09,FORCE_BUY,0.2026854561019583
2015-09-10,FORCE_SELL,0.1811081629815051
2015-09-11,FORCE_BUY,0.1816042724748389
2015-09-14,FREE,0.1960652673849487
2015-09-15,FORCE_SELL,0.19978557535978222
2015-09-16,FORCE_BUY,0.23179930349401393
2015-09-17,FREE,0.23576985497447508
2015-09-18,FORCE_SELL,0.20991978747561002
2015-09-21,FORCE_BUY,0.23955520178014075
2015-09-22,FREE,0.1938761687440703
2015-09-23,FORCE_SELL,0.2258606916794196
2015-09-24,FREE,0.2217975634765962
2015-09-25,FORCE_BUY,0.20877866952300037
2015-09-28,FORCE_SELL,0.2427536340406813
2015-09-29,FREE,0.27521488681627976
2015-09-30,FORCE_SELL,0.28432966567840906
2015-10-01,FORCE_BUY,0.28597700380578167
2015-10-02,FREE,0.30645059690731025
2015-10-05,FREE,0.28278437545022983
2015-10-06,FORCE_SELL,0.28110208538640846
2015-10-07,FORCE_BUY,0.2822997925512607
2015-10-08,FREE,0.28904227464041593
2015-10-09,FORCE_SELL,0.2724055783622024
2015-10-12,FORCE_BUY,0.2605880394441102
2015-10-13,FORCE_BUY,0.22335590604626843
2015-10-14,FORCE_SELL,0.26285607555777296
2015-10-15,FREE,0.27078904250477187
2015-10-16,FORCE_BUY,0.30173733994109364
2015-10-19,FORCE_SELL,0.29922280380613236
2015-10-20,FREE,0.2719353561592584
2015-10-21,FORCE_BUY,0.25162356867763624
2015-10-22,FREE,0.268950039338008
2015-10-23,FORCE_SELL,0.22152185392339716
2015-10-26,FORCE_BUY,0.2127716056497563
2015-10-27,FREE,0.21511606137235137
2015-10-28,FORCE_BUY,0.2696321560740768
2015-10-29,FORCE_SELL,0.21886802976898148
2015-10-30,FORCE_BUY,0.22254485553613743
2015-11-02,FREE,0.208416501081381
2015-11-03,FORCE_SELL,0.15491327804087654
2015-11-04,FREE,0.25166742798564373
2015-11-05,FORCE_BUY,0.15450613657665502
2015-11-06,FREE,0.19144039177247615
2015-11-09,FORCE_SELL,0.14799055692600374
2015-11-10,FORCE_BUY,0.19677733031062594
2015-11-11,FREE,0.1584173226949183
2015-11-12,FORCE_SELL,0.12687883618359705
2015-11-13,FORCE_BUY,0.1451252900710808
2015-11-16,FORCE_SELL,0.1781715067345497
2015-11-17,FREE,0.15455163588159393
2015-11-18,FORCE_BUY,0.1805351720002821
2015-11-19,FORCE_SELL,0.1813156949827528
2015-11-20,FORCE_BUY,0.19244370421250637
2015-11-23,FREE,0.2005204407275657
2015-11-24,FREE,0.195353122957427
2015-11-25,FORCE_SELL,0.21719224521559846
2015-11-27,FORCE_SELL,0.17832648558515682
2015-11-30,FORCE_BUY,0.14573154831922858
2015-12-01,FORCE_SELL,0.20753490827866017
2015-12-02,FREE,0.1539018472313324
2015-12-03,FREE,0.13520977226457684
2015-12-04,FORCE_SELL,0.17338741457028772
2015-12-07,FORCE_BUY,0.22942125705262584
2015-12-08,FREE,0.2185300341821025
2015-12-09,FORCE_SELL,0.20120252860237117
2015-12-10,FORCE_BUY,0.2876305637346073
2015-12-11,FREE,0.2504615805308546
2015-12-14,FORCE_BUY,0.25989561383353593
2015-12-15,FORCE_SELL,0.29417615792090074
2015-12-16,FREE,0.28270584414252
2015-12-17,FREE,0.27048031313215487
2015-12-18,FORCE_SELL,0.23911592263622403
2015-12-21,FORCE_SELL,0.31389631074024404
2015-12-22,FORCE_BUY,0.29929511182074764
2015-12-23,FREE,0.29969665170714876
2015-12-24,FORCE_SELL,0.274978992487821
2015-12-28,FORCE_BUY,0.2923725310196617
2015-12-29,FORCE_SELL,0.3168646477891141
2015-12-30,FREE,0.24886584076254134
2015-12-31,FORCE_BUY,0.2517142444972054
2016-01-04,FORCE_SELL,0.29479994592493936
2016-01-05,FORCE_SELL,0.2749672781253362
2016-01-06,FORCE_BUY,0.22736340150244003
2016-01-07,FREE,0.21218355852721657
2016-01-08,FORCE_SELL,0.21526813635793962
2016-01-11,FORCE_BUY,0.21510103929639549
2016-01-12,FREE,0.25959217994292605
2016-01-13,FORCE_BUY,0.2864444464248282
2016-01-14,FORCE_SELL,0.27781061228208603
2016-01-15,FREE,0.3448125684405133
2016-01-19,FORCE_SELL,0.36667237934281854
2016-01-20,FORCE_BUY,0.3518577927329794
2016-01-21,FREE,0.3316444963487852
2016-01-22,FORCE_BUY,0.3254216845782096
2016-01-25,FORCE_SELL,0.2699059138728102
2016-01-26,FREE,0.289043000472513
2016-01-27,FORCE_BUY,0.2613694730869937
2016-01-28,FORCE_BUY,0.270481050191607
2016-01-29,FORCE_SELL,0.24434150580408118
2016-02-01,FORCE_BUY,0.27237696798649463
2016-02-02,FREE,0.27431065615580225
2016-02-03,FORCE_SELL,0.2929901483670113
2016-02-04,FORCE_BUY,0.30299463670096366
2016-02-05,FREE,0.29440816969992667
2016-02-08,FORCE_SELL,0.3551624052653474
2016-02-09,FORCE_BUY,0.37054732992036515
2016-02-10,FORCE_SELL,0.3942143120935419
2016-02-11,FREE,0.38911589116524464
2016-02-12,FORCE_BUY,0.4080941513007592
2016-02-16,FORCE_SELL,0.3472327058716094
2016-02-17,FREE,0.2977075917980279
2016-02-18,FREE,0.286338162669383
2016-02-19,FORCE_SELL,0.2692597321863395
2016-02-22,FORCE_BUY,0.2768986784622198
2016-02-23,FORCE_BUY,0.24999451966612493
2016-02-24,FREE,0.24470885760953456
2016-02-25,FORCE_SELL,0.2705769310619072
2016-02-26,FREE,0.24717675056214913
2016-02-29,FORCE_SELL,0.23178764434776974
2016-03-01,FORCE_BUY,0.2361146088545718
2016-03-02,FREE,0.2682940568718814
2016-03-03,FORCE_SELL,0.25624852475358567
2016-03-04,FORCE_BUY,0.244235147549542
2016-03-07,FORCE_BUY,0.26371550203693195
2016-03-08,FREE,0.25035333164585943
2016-03-09,FORCE_SELL,0.29630687886942425
2016-03-10,FORCE_BUY,0.25159328968068245
2016-03-11,FORCE_SELL,0.2862529984141227
2016-03-14,FREE,0.25812437956328643
2016-03-15,FORCE_BUY,0.27028022548701575
2016-03-16,FORCE_SELL,0.25633666209009653
2016-03-17,FORCE_BUY,0.289821618212408
2016-03-18,FREE,0.29315002535341766
2016-03-21,FORCE_SELL,0.2784646427938392
2016-03-22,FORCE_BUY,0.2750693131394182
2016-03-23,FORCE_BUY,0.23854320658383324
2016-03-24,FREE,0.26552301785563615
2016-03-28,FORCE_SELL,0.22483854938476835
2016-03-29,FREE,0.19681015736619223
2016-03-30,FREE,0.19376661429042444
2016-03-31,FORCE_BUY,0.2701507204985778
2016-04-01,FORCE_SELL,0.19673739626839518
2016-04-04,FORCE_SELL,0.22458897371300376
2016-04-05,FREE,0.21594061008472554
2016-04-06,FORCE_BUY,0.2424543827465371
2016-04-07,FORCE_SELL,0.27657740618498616
2016-04-08,FREE,0.27451494857052045
2016-04-11,FORCE_BUY,0.27437934894239696
2016-04-12,FORCE_SELL,0.3508209640032129
2016-04-13,FREE,0.37819635403192303
2016-04-14,FREE,0.3018514048145084
2016-04-15,FORCE_SELL,0.31346835199319645
2016-04-18,FORCE_BUY,0.3112446984815394
2016-04-19,FREE,0.3175235661303968
2016-04-20,FORCE_BUY,0.3361091188611804
2016-04-21,FORCE_BUY,0.28823244985292273
2016-04-22,FORCE_BUY,0.3024121630646132
2016-04-25,FREE,0.3222850128557196
2016-04-26,FORCE_SELL,0.2932097569738415
2016-04-27,FREE,0.3724041039710924
2016-04-28,FORCE_SELL,0.26764895870786004
2016-04-29,FORCE_BUY,0.26432986546372494
2016-05-02,FORCE_SELL,0.2579950050176128
2016-05-03,FREE,0.26012823431057003
2016-05-04,FORCE_SELL,0.25755243423985646
2016-05-05,FORCE_BUY,0.2629078096418367
2016-05-06,FREE,0.25625895175158814
2016-05-09,FORCE_BUY,0.24506356978665886
2016-05-10,FORCE_SELL,0.26057048330699634
2016-05-11,FREE,0.2507278058309556
2016-05-12,FREE,0.24682479047515068
2016-05-13,FORCE_SELL,0.24119780172244032
2016-05-16,FORCE_BUY,0.23660966002005032
2016-05-17,FREE,0.2185210131921426
2016-05-18,FORCE_SELL,0.20688223594874197
2016-05-19,FORCE_BUY,0.21629516533594043
2016-05-20,FREE,0.21772618508524919
2016-05-23,FORCE_SELL,0.21603963169431775
2016-05-24,FORCE_BUY,0.22270983166971978
2016-05-25,FORCE_BUY,0.23563559085646343
2016-05-26,FREE,0.25339690635598394
2016-05-27,FREE,0.24789702482635498
2016-05-31,FORCE_BUY,0.2650582881938121
2016-06-01,FORCE_SELL,0.23943612271593587
2016-06-02,FREE,0.2540862165490423
2016-06-03,FORCE_BUY,0.24488376157196487
2016-06-06,FORCE_SELL,0.253739454700376
2016-06-07,FREE,0.2799582537085675
2016-06-08,FORCE_BUY,0.2717895417255136
2016-06-09,FORCE_SELL,0.2606126514403025
2016-06-10,FREE,0.2848934656187221
2016-06-13,FORCE_SELL,0.3679069589529662
2016-06-14,FORCE_BUY,0.28456934055715427
2016-06-15,FREE,0.3204784144533341
2016-06-16,FREE,0.3073838211967907
2016-06-17,FORCE_SELL,0.3118031204674773
2016-06-20,FORCE_BUY,0.3424633569532756
2016-06-21,FREE,0.2987137722503373
2016-06-22,FORCE_SELL,0.3202296411551413
2016-06-23,FORCE_BUY,0.30709308304571065
2016-06-24,FORCE_BUY,0.3151366777654685
2016-06-27,FREE,0.27436469643897005
2016-06-28,FORCE_SELL,0.2967370662001036
2016-06-29,FORCE_BUY,0.2977664849910167
2016-06-30,FREE,0.3054806585654901
2016-07-01,FORCE_SELL,0.3107019911823308
2016-07-05,FORCE_BUY,0.30788792426806216
2016-07-06,FREE,0.3082902044819769
2016-07-07,FORCE_SELL,0.3235119663568468
2016-07-08,FORCE_BUY,0.3125080860890051
2016-07-11,FREE,0.2621898318862477
2016-07-12,FORCE_BUY,0.2740117048134946
2016-07-13,FORCE_SELL,0.22812701396463378
2016-07-14,FREE,0.237647065479987
2016-07-15,FORCE_BUY,0.23978451627947905
2016-07-18,FORCE_SELL,0.2487646638244251
2016-07-19,FREE,0.26293681655618756
2016-07-20,FORCE_BUY,0.263250989317484
2016-07-21,FORCE_SELL,0.26080775150447066
2016-07-22,FREE,0.29875833786388856
2016-07-25,FORCE_BUY,0.29129496068431515
2016-07-26,FORCE_BUY,0.28327549334315283
2016-07-27,FORCE_SELL,0.27174870927160005
2016-07-28,FREE,0.279672855388678
2016-07-29,FORCE_SELL,0.2703533666574796
2016-08-01,FORCE_BUY,0.2340581564669509
2016-08-02,FREE,0.21790558226310894
2016-08-03,FREE,0.25495629011097354
2016-08-04,FORCE_SELL,0.2485926973653676
2016-08-05,FREE,0.23722611150414497
2016-08-08,FORCE_BUY,0.24762140665628204
2016-08-09,FORCE_SELL,0.2541796340563695
2016-08-10,FREE,0.24751005185941755
2016-08-11,FORCE_BUY,0.27989014544302804
2016-08-12,FORCE_SELL,0.2958493576115915
2016-08-15,FORCE_SELL,0.27211168276493053
2016-08-16,FORCE_BUY,0.24872800432427403
2016-08-17,FREE,0.2511324719258434
2016-08-18,FORCE_BUY,0.258994076179063
2016-08-19,FORCE_SELL,0.2572839030445382
2016-08-22,FREE,0.2488598913836396
2016-08-23,FREE,0.25600981910136406
2016-08-24,FORCE_BUY,0.25098419229645047
2016-08-25,FORCE_SELL,0.24853964605527654
2016-08-26,FREE,0.24359813569494912
2016-08-29,FORCE_BUY,0.24468633036609586
2016-08-30,FREE,0.244404559656306
2016-08-31,FORCE_SELL,0.25524632078237947
2016-09-01,FORCE_BUY,0.25580949906060485
2016-09-02,FREE,0.25573998230221967
2016-09-06,FORCE_SELL,0.2578806673885159
2016-09-07,FORCE_BUY,0.25685429279723776
2016-09-08,FREE,0.2639130426814175
2016-09-09,FREE,0.2572724109104829
2016-09-12,FORCE_SELL,0.23930470682226476
2016-09-13,FORCE_SELL,0.2553726459885911
2016-09-14,FORCE_BUY,0.2539969051275985
2016-09-15,FREE,0.2479568513641818
2016-09-16,FREE,0.2582514151963261
2016-09-19,FORCE_SELL,0.25925367971793295
2016-09-20,FORCE_BUY,0.26445063520758927
2016-09-21,FREE,0.2657616956209576
2016-09-22,FORCE_BUY,0.23934937679857002
2016-09-23,FORCE_BUY,0.25880729476233116
2016-09-26,FORCE_SELL,0.25197298077122693
2016-09-27,FREE,0.27080454035648405
2016-09-28,FORCE_SELL,0.2670458530604593
2016-09-29,FORCE_BUY,0.25637628117863503
2016-09-30,FREE,0.27040759071272
2016-10-03,FORCE_SELL,0.26110833270459505
2016-10-04,FORCE_SELL,0.2763669435678977
2016-10-05,FORCE_BUY,0.2661096311099231
2016-10-06,FREE,0.26761153811781596
2016-10-07,FREE,0.26161319852977777
2016-10-10,FORCE_SELL,0.2641556484374083
2016-10-11,FORCE_BUY,0.25633684293111836
2016-10-12,FORCE_SELL,0.250003610164492
2016-10-13,FORCE_BUY,0.258906264370161
2016-10-14,FREE,0.258960000062538
2016-10-17,FORCE_SELL,0.2619048100476484
2016-10-18,FORCE_BUY,0.25444995558660916
2016-10-19,FORCE_SELL,0.2512939838366417
2016-10-20,FREE,0.2621840170925413
2016-10-21,FORCE_BUY,0.24837895942798024
2016-10-24,FORCE_BUY,0.23419394200677532
2016-10-25,FREE,0.2382791194606074
2016-10-26,FORCE_SELL,0.24781196334445169
2016-10-27,FREE,0.24194408352526084
2016-10-28,FREE,0.25464410259177606
2016-10-31,FORCE_BUY,0.27077212208193585
2016-11-01,FORCE_SELL,0.265348167574975
2016-11-02,FREE,0.27500483054347397
2016-11-03,FREE,0.27432954640215595
2016-11-04,FORCE_BUY,0.2898141736817718
2016-11-07,FREE,0.2914472832479652
2016-11-08,FORCE_SELL,0.28714018194700275
2016-11-09,FORCE_SELL,0.3027870597585456
2016-11-10,FORCE_BUY,0.2852933329878055
2016-11-11,FORCE_SELL,0.32451016932312254
2016-11-14,FREE,0.3044698596195929
2016-11-15,FORCE_SELL,0.3005753125327096
2016-11-16,FREE,0.3049789184042167
2016-11-17,FORCE_BUY,0.2905189311576856
2016-11-18,FORCE_SELL,0.29127928285161503
2016-11-21,FREE,0.29111222213252563
2016-11-22,FORCE_BUY,0.28065413720058374
2016-11-23,FORCE_SELL,0.3004688070732319
2016-11-25,FREE,0.2909035383330088
2016-11-28,FORCE_BUY,0.2774833634244681
2016-11-29,FORCE_SELL,0.26480775739503853
2016-11-30,FORCE_BUY,0.26931146165273173
2016-12-01,FREE,0.27456474347351567
2016-12-02,FORCE_SELL,0.23962955183422519
2016-12-05,FORCE_BUY,0.267833247781694
2016-12-06,FORCE_BUY,0.2150282473800527
2016-12-07,FREE,0.2436775008784129
2016-12-08,FREE,0.23962519745228392
2016-12-09,FORCE_SELL,0.21277779560099863
2016-12-12,FORCE_BUY,0.22308218042798453
2016-12-13,FREE,0.24541285711513053
2016-12-14,FORCE_SELL,0.29120738166478627
2016-12-15,FORCE_BUY,0.29814323775018264
2016-12-16,FREE,0.32042021187657116
2016-12-19,FORCE_SELL,0.30457038171835027
2016-12-20,FORCE_SELL,0.2570984602888981
2016-12-21,FORCE_BUY,0.2614535048280067
2016-12-22,FREE,0.24364427992770774
2016-12-23,FORCE_SELL,0.2576242533113906
2016-12-27,FORCE_BUY,0.2861586922321312
2016-12-28,FORCE_BUY,0.2864666226621192
2016-12-29,FREE,0.28289701615065943
2016-12-30,FORCE_SELL,0.27524958693195006
2017-01-03,FORCE_SELL,0.2751630915082543
2017-01-04,FORCE_BUY,0.2591401905546242
