date,equity,cash,pos,qty,has_model,bsp_rows,ret_th_buy,mr_th_buy
2023-05-09,101355.23894081799,101355.23894081799,0,0.0,1,3330,0.7499999999999998,0.4
2023-05-10,102532.36160477428,0.0,1,315.0382892053533,1,3365,0.6999999999999997,0.6
2023-05-11,102871.0812077593,0.0,1,315.15909809062003,1,3408,0.7999999999999998,0.7999999999999999
2023-05-12,103060.17666661365,103060.17666661365,0,0.0,1,3448,0.7999999999999998,0.7
2023-05-15,103060.17666661365,103060.17666661365,0,0.0,1,3472,0.7999999999999998,0.7
2023-05-16,103060.17666661365,103060.17666661365,0,0.0,1,3493,0.9499999999999997,0.75
2023-05-17,103060.17666661365,103060.17666661365,0,0.0,1,3539,0.9999999999999996,0.75
2023-05-18,103060.17666661365,103060.17666661365,0,0.0,1,3588,1.0999999999999996,0.5
2023-05-19,103118.40794970954,0.0,1,306.4804373468155,1,3599,1.1999999999999997,0.5
2023-05-22,103873.12208774463,103873.12208774463,0,0.0,1,3607,1.1999999999999997,0.5
2023-05-23,103167.29266900898,0.0,1,308.9858716014525,1,3640,-0.5,0.4
2023-05-24,103944.66139009233,103944.66139009233,0,0.0,1,3692,-0.5,0.4
2023-05-25,103944.66139009233,103944.66139009233,0,0.0,1,3734,-0.5,0.4
2023-05-26,103944.66139009233,103944.66139009233,0,0.0,1,3790,-0.5,0.4
2023-05-30,103923.91484656114,103923.91484656114,0,0.0,1,3851,-0.5,0.4
2023-05-31,104728.19269961576,104728.19269961576,0,0.0,1,3900,-0.5,0.4
2023-06-01,105113.57208196452,0.0,1,298.36381516311246,1,3916,-0.5,0.4
2023-06-02,105837.1630016377,0.0,1,298.28409616604955,1,3961,-0.5,0.4
2023-06-05,105795.47347888128,0.0,1,298.55365582707213,1,3993,-0.5,0.4
2023-06-06,106145.40862830046,0.0,1,298.88328160246795,1,4009,-0.5,0.4
2023-06-07,104791.97984153614,0.0,1,300.4615644738256,1,4055,-0.5,0.4
2023-06-08,106100.64832178585,0.0,1,300.4662673362762,1,4081,-0.5,0.55
2023-06-09,106710.17052942012,0.0,1,301.2284277471281,1,4140,1.4499999999999995,0.55
2023-06-12,107804.74474614543,0.0,1,298.636374265618,1,4198,-0.5,0.45
2023-06-13,108566.34944316011,108566.34944316011,0,0.0,1,4246,1.1999999999999997,0.5
2023-06-14,110013.34864392118,110013.34864392118,0,0.0,1,4267,1.0999999999999996,0.7999999999999999
2023-06-15,109980.08640338788,109980.08640338788,0,0.0,1,4317,1.2499999999999996,0.4
2023-06-16,109703.12599083669,0.0,1,297.8068952163224,1,4342,1.1999999999999997,0.75
2023-06-20,108711.42902976634,108711.42902976634,0,0.0,1,4373,-0.5,0.4
2023-06-21,108552.46818573921,108552.46818573921,0,0.0,1,4413,-0.5,0.4
2023-06-22,110256.93847767089,0.0,1,300.87853316324436,1,4477,-0.5,0.4
2023-06-23,109851.2851812983,0.0,1,303.3057738729314,1,4531,-0.5,0.4
2023-06-26,109562.51962938637,109562.51962938637,0,0.0,1,4575,1.4499999999999995,0.5
2023-06-27,109696.60594441784,109696.60594441784,0,0.0,1,4640,1.2999999999999996,0.7
2023-06-28,110072.21053477793,110072.21053477793,0,0.0,1,4683,1.1499999999999997,0.75
2023-06-29,110395.29849133453,110395.29849133453,0,0.0,1,4727,1.1499999999999997,0.75
