date,equity,cash,pos,buy_th,sell_th,p_day,daily_action,daily_buy_level,daily_sell_level,QQQ,Return %,QQQ %
6/17/2024,115298.6467,115298.6467,0,0.65,1.55,0.146693604,FREE,0.145,0.22,485.06,15.30%,20.48%
6/18/2024,115298.6467,115298.6467,0,0.65,1.55,0.095218666,FORCE_BUY,0.15,0.22,485.21,15.30%,20.52%
6/20/2024,114797.2206,0,1,0.8,1.05,0.157161915,FREE,0.15,0.22,481.47,14.80%,19.59%
6/21/2024,114207.6777,0,1,1.2,0.9,0.136024752,FORCE_BUY,0.15,0.22,480.18,14.21%,19.27%
6/24/2024,114540.5907,114540.5907,0,1.1,-0.5,0.19186847,FREE,0.15,0.22,473.96,14.54%,17.73%
6/25/2024,114744.8897,0,1,1.4,0.75,0.121903541,FORCE_BUY,0.15,0.22,479.38,14.74%,19.07%
6/26/2024,114595.3626,0,1,1.4,0.9,0.136739171,FORCE_BUY,0.15,0.22,480.37,14.60%,19.32%
6/27/2024,115248.4116,0,1,1.5,0.85,0.12598178,FORCE_BUY,0.15,0.22,481.61,15.25%,19.63%
6/28/2024,115473.1491,0,1,1.45,0.75,0.213939447,FREE,0.15,0.22,479.11,15.47%,19.01%
7/1/2024,115426.2076,0,1,1,0.65,0.135475401,FORCE_BUY,0.15,0.21,481.92,15.43%,19.70%
7/2/2024,116137.9354,0,1,0.8,0.65,0.137983844,FORCE_BUY,0.15,0.21,486.98,16.14%,20.96%
7/3/2024,116748.0272,0,1,0.95,1.05,0.123980602,FORCE_BUY,0.15,0.21,491.04,16.75%,21.97%
7/5/2024,117379.2808,0,1,-0.5,0.95,0.13581417,FORCE_BUY,0.15,0.21,496.16,17.38%,23.24%
7/8/2024,117862.2534,0,1,-0.5,0.95,0.124921072,FORCE_BUY,0.15,0.21,497.34,17.86%,23.54%
7/9/2024,117779.6397,0,1,0.95,-0.5,0.147503833,FORCE_BUY,0.15,0.21,497.77,17.78%,23.64%
7/10/2024,117970.114,117970.114,0,1.1,1.9,0.147858637,FREE,0.145,0.21,502.96,17.97%,24.93%
7/11/2024,117970.114,117970.114,0,-0.5,0.65,0.219805312,FORCE_SELL,0.15,0.21,491.93,17.97%,22.19%
7/12/2024,118533.9939,0,1,1,0.8,0.195882349,FREE,0.15,0.21,494.82,18.53%,22.91%
7/15/2024,119309.84,119309.84,0,-0.5,0.8,0.1815154,FREE,0.15,0.21,496.15,19.31%,23.24%
7/16/2024,120095.0111,0,1,-0.5,0.85,0.120061558,FORCE_BUY,0.15,0.21,496.34,20.10%,23.29%
7/17/2024,119304.1531,0,1,0.9,-0.5,0.202832823,FREE,0.15,0.21,481.77,19.30%,19.67%
7/18/2024,119289.1888,119289.1888,0,1.75,1.2,0.257794275,FORCE_SELL,0.15,0.21,479.49,19.29%,19.10%
7/19/2024,119289.1888,119289.1888,0,1.3,-0.5,0.233863916,FORCE_SELL,0.15,0.21,475.24,19.29%,18.05%
7/22/2024,119289.1888,119289.1888,0,1.3,-0.5,0.141010783,FORCE_BUY,0.15,0.21,482.32,19.29%,19.80%
7/23/2024,119245.0085,0,1,-0.5,1.2,0.181366943,FREE,0.15,0.21,480.62,19.25%,19.38%
7/24/2024,118892.4685,118892.4685,0,1.3,-0.5,0.245404074,FORCE_SELL,0.15,0.21,463.38,18.89%,15.10%
7/25/2024,118892.4685,118892.4685,0,1.25,2.15,0.248658339,FORCE_SELL,0.15,0.21,458.27,18.89%,13.83%
7/26/2024,119776.9017,0,1,1.05,1.35,0.164832699,FREE,0.15,0.21,462.97,19.78%,15.00%
7/29/2024,119910.5081,0,1,1,1.35,0.152344757,FREE,0.15,0.21,463.9,19.91%,15.23%
7/30/2024,119787.8072,119787.8072,0,1,1.25,0.195470029,FREE,0.15,0.21,457.53,19.79%,13.65%
7/31/2024,119787.8072,119787.8072,0,1,1.25,0.164056533,FREE,0.15,0.21,471.07,19.79%,17.01%
8/1/2024,119787.8072,119787.8072,0,1,-0.5,0.258176691,FORCE_SELL,0.15,0.21,459.66,19.79%,14.18%
8/2/2024,119896.0311,0,1,1.65,-0.5,0.175278566,FREE,0.15,0.21,448.75,19.90%,11.47%
8/5/2024,117548.89,117548.89,0,1.75,1.9,0.23061235,FORCE_SELL,0.15,0.21,435.37,17.55%,8.14%
8/6/2024,119297.1005,119297.1005,0,1.7,1.8,0.169706324,FREE,0.15,0.21,439.53,19.30%,9.18%
8/7/2024,118124.8949,0,1,1.55,1.65,0.196157746,FREE,0.15,0.21,434.77,18.12%,7.99%
8/8/2024,121705.6166,0,1,1.45,2.45,0.127743281,FORCE_BUY,0.15,0.195,448.07,21.71%,11.30%
8/9/2024,122026.1415,0,1,1.3,2.35,0.116584065,FORCE_BUY,0.15,0.195,450.41,22.03%,11.88%
8/12/2024,122092.536,0,1,1.3,2.35,0.117728567,FORCE_BUY,0.15,0.195,451.38,22.09%,12.12%
8/13/2024,124075.2118,0,1,1.3,2.35,0.096732478,FORCE_BUY,0.15,0.195,462.58,24.08%,14.90%
8/14/2024,124485.0259,0,1,1.3,2.35,0.094562924,FORCE_BUY,0.15,0.195,462.73,24.49%,14.94%
8/15/2024,126733.2795,0,1,1.3,2.35,0.090928498,FORCE_BUY,0.15,0.195,474.42,26.73%,17.84%
8/16/2024,126813.4108,0,1,-0.5,0.85,0.090798536,FORCE_BUY,0.15,0.195,475.03,26.81%,17.99%
8/19/2024,128052.0108,0,1,-0.5,0.85,0.094946597,FORCE_BUY,0.15,0.195,481.27,28.05%,19.54%
8/20/2024,127875.7221,0,1,-0.5,0.85,0.123222166,FORCE_BUY,0.15,0.195,480.26,27.88%,19.29%
8/21/2024,128477.8511,0,1,-0.5,0.85,0.105646943,FORCE_BUY,0.15,0.195,482.5,28.48%,19.85%
8/22/2024,128646.6966,0,1,1.45,-0.5,0.152736004,FREE,0.15,0.195,474.85,28.65%,17.95%
8/23/2024,129828.8692,0,1,-0.5,-0.5,0.121553818,FORCE_BUY,0.15,0.195,480,29.83%,19.23%
8/26/2024,129367.083,0,1,1.65,2.1,0.125631534,FORCE_BUY,0.15,0.195,475.34,29.37%,18.07%
8/27/2024,129475.6028,0,1,-0.5,1.55,0.110369689,FORCE_BUY,0.15,0.195,476.76,29.48%,18.42%
8/28/2024,128099.5241,0,1,1.8,-0.5,0.165988926,FREE,0.15,0.195,471.35,28.10%,17.08%
8/29/2024,129421.0428,129421.0428,0,1.65,2.2,0.173648141,FREE,0.15,0.195,470.66,29.42%,16.91%
8/30/2024,129421.0428,129421.0428,0,0.8,2,0.116697506,FORCE_BUY,0.15,0.195,476.27,29.42%,18.30%
9/3/2024,129421.0428,129421.0428,0,0.8,2,0.257691401,FORCE_SELL,0.15,0.195,461.81,29.42%,14.71%
9/4/2024,128987.3969,0,1,0.8,2,0.166461141,FREE,0.15,0.195,460.61,28.99%,14.41%
9/5/2024,129179.9666,0,1,-0.5,-0.5,0.176597442,FREE,0.15,0.195,461.04,29.18%,14.52%
9/6/2024,128481.1878,128481.1878,0,1.3,-0.5,0.242917734,FORCE_SELL,0.15,0.195,448.69,28.48%,11.45%
9/9/2024,128481.1878,128481.1878,0,0.9,0.95,0.133615669,FORCE_BUY,0.15,0.195,454.46,28.48%,12.88%
9/10/2024,128864.2788,0,1,0.95,1.5,0.122419977,FORCE_BUY,0.15,0.24,458.66,28.86%,13.93%
9/11/2024,130920.4591,0,1,1.2,2.45,0.187920135,FREE,0.15,0.245,468.62,30.92%,16.40%
9/12/2024,132084.8579,0,1,0.85,1.3,0.125545489,FORCE_BUY,0.15,0.245,473.22,32.08%,17.54%
9/13/2024,132654.067,0,1,0.85,1.3,0.112190811,FORCE_BUY,0.15,0.245,475.34,32.65%,18.07%
9/16/2024,132840.6542,0,1,-0.5,1.2,0.092313791,FORCE_BUY,0.15,0.245,473.24,32.84%,17.55%
9/17/2024,133081.5643,0,1,1.2,1.1,0.139904426,FORCE_BUY,0.15,0.245,473.49,33.08%,17.61%
9/18/2024,133929.5087,0,1,-0.5,1,0.171792298,FREE,0.15,0.245,471.44,33.93%,17.10%
9/19/2024,135173.9865,0,1,1.45,-0.5,0.117456174,FORCE_BUY,0.15,0.245,483.36,35.17%,20.06%
9/20/2024,134676.1954,0,1,-0.5,-0.5,0.12182298,FORCE_BUY,0.15,0.245,482.44,34.68%,19.83%
9/23/2024,134948.7952,0,1,-0.5,-0.5,0.114077376,FORCE_BUY,0.15,0.245,483.04,34.95%,19.98%
9/24/2024,135403.9185,0,1,1.15,0.65,0.109630399,FORCE_BUY,0.15,0.245,485.37,35.40%,20.56%
9/25/2024,135337.5464,0,1,1.15,0.75,0.135576771,FORCE_BUY,0.15,0.245,485.82,35.34%,20.67%
9/26/2024,135683.6297,0,1,0.95,2.45,0.129362526,FORCE_BUY,0.15,0.245,489.47,35.68%,21.58%
9/27/2024,135273.5447,0,1,1.15,1.7,0.164873542,FREE,0.15,0.245,486.75,35.27%,20.90%
9/30/2024,135882.7462,0,1,-0.5,1.8,0.137458397,FORCE_BUY,0.15,0.245,488.07,35.88%,21.23%
10/1/2024,134621.7558,0,1,0.8,0.8,0.225742597,FREE,0.15,0.245,481.27,34.62%,19.54%
10/2/2024,135093.6054,0,1,1.05,2.4,0.141654327,FORCE_BUY,0.15,0.245,481.95,35.09%,19.71%
10/3/2024,134631.264,0,1,1,2.05,0.160796609,FREE,0.15,0.245,481.59,34.63%,19.62%
10/4/2024,135700.6078,0,1,0.95,0.95,0.142175699,FORCE_BUY,0.15,0.245,487.32,35.70%,21.05%
10/7/2024,134960.2582,0,1,1.2,-0.5,0.192634731,FREE,0.15,0.245,482.1,34.96%,19.75%
10/8/2024,136144.1856,0,1,1,0.9,0.135679826,FORCE_BUY,0.15,0.245,489.3,36.14%,21.54%
10/9/2024,137171.1625,0,1,0.8,2.5,0.134292014,FORCE_BUY,0.15,0.245,493.15,37.17%,22.49%
10/10/2024,137116.4843,0,1,0.6,2.35,0.155579031,FREE,0.15,0.245,492.59,37.12%,22.36%
10/11/2024,137553.9105,0,1,1.05,1.9,0.134543324,FORCE_BUY,0.15,0.25,493.36,37.55%,22.55%
10/14/2024,139004.0736,0,1,1.05,1.9,0.130677585,FORCE_BUY,0.15,0.195,497.5,39.00%,23.57%
10/15/2024,137851.0751,0,1,1.7,-0.5,0.218820831,FORCE_SELL,0.15,0.195,490.85,37.85%,21.92%
10/16/2024,138250.4642,0,1,1.55,-0.5,0.139951226,FORCE_BUY,0.15,0.195,490.91,38.25%,21.94%
10/17/2024,138766.3419,138766.3419,0,0.75,0.65,0.172657589,FREE,0.15,0.195,491.25,38.77%,22.02%
10/18/2024,139085.0825,0,1,0.7,0.7,0.137770313,FORCE_BUY,0.15,0.195,494.47,39.09%,22.82%
10/21/2024,139133.4144,139133.4144,0,1.15,1.65,0.158588399,FREE,0.15,0.19,495.42,39.13%,23.06%
10/22/2024,139262.2239,0,1,1,1.6,0.158549156,FREE,0.15,0.19,495.96,39.26%,23.19%
10/23/2024,137775.4258,137775.4258,0,1.15,0.7,0.214977218,FORCE_SELL,0.15,0.19,488.36,37.78%,21.30%
10/24/2024,137400.7139,0,1,0.95,2,0.147921053,FORCE_BUY,0.15,0.19,492.32,37.40%,22.29%
10/25/2024,138195.1981,138195.1981,0,1.25,2.15,0.238305275,FORCE_SELL,0.15,0.19,495.32,38.20%,23.03%
10/28/2024,137846.2683,0,1,1.25,2.15,0.174130518,FREE,0.15,0.19,495.4,37.85%,23.05%
10/29/2024,138396.9603,0,1,1,0.75,0.157583701,FREE,0.15,0.19,500.16,38.40%,24.24%
10/30/2024,138235.5505,138235.5505,0,1.05,1.4,0.196190254,FORCE_SELL,0.15,0.19,496.38,38.24%,23.30%
10/31/2024,138235.5505,138235.5505,0,1.6,-0.5,0.241953119,FORCE_SELL,0.15,0.19,483.85,38.24%,20.18%
11/1/2024,138235.5505,138235.5505,0,1.55,-0.5,0.20721686,FORCE_SELL,0.15,0.19,487.43,38.24%,21.07%
11/4/2024,138053.7669,0,1,1.55,-0.5,0.17339165,FREE,0.15,0.19,486.01,38.05%,20.72%
11/5/2024,138417.3342,138417.3342,0,0.85,2.5,0.159521349,FREE,0.15,0.19,492.21,38.42%,22.26%
11/6/2024,138382.1797,0,1,0.6,2.5,0.168696858,FREE,0.16,0.19,505.58,38.38%,25.58%
11/7/2024,139617.2745,0,1,0.45,1,0.133099281,FORCE_BUY,0.16,0.19,513.54,39.62%,27.56%
11/8/2024,140149.2793,0,1,0.55,1.35,0.138889945,FORCE_BUY,0.16,0.19,514.14,40.15%,27.71%
11/11/2024,140182.0902,0,1,1.15,-0.5,0.131401957,FORCE_BUY,0.16,0.19,513.84,40.18%,27.63%
11/12/2024,140362.7268,140362.7268,0,1.2,-0.5,0.166948903,FREE,0.16,0.19,512.91,40.36%,27.40%
11/13/2024,140226.5655,0,1,-0.5,1.5,0.153783536,FORCE_BUY,0.16,0.19,512.25,40.23%,27.24%
11/14/2024,138937.9514,0,1,0.75,1.5,0.194836921,FORCE_SELL,0.15,0.19,508.69,38.94%,26.35%
11/15/2024,137562.4908,137562.4908,0,1.05,-0.5,0.193549971,FORCE_SELL,0.14,0.19,496.57,37.56%,23.34%
11/18/2024,138063.0457,138063.0457,0,-0.5,2.5,0.141062303,FREE,0.14,0.19,500.02,38.06%,24.20%
11/19/2024,138381.6084,0,1,-0.5,2.5,0.160313747,FREE,0.15,0.19,503.46,38.38%,25.06%
11/20/2024,137707.7062,0,1,1,2.2,0.143299317,FORCE_BUY,0.165,0.19,503.17,37.71%,24.98%
